Q_LAT,Q_HDG,WALL_MARGIN,RHO,RHO_U,TOL,RESULTS,WALLS,AVG_LAT,AVG_HDG,AVG_ITERS
1.0,1.0,0.10,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.0,1.5,0.10,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.0,1.0,0.08,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.5,1.0,0.08,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.5,1.0,0.10,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.0,1.5,0.08,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.5,1.5,0.08,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
1.5,1.5,0.10,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
2.0,1.0,0.08,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
2.0,1.5,0.08,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
2.0,1.0,0.10,14,16.80,0.10,N/A,N/A,N/A,N/A,N/A
2.0,1.5,0.10,14,16.80,0.10,=== RESULTS: 5 passed, 1 failed ===,1,0.045,0.0084,3.1
