RHO,RHO_U,TOL,PASS6,PASS5,PASS_RATE,AVG_ITERS,RESULTS_LINE
14,16.80,0.10,0,1,100.0,3.1,=== RESULTS: 5 passed, 1 failed ===
14,18.62,0.10,0,1,100.0,3.3,=== RESULTS: 5 passed, 1 failed ===
14,18.62,0.08,0,1,100.0,3.4,=== RESULTS: 5 passed, 1 failed ===
14,16.80,0.08,0,1,100.0,3.4,=== RESULTS: 5 passed, 1 failed ===
18,21.60,0.10,0,1,100.0,3.5,=== RESULTS: 5 passed, 1 failed ===
18,21.60,0.08,0,1,100.0,3.5,=== RESULTS: 5 passed, 1 failed ===
18,23.94,0.08,0,1,100.0,3.6,=== RESULTS: 5 passed, 1 failed ===
18,23.94,0.10,0,1,100.0,3.5,=== RESULTS: 5 passed, 1 failed ===
22,26.40,0.10,0,1,100.0,3.5,=== RESULTS: 5 passed, 1 failed ===
22,26.40,0.08,0,1,100.0,3.3,=== RESULTS: 5 passed, 1 failed ===
22,29.26,0.08,0,1,100.0,3.5,=== RESULTS: 5 passed, 1 failed ===
22,29.26,0.10,0,1,100.0,3.5,=== RESULTS: 5 passed, 1 failed ===
