CAND_ID,RICCATI_W,RICCATI_I,ACCUM_W,ACCUM_I,GUARD,CSIM_PASS,PASS_RATE,AVG_ITERS,STATUS
r32i16_a20i10_g16,32,16,20,10,16,0,N/A,N/A,done
r32i16_a22i11_g16,32,16,22,11,16,0,N/A,N/A,done
r32i16_a24i12_g16,32,16,24,12,16,0,N/A,N/A,done
r32i16_a20i10_g14,32,16,20,10,14,0,N/A,N/A,done
r32i16_a22i11_g14,32,16,22,11,14,0,N/A,N/A,done
r32i16_a24i12_g14,32,16,24,12,14,0,N/A,N/A,done
r32i16_a18i9_g16,32,16,18,9,16,0,N/A,N/A,done
r32i16_a18i9_g20,32,16,18,9,20,1,100.0,6.7,done
r32i16_a24i12_g20,32,16,24,12,20,1,100.0,6.7,done
r32i16_a22i11_g20,32,16,22,11,20,1,100.0,6.7,done
r32i16_a20i10_g20,32,16,20,10,20,1,100.0,6.7,done
r32i16_a22i11_g18,32,16,22,11,18,1,100.0,6.9,done
r32i16_a24i12_g18,32,16,24,12,18,1,100.0,6.9,done
r32i16_a20i10_g18,32,16,20,10,18,1,100.0,6.9,done
r32i16_a18i9_g14,32,16,18,9,14,0,N/A,N/A,done
r32i16_a16i8_g16,32,16,16,8,16,0,N/A,N/A,done
r32i16_a14i7_g16,32,16,14,7,16,0,N/A,N/A,done
r32i16_a18i9_g18,32,16,18,9,18,1,100.0,6.9,done
r32i16_a16i8_g14,32,16,16,8,14,0,N/A,N/A,done
r32i16_a16i8_g20,32,16,16,8,20,1,100.0,6.7,done
r32i16_a16i8_g18,32,16,16,8,18,1,100.0,6.9,done
r32i16_a14i7_g14,32,16,14,7,14,0,N/A,N/A,done
r32i16_a14i7_g18,32,16,14,7,18,1,100.0,6.9,done
r32i16_a14i7_g20,32,16,14,7,20,1,100.0,6.7,done
r32i16_a20i10_g12,32,16,20,10,12,0,N/A,N/A,done
r32i16_a24i12_g12,32,16,24,12,12,0,N/A,N/A,done
r32i16_a22i11_g12,32,16,22,11,12,0,N/A,N/A,done
r32i16_a18i9_g12,32,16,18,9,12,0,N/A,N/A,done
r32i16_a14i7_g12,32,16,14,7,12,0,N/A,N/A,done
r32i16_a16i8_g12,32,16,16,8,12,0,N/A,N/A,done
