CAND_ID,RICCATI_W,RICCATI_I,ACCUM_W,ACCUM_I,GUARD,CSIM_PASS,PASS_RATE,AVG_ITERS,RESULTS_LINE
r20i28_a14i16_g8,20,28,14,16,8,0,N/A,N/A,N/A
r14i16_a8i18_g28,14,16,8,18,28,0,N/A,N/A,N/A
r18i9_a20i28_g14,18,9,20,28,14,0,N/A,N/A,N/A
r28i14_a18i9_g18,28,14,18,9,18,0,N/A,N/A,N/A
r8i20_a28i14_g18,8,20,28,14,18,0,N/A,N/A,N/A
r14i7_a18i28_g14,14,7,18,28,14,0,N/A,N/A,N/A
r28i14_a14i7_g16,28,14,14,7,16,0,N/A,N/A,N/A
r16i28_a14i20_g10,16,28,14,20,10,0,N/A,N/A,N/A
r14i20_a10i20_g26,14,20,10,20,26,0,N/A,N/A,N/A
r16i8_a16i26_g13,16,8,16,26,13,0,N/A,N/A,N/A
r7i16_a26i13_g14,7,16,26,13,14,0,N/A,N/A,N/A
r26i13_a14i7_g20,26,13,14,7,20,0,N/A,N/A,N/A
r18i26_a13i16_g8,18,26,13,16,8,0,N/A,N/A,N/A
r13i18_a9i16_g26,13,18,9,16,26,0,N/A,N/A,N/A
r9i18_a26i13_g18,9,18,26,13,18,0,N/A,N/A,N/A
r20i10_a18i26_g13,20,10,18,26,13,0,N/A,N/A,N/A
r26i13_a20i10_g16,26,13,20,10,16,0,N/A,N/A,N/A
r20i_ai_g,20,,,,,0,N/A,N/A,N/A
