CAND_ID	RICCATI_W	RICCATI_I	ACCUM_W	ACCUM_I	GUARD	CSIM_PASS	PASS_RATE	AVG_ITERS	RESULTS_LINE
r28i14_a14i7_g18	28	14	14	7	18	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a16i8_g18	28	14	16	8	18	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a14i7_g20	28	14	14	7	20	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a16i8_g16	28	14	16	8	16	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a14i7_g16	28	14	14	7	16	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a16i8_g20	28	14	16	8	20	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a18i9_g18	28	14	18	9	18	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a20i10_g16	28	14	20	10	16	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a18i9_g16	28	14	18	9	16	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a20i10_g20	28	14	20	10	20	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r28i14_a18i9_g20	28	14	18	9	20	0	100.0	3.4	=== RESULTS: 5 passed, 1 failed ===
r26i13_a14i7_g16	26	13	14	7	16	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a14i7_g18	26	13	14	7	18	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a14i7_g20	26	13	14	7	20	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a16i8_g18	26	13	16	8	18	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a16i8_g16	26	13	16	8	16	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a16i8_g20	26	13	16	8	20	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a18i9_g16	26	13	18	9	16	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a18i9_g18	26	13	18	9	18	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a18i9_g20	26	13	18	9	20	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a20i10_g16	26	13	20	10	16	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a20i10_g18	26	13	20	10	18	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
r26i13_a20i10_g20	26	13	20	10	20	0	100.0	3.8	=== RESULTS: 5 passed, 1 failed ===
