CAND_ID,STATE_II,CTRL_II,M_BTP_II,RICCATI_W,RICCATI_I,ACCUM_W,ACCUM_I,GUARD,CSIM_PASS,PASS_RATE,AVG_ITERS,MIN_CYCLES,STATUS
pragma_s6_c1_m4,6,1,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c2_m4,6,2,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c4_m4,6,4,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c3_m2,6,3,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c2_m3,6,2,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c1_m3,6,1,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c2_m2,6,2,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c4_m2,6,4,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c1_m2,6,1,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c3_m4,6,3,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c3_m3,6,3,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s6_c4_m3,6,4,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c4_m4,5,4,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c4_m3,5,4,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c2_m4,5,2,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c2_m2,5,2,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c4_m2,5,4,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c3_m4,5,3,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c1_m2,5,1,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c3_m3,5,3,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c2_m3,5,2,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c3_m2,5,3,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c1_m4,5,1,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s5_c1_m3,5,1,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c4_m4,4,4,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c4_m3,4,4,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c4_m2,4,4,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c3_m2,4,3,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c3_m4,4,3,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c3_m3,4,3,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c2_m4,4,2,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c2_m2,4,2,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c2_m3,4,2,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c1_m4,4,1,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c1_m2,4,1,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s4_c1_m3,4,1,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c4_m4,3,4,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c4_m3,3,4,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c3_m3,3,3,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c3_m4,3,3,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c4_m2,3,4,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c3_m2,3,3,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c2_m4,3,2,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c2_m2,3,2,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c1_m3,3,1,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c2_m3,3,2,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c1_m4,3,1,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s3_c1_m2,3,1,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s2_c4_m2,2,4,2,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s2_c3_m3,2,3,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s2_c4_m4,2,4,4,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s2_c4_m3,2,4,3,28,14,14,7,16,0,N/A,N/A,N/A,done
pragma_s2_c3_m4,2,3,4,28,14,14,7,16,0,N/A,N/A,N/A,done
