label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,scenario_avoid_single_status,scenario_avoid_single_lap_time_est,scenario_avoid_single_avg_progress_mps,scenario_avoid_single_avg_lat_err,scenario_avoid_single_avg_vx,scenario_avoid_single_wall_collisions,scenario_avoid_single_failed_non_speed,scenario_avoid_single_speed_check_pass,scenario_avoid_double_status,scenario_avoid_double_lap_time_est,scenario_avoid_double_avg_progress_mps,scenario_avoid_double_avg_lat_err,scenario_avoid_double_avg_vx,scenario_avoid_double_wall_collisions,scenario_avoid_double_failed_non_speed,scenario_avoid_double_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
Q_LAT=14000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.197725,status_not_ok|scenario_failure|race_not_ok|race_progress_low|avg_vx_low|solver_maxiter_rate_high,13,5,2,3,2,1,1,504.127925,8,49.546675,0.82575,0.1966,5.0,1.0961,0.588,0.5548,0.123225,4.54,0.80455,2.943075,4.4994,1981.175,43629.8,0,0.0,3.3249999999999997,0.98996225,0.01003775,9.25585,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.0956,0.0001,0,1,0,OK,8.7117,2.4242,0.0757,2.3686,0,0,0,EXIT_FAIL,9.8,0.8788,0.0851,0.8494,0,1,0,14000,3600.0,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_LAT=15000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.19975,status_not_ok|scenario_failure|race_not_ok|race_progress_low|avg_vx_low|solver_maxiter_rate_high,13,5,2,3,2,1,1,504.13105,8,49.34445,0.822425,0.1966,4.0,1.0961,0.58775,0.5682,0.12290000000000001,4.57,0.8005,2.9461749999999998,4.4994,2004.125,56294.1,0,0.0,3.3499999999999996,0.9899,0.0101,9.2621,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0,1.096,0.0,0,1,0,OK,8.7442,2.4109,0.0758,2.3532,0,0,0,EXIT_FAIL,9.78,0.8788,0.0832,0.8488,0,1,0,15000,3600.0,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_HDG=3400,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0996,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.7914,13,73.711225,1.228475,0.1966,9.5,1.0961,0.58775,0.5683,0.074575,4.56,1.188375,2.76745,4.4994,2043.6750000000002,42195.6,0,0.0,3.375,0.9875375,0.0124625,8.582799999999999,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0002,1.0942,0.0002,0,1,0,OK,8.5214,2.4674,0.0751,2.4168,0,0,0,OK,8.6442,2.4461,0.0875,2.3363,0,0,0,12000.0,3400,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_LAT=13000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0994,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.8702,12,72.43634999999999,1.207225,0.1966,8.25,1.0961,0.5888,0.5706,0.076125,4.54,1.16615,2.781125,4.4994,2067.25,34776.5,0,0.0,3.4749999999999996,0.98735425,0.01264575,8.7404,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0003,1.0932,0.0003,0,1,0,OK,8.7458,2.4146,0.0834,2.3616,0,0,0,OK,8.735,2.4137,0.0854,2.3024,0,0,0,13000,3600.0,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_HDG=3000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0998,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.70965,14,74.96285,1.2494,0.1966,6.0,1.0961,0.584025,0.5658,0.07235,4.62,1.208275,2.7506,4.4994,2108.575,60129.0,0,0.0,3.55,0.9880625,0.0119375,8.4193,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0953,0.0001,0,1,0,OK,8.3843,2.5091,0.066,2.4559,0,0,0,OK,8.4543,2.4883,0.0795,2.377,0,0,0,12000.0,3000,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_VEL=42,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0998,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,504.149375,12,68.0426,1.134025,0.1966,11.25,1.0961,0.6086499999999999,0.5659,0.073375,4.59,1.100225,2.865175,4.4994,2099.325,34566.7,0,0.0,3.4749999999999996,0.98829175,0.01170825,9.29875,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0954,0.0001,0,1,0,OK,9.2533,2.2763,0.1172,2.2338,0,0,0,OK,9.3442,2.2596,0.1266,2.1669,0,0,0,12000.0,3600.0,42,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_HDG=2600,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0998,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.650725,14,75.85334999999999,1.264175,0.1966,4.25,1.0961,0.5813999999999999,0.5677,0.0718,4.67,1.2215,2.734575,4.4994,2128.8,67328.3,0,0.0,3.6,0.98777925,0.012220749999999999,8.301449999999999,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0954,0.0002,0,1,0,OK,8.2643,2.5358,0.0609,2.479,0,0,0,OK,8.3386,2.5207,0.0739,2.4066,0,0,0,12000.0,2600,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_HDG=3200,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0998,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.738225,14,74.465025,1.2410750000000002,0.1966,7.5,1.0961,0.5855,0.5711,0.07300000000000001,4.56,1.20035,2.75895,4.4994,2120.5,42093.0,0,0.0,3.55,0.9878165,0.0121835,8.47645,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0001,1.0949,0.0001,0,1,0,OK,8.4486,2.4908,0.0695,2.4387,0,0,0,OK,8.5043,2.4733,0.0827,2.3625,0,0,0,12000.0,3200,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
Q_HDG=4000,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,0.0,status_not_ok|scenario_failure|race_not_ok|solver_maxiter_rate_high,14,4,1,3,1,0,1,16.630025,15,104.30915,1.6257,0.1966,11.0,1.0961,0.409225,0.5625,0.07685,4.53,1.598575,2.151775,4.4994,2117.475,77012.4,0,0.0,3.575,0.98293725,0.01706275,16.630025,EXIT_FAIL,1,EXIT_FAIL,24.3317,0.9024,0.7123,0.9162,0,1,0,OK,8.9075,2.3518,0.1004,2.3131,0,0,0,OK,8.9492,2.3462,0.1119,2.2488,0,0,0,12000.0,4000,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
BASELINE,Phase 1: One-at-a-time sensitivity,my_track,5000.0,5000.0,5000.0,0,1.0994,status_not_ok|scenario_failure|race_not_ok|race_progress_low|solver_maxiter_rate_high,14,4,1,3,1,0,1,503.866475,12,72.49997499999999,1.2083000000000002,0.1966,9.0,1.0961,0.5919,0.5695,0.076625,4.56,1.169,2.7807500000000003,4.4994,2110.025,60657.0,0,0.0,3.4499999999999997,0.98734975,0.01265025,8.732949999999999,EXIT_FAIL,1,EXIT_FAIL,999.0,0.0003,1.0934,0.0003,0,1,0,OK,8.7092,2.4283,0.0847,2.3789,0,0,0,OK,8.7567,2.4043,0.0961,2.2965,0,0,0,12000.0,3600.0,50.0,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.08,100,10,0.032
