label,phase,raceline,score,tracker_score,fastest_score,promotable,promotable_deficit,promotable_reason,passed,failed,failed_non_speed,scenario_count,scenario_failures,recovery_failures,main_failed,lap_time_est,completed_laps,progress_m,avg_progress_mps,max_steer_change,steer_reversals,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,solver_optimal_rate,solver_max_iter_rate,avg_lap_time,status,return_code,scenario_race_status,scenario_race_lap_time_est,scenario_race_avg_progress_mps,scenario_race_avg_lat_err,scenario_race_avg_vx,scenario_race_wall_collisions,scenario_race_failed_non_speed,scenario_race_speed_check_pass,Q_LAT,Q_HDG,Q_VEL,Q_LAT_VEL,Q_YAW,R_STEER,R_ACCEL,W_JERK,W_ACCEL_RATE,RHO,RHO_U,TOL,MAX_ITER,HORIZON,PRED_DT
BASELINE,Phase 1: One-at-a-time sensitivity,my_track,8.270413,71.845,8.270413,1,0.0,,5,1,0,1,0,0,0,8.05,1,41.655,2.777,0.1681,0.0,1.0961,0.1176,0.6038,0.1053,4.73,2.8176,0.6536,4.4994,2725.3,59393.4,0,0.0,4.1,0.967667,0.032333,8.05,OK,1,OK,8.05,2.777,0.1176,2.8176,0,0,0,9660.42,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=9000,Phase 1: One-at-a-time sensitivity,my_track,8.142822,70.73,8.142822,1,0.0,,5,1,0,1,0,0,0,7.93,1,41.9986,2.7999,0.1966,0.0,1.0961,0.1108,0.6207,0.1054,4.65,2.8458,0.6254,4.4994,2830.0,68125.6,0,0.0,4.0,0.970333,0.029667,7.93,OK,1,OK,7.93,2.7999,0.1108,2.8458,0,0,0,9000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=10000,Phase 1: One-at-a-time sensitivity,my_track,8.194486,70.902,8.194486,1,0.0,,5,1,0,1,0,0,0,7.98,1,41.9047,2.7936,0.1966,0.0,1.0961,0.112,0.6117,0.1038,4.69,2.8324,0.6392,4.4994,2571.7,58478.2,0,0.0,4.1,0.968,0.032,7.98,OK,1,OK,7.98,2.7936,0.112,2.8324,0,0,0,10000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=11000,Phase 1: One-at-a-time sensitivity,my_track,8.224978,71.39,8.224978,1,0.0,,5,1,0,1,0,0,0,8.01,1,41.7932,2.7862,0.1966,0.0,1.0961,0.1123,0.6098,0.1024,4.71,2.8205,0.6486,4.4994,2913.8,61010.1,0,0.0,4.1,0.969333,0.030667,8.01,OK,1,OK,8.01,2.7862,0.1123,2.8205,0,0,0,11000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=12000,Phase 1: One-at-a-time sensitivity,my_track,8.33231,72.41,8.33231,1,0.0,,5,1,0,1,0,0,0,8.11,1,41.2943,2.753,0.1966,0.0,1.0961,0.1172,0.6026,0.1017,4.76,2.7833,0.6825,4.4994,2713.9,60591.2,0,0.0,4.3,0.968667,0.031333,8.11,OK,1,OK,8.11,2.753,0.1172,2.7833,0,0,0,12000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=13000,Phase 1: One-at-a-time sensitivity,my_track,8.38559,73.069,8.38559,1,0.0,,5,1,0,1,0,0,0,8.16,1,41.0436,2.7362,0.1966,0.0,1.0961,0.1196,0.6115,0.1007,4.78,2.7649,0.6985,4.4994,2753.8,58682.9,0,0.0,4.4,0.968333,0.031667,8.16,OK,1,OK,8.16,2.7362,0.1196,2.7649,0,0,0,13000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=14000,Phase 1: One-at-a-time sensitivity,my_track,8.391786,73.169,8.391786,1,0.0,,5,1,0,1,0,0,0,8.165,1,40.9941,2.7329,0.1966,0.0,1.0961,0.1207,0.6111,0.0997,4.77,2.7588,0.7047,4.4994,2665.3,58576.7,0,0.0,4.4,0.969,0.031,8.165,OK,1,OK,8.165,2.7329,0.1207,2.7588,0,0,0,14000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_LAT=15000,Phase 1: One-at-a-time sensitivity,my_track,8.42981,73.795,8.42981,1,0.0,,5,1,0,1,0,0,0,8.2,1,40.7682,2.7179,0.1966,0.0,1.0961,0.1227,0.6115,0.0997,4.72,2.7426,0.7175,4.4994,2872.5,59945.9,0,0.0,4.4,0.969333,0.030667,8.2,OK,1,OK,8.2,2.7179,0.1227,2.7426,0,0,0,15000,1400.0,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=2600,Phase 1: One-at-a-time sensitivity,my_track,8.50463,74.274,8.50463,1,0.0,,5,1,0,1,0,0,0,8.265,1,39.5959,2.6397,0.1966,0.0,1.0961,0.1308,0.5872,0.1023,4.55,2.7029,0.726,4.4994,2534.3,59235.5,0,0.0,4.1,0.972,0.028,8.265,OK,1,OK,8.265,2.6397,0.1308,2.7029,0,0,0,9660.42,2600,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
Q_HDG=3000,Phase 1: One-at-a-time sensitivity,my_track,8.64335,76.055,8.64335,1,0.0,,5,1,0,1,0,0,0,8.39,1,38.8535,2.5902,0.1966,0.0,1.0961,0.1414,0.5804,0.1034,4.53,2.6572,0.7595,4.4994,2677.0,59976.2,0,0.0,4.2,0.97,0.03,8.39,OK,1,OK,8.39,2.5902,0.1414,2.6572,0,0,0,9660.42,3000,132.192,4.59,2.112,2.244,0.0065,0.063,0.17,18.0,24.0,0.1,50,10,0.032
