label,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,ADMM_ALPHA,ADMM_RHO,ADMM_RHO_U,ADMM_TOL,MAX_ADMM_ITER,MIN_LIN_VEL,N,Q_HDG,Q_LAT,Q_LAT_VEL,Q_VEL,Q_YAW,R_ACCEL,R_STEER,STABILITY_LIMIT,WALL_END,WALL_MARGIN,WALL_START,WALL_STRIDE,WP_ADVANCE_MAX,W_ACCEL_RATE,W_DELTA_ACT,W_JERK,dt
dt=0.04+N=8+WE=6+WM=0.03,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.5,47.5,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.03,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.03,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.8,50.1,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.03,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.01,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,8.0,291.2,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.01,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.1,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,5.6,42.7,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.1,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.0,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,21.0,1496.4,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.0,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.02,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.4,51.5,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.02,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.3,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.2,42.3,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.3,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.15,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,7.6,158.8,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.15,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.08,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.7,52.5,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.08,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.05,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,7.0,50.7,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.05,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.01,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.1,55.7,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.01,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.04,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.8,66.5,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.04,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.0,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.9,58.7,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.0,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.02,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.6,51.5,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.02,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=4+WM=0.2,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,7.2,53.7,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.2,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.15,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,9.5,81.1,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.15,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.04,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.8,58.2,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.04,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.3,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.6,49.7,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.3,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.05,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,7.3,50.6,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.05,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=9+WE=4+WM=0.02,600.0,4,2,0.1474,0.0013,0.1913,0.0017,3.81,0.028,2.3189,20.2,3042.9,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,9,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.02,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.1,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,8.8,76.6,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.1,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=8+WE=6+WM=0.08,600.0,4,2,0.1518,0.0004,0.2092,0.001,2.42,0.0091,2.3189,6.2,36.4,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,8,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,6,0.08,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=9+WE=4+WM=0.01,600.0,4,2,0.1474,0.0013,0.1913,0.0017,3.81,0.028,2.3189,10.4,1440.0,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,9,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.01,1,4,10,0.1,0.53,0.3,0.04
dt=0.04+N=9+WE=4+WM=0.04,600.0,4,2,0.1474,0.0013,0.1913,0.0017,3.81,0.028,2.3189,25.0,5210.2,1,0.0,1.1,OK,0.93,32.0,20.0,5.0,20,2.0,9,1000.0,5000.0,69.0,100.0,22.0,0.01,0.15,0.95,4,0.04,1,4,10,0.1,0.53,0.3,0.04
