label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,ADMM_RHO,ADMM_RHO_U,ADMM_TOL,MAX_ADMM_ITER,MIN_LIN_VEL,N,Q_HDG,Q_LAT,Q_LAT_VEL,Q_VEL,Q_YAW,R_ACCEL,R_STEER,STABILITY_LIMIT,WALL_END,WALL_MARGIN,WALL_START,WALL_STRIDE,WP_ADVANCE_MAX,W_ACCEL_RATE,W_DELTA_ACT,W_JERK,dt
bestStruct+WS=1+WST=1,Phase 1b,hardware,600.0,4,1,0.4515,0.0694,0.9845,0.1339,4.42,1.1793,4.3167,7.0,113.3,1,0.0,1.3,OK,25.435364,20.0,5.0,20,2.0,10,1229.435672,15774.935711,48.350998,26.0,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=12,Phase 2,hardware,600.0,4,1,0.5225,0.0305,1.3035,0.1209,2.85,0.5019,4.3167,7.3,97.0,1,0.0,1.4,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,12,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=14,Phase 2,hardware,119.149,4,1,1.3885,0.2837,2.0548,1.0909,3.21,3.0736,4.3167,23.9,288.5,0,0.0,5.3,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,14,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=16,Phase 2,hardware,600.0,4,1,0.9906,0.2261,1.1485,0.2243,4.3,2.2006,4.3167,6.6,126.5,1,0.0,1.3,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,16,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=18,Phase 2,hardware,600.0,4,1,1.0206,0.1801,1.1585,0.2873,4.44,2.0266,4.3167,7.0,136.6,1,0.0,1.3,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,18,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=20,Phase 2,hardware,600.0,4,1,0.4352,0.0315,0.7328,0.062,3.89,0.559,4.3167,6.8,146.0,1,0.0,1.2,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,20,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=22,Phase 2,hardware,68.638,4,1,0.9179,0.1708,1.6688,0.3636,4.8,1.9546,4.3167,13.2,169.0,0,0.0,2.8,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,22,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=24,Phase 2,hardware,600.0,4,1,0.3361,0.0202,0.6478,0.0349,4.18,0.3808,4.3167,6.4,85.2,1,0.0,1.3,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,24,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=26,Phase 2,hardware,47.803,5,0,0.4117,0.0955,1.0397,0.198,4.79,1.7417,4.3167,6.7,133.4,0,0.0,1.3,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,26,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
QL=5000+QH=400+QV=28,Phase 2,hardware,42.41,5,0,0.3885,0.0941,0.8176,0.1338,5.09,1.5763,4.3167,7.2,141.4,0,0.0,1.4,OK,25.435364,20.0,5.0,20,2.0,10,400,5000,48.350998,28,22.0,0.01,0.15,0.9,30,0.02,1,1,10,0.1,0.347091,0.3,0.06
