unix_time_ns,solve_us,status,iterations,primal_residual,dual_residual,closest_wp,e_y,e_psi,vx,vy,omega,v_ref0,kappa0,left_wall0,right_wall0,cmd_steer,cmd_accel,cmd_speed,actual_steer,use_steering_feedback
1777377302831791722,144.0,0,10,7.652515e-02,2.797923e-01,1,-0.0034,-0.5938,0.0000,0.0000,0.0003,2.0859,-0.7454,1.2181,0.9300,0.0855,7.1626,0.5000,0.0142,1
1777377302867436210,47.3,0,2,1.018739e-01,1.847262e-01,1,-0.0034,-0.5938,0.0000,0.0000,-0.0015,2.0890,-0.7451,1.2179,0.9300,0.0997,7.3085,0.5000,0.0855,1
1777377302901832215,58.1,0,3,8.136350e-02,2.097638e-01,1,-0.0034,-0.5938,0.0000,0.0000,0.0088,2.0920,-0.7449,1.2178,0.9300,0.1709,7.3085,0.5000,0.0997,1
1777377302936727529,45.8,0,2,1.099529e-01,1.451969e-01,1,-0.0034,-0.5925,0.0000,0.0000,0.0525,2.0951,-0.7447,1.2177,0.9300,0.1852,7.3085,0.5000,0.1709,1
1777377302972266159,56.8,0,3,1.134585e-01,2.061689e-01,1,-0.0035,-0.5903,0.0000,0.0000,0.0768,2.0982,-0.7445,1.2175,0.9300,0.2564,7.3085,0.5000,0.1852,1
1777377303006655507,90.9,0,6,1.046655e-01,2.641411e-01,1,-0.0056,-0.5869,0.1795,0.0034,0.0833,2.0717,-0.7293,1.2681,0.9200,0.2707,5.4350,0.5000,0.2564,1
1777377303036853470,73.1,0,4,1.485286e-01,3.111105e-01,1,-0.0093,-0.5636,0.2194,0.0044,0.1900,2.0927,-0.6740,1.2365,0.9245,0.3419,4.5118,0.5000,0.2707,1
1777377303066918949,125.6,0,10,1.504465e-01,3.556080e-01,1,-0.0149,-0.5556,0.3325,0.0095,0.3038,2.0970,-0.6732,1.2334,0.9255,0.3561,0.3462,0.5000,0.3419,1
1777377303101815063,139.1,0,10,1.952720e-01,4.664598e-01,2,-0.0284,-0.5110,0.4082,0.0122,0.4419,2.1364,-0.6420,1.1775,0.9363,0.4189,-4.4362,0.5000,0.3561,1
1777377303136952433,164.7,0,14,1.941992e-01,1.693540e-01,2,-0.0370,-0.4826,0.0000,0.0000,0.6375,2.1776,-0.5812,1.1162,0.9500,0.4189,1.6096,0.5000,0.4189,1
1777377303167030840,215.8,0,19,1.961094e-01,5.728769e-02,2,-0.0391,-0.4607,0.0000,0.0000,0.6772,2.1803,-0.5811,1.1161,0.9500,0.4189,2.8205,0.5000,0.4189,1
1777377303201775719,46.7,0,2,1.910197e-01,4.161601e-01,2,-0.0461,-0.4284,0.0000,0.0000,0.5035,2.1984,-0.5540,1.0953,0.9523,0.4189,3.1009,0.5000,0.4189,1
1777377303231856078,55.4,0,3,1.847501e-01,6.826830e-01,2,-0.0498,-0.4139,0.0000,0.0000,0.4292,2.2011,-0.5539,1.0953,0.9524,0.4189,3.7304,0.5000,0.4189,1
1777377303266817987,86.5,0,6,1.564460e-01,4.038985e-01,2,-0.0529,-0.3909,0.0000,0.0000,0.0983,2.2191,-0.5303,1.0747,0.9626,0.4189,7.3085,0.5000,0.4189,1
1777377303296881034,66.9,0,4,1.744954e-01,4.335058e-01,2,-0.0563,-0.3863,0.1569,0.0041,0.2021,2.1955,-0.5428,1.1110,0.9500,0.4189,6.3493,0.5000,0.4189,1
1777377303327669605,45.7,0,2,1.785901e-01,3.171573e-01,2,-0.0597,-0.3707,0.2006,0.0063,0.1346,2.2134,-0.5207,1.0900,0.9550,0.4189,6.9539,0.5000,0.4189,1
1777377303361938022,299.6,0,20,1.950896e-01,4.804015e-02,2,-0.0638,-0.3640,0.3006,0.0096,0.2720,2.2179,-0.5235,1.0882,0.9559,0.4189,2.8705,0.5000,0.4189,1
1777377303392026638,233.2,0,21,1.952515e-01,8.770609e-02,2,-0.0702,-0.3465,0.3796,0.0135,0.4017,2.2362,-0.5047,1.0667,0.9667,0.4189,-1.2536,0.5000,0.4189,1
1777377303422874027,108.1,0,8,1.749571e-01,9.153814e-01,2,-0.0764,-0.3272,0.0000,0.0000,0.4502,2.2778,-0.4738,1.0233,0.9866,0.4189,5.9458,0.5000,0.4189,1
1777377303457085002,47.0,0,2,1.868694e-01,1.041879e+00,2,-0.0782,-0.3083,0.0000,0.0000,0.4973,2.2811,-0.4737,1.0232,0.9866,0.4189,6.7142,0.5000,0.4189,1
1777377303487308150,87.2,0,6,1.719813e-01,4.693962e-01,2,-0.0811,-0.2890,0.0000,0.0000,0.2888,2.2990,-0.4589,0.9949,0.9838,0.4189,7.3085,0.5000,0.4189,1
1777377303521920480,56.2,0,3,1.603913e-01,9.358048e-01,2,-0.0801,-0.2863,0.0000,0.0000,0.1454,2.3022,-0.4588,0.9947,0.9838,0.4189,7.3085,0.5000,0.4189,1
1777377303557151933,106.7,0,8,1.541364e-01,1.015062e-01,2,-0.0823,-0.2821,0.0000,0.0000,-0.0143,2.3055,-0.4588,0.9945,0.9839,0.4189,6.9703,0.5000,0.4189,1
1777377303587568686,86.6,0,6,1.773229e-01,1.479585e-01,2,-0.0829,-0.2813,0.1630,0.0054,0.0853,2.2806,-0.4645,1.0350,0.9950,0.4189,7.3085,0.5000,0.4189,1
1777377303622024820,56.7,0,3,1.701102e-01,2.861595e-01,2,-0.0848,-0.2684,0.2130,0.0068,0.1362,2.2993,-0.4513,1.0188,0.9844,0.4189,7.3085,0.5000,0.4189,1
