unix_time_ns,solve_us,status,iterations,primal_residual,dual_residual,closest_wp,e_y,e_psi,vx,vy,omega,v_ref0,kappa0,left_wall0,right_wall0,cmd_steer,cmd_accel,actual_steer,use_steering_feedback
1777392007140712806,1044.444,1,100,0.412710071,0.055032492,0,-0.074785,-0.385675,0.000000,0.000000,-0.001625,1.995208,-0.300139,0.910000,1.020000,0.085470,7.063200,0.000,1
1777392007142240048,1337.509,1,100,0.352943301,0.097789764,0,-0.074785,-0.385674,0.000000,0.000000,-0.001625,1.995208,-0.300139,0.910000,1.020000,0.085470,7.063200,0.000,1
1777392007143510003,1063.613,1,100,0.304983616,0.074325800,0,-0.074785,-0.385669,0.000000,0.000000,-0.001659,1.995208,-0.300139,0.910000,1.020000,0.085470,7.063200,0.085,1
1777392007144589456,1027.100,1,100,0.270744205,0.054677010,0,-0.074785,-0.385662,0.000000,0.000000,-0.001659,1.995208,-0.300139,0.910000,1.020000,0.170940,7.063200,0.085,1
1777392007145825234,1114.879,1,100,0.262601018,0.058167458,0,-0.074785,-0.385655,0.000000,0.000000,-0.001659,1.995683,-0.300139,0.910000,1.020000,0.170940,7.063200,0.085,1
1777392007146992913,1088.701,1,100,0.237922251,0.045214176,0,-0.074785,-0.385653,0.000000,0.000000,-0.001594,1.995683,-0.300139,0.910000,1.020000,0.170940,7.063200,0.171,1
1777392007148091215,1044.732,1,100,0.219974875,0.040034294,0,-0.074785,-0.385643,0.000000,0.000000,-0.001594,1.995683,-0.300139,0.910000,1.020000,0.256410,7.063200,0.171,1
1777392007149188301,1050.556,1,100,0.201512158,0.034921646,0,-0.074785,-0.385643,0.000000,0.000000,-0.001594,1.995683,-0.300139,0.910000,1.020000,0.256410,7.063200,0.171,1
1777392007150271115,1034.588,1,100,0.185302913,0.030487061,0,-0.074785,-0.385647,0.000000,0.000000,-0.001594,1.995683,-0.300139,0.910000,1.020000,0.256410,7.063200,0.256,1
1777392007151538861,1131.775,1,100,0.234933794,0.039186001,0,-0.074785,-0.385655,0.000000,0.000000,-0.001594,1.996153,-0.300139,0.910000,1.020000,0.341880,7.063200,0.256,1
1777392007152647084,1033.821,1,100,0.217598796,0.032413960,0,-0.074785,-0.385653,0.000000,0.000000,-0.001454,1.996153,-0.300139,0.910000,1.020000,0.341880,7.063200,0.256,1
1777392007153776618,1054.748,1,100,0.202730596,0.027893543,0,-0.074785,-0.385664,0.000000,0.000000,-0.001454,1.996153,-0.300139,0.910000,1.020000,0.341880,7.063200,0.342,1
1777392007154864680,1039.036,1,100,0.202997625,0.035960197,0,-0.074785,-0.385669,0.000000,0.000000,-0.001454,1.996153,-0.300139,0.910000,1.020000,0.418900,7.063200,0.342,1
1777392007156113034,1126.239,1,100,0.188356102,0.027096748,0,-0.074785,-0.385677,0.000000,0.000000,-0.001454,1.996625,-0.300139,0.910000,1.020000,0.418900,7.063200,0.342,1
