# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,0.389708,-1.931523,2.484624,1.140807,2.268820,-0.078396,0.520000,1.380000
0.049946,0.350675,-1.903259,2.546795,1.347458,2.267093,-0.067933,0.505000,1.275000
0.099892,0.307355,-1.875985,2.610252,1.096836,2.265596,0.054076,0.490000,1.205000
0.149839,0.266690,-1.853419,2.658965,1.001084,2.266788,0.054104,0.485000,1.130000
0.199785,0.220155,-1.830510,2.708547,0.913264,2.267980,-0.564376,0.465000,1.085000
0.249731,0.174848,-1.810764,2.752223,0.865220,2.255517,-0.899155,0.475000,1.040000
0.299677,0.129356,-1.793200,2.793920,0.846746,2.235517,-0.891146,0.455000,1.005000
0.349624,0.080172,-1.776584,2.837596,0.837004,2.215517,1.595395,0.415000,0.985000
0.399570,0.032174,-1.762611,2.878419,0.768240,2.251196,3.486675,0.405000,0.925000
0.449516,-0.015002,-1.750801,2.913394,0.674728,2.327268,3.602538,0.410000,0.940000
0.499462,-0.064395,-1.740180,2.945569,0.602401,2.403340,3.718402,0.390000,0.920000
0.549408,-0.115813,-1.730781,2.975522,0.546312,2.479412,3.807507,0.375000,0.915000
0.599355,-0.163557,-1.723391,2.999875,0.462948,2.554961,3.920994,0.385000,0.905000
0.649301,-0.212504,-1.716947,3.020886,0.390285,2.630495,4.035224,0.380000,0.895000
0.699247,-0.262697,-1.711332,3.038966,0.327373,2.706029,4.149454,0.385000,0.890000
0.749193,-0.314024,-1.706458,3.054393,0.272432,2.781563,4.151050,0.365000,0.880000
0.799140,-0.362783,-1.702506,3.066717,0.232593,2.855127,4.252268,0.380000,0.865000
0.849086,-0.412134,-1.699074,3.077332,0.197250,2.928570,4.360261,0.385000,0.875000
0.899032,-0.462222,-1.696086,3.086411,0.165186,3.002012,4.468253,0.375000,0.860000
0.948978,-0.512978,-1.693483,3.094048,0.135851,3.075455,4.473579,0.400000,0.845000
0.998924,-0.562903,-1.691266,3.100152,0.108268,3.147268,4.506149,0.410000,0.855000
1.048871,-0.612362,-1.689337,3.104856,0.082097,3.217985,4.606274,0.415000,0.850000
1.098817,-0.662250,-1.687595,3.108329,0.057331,3.288702,4.706399,0.425000,0.840000
1.148763,-0.712513,-1.685985,3.110613,0.033689,3.359419,4.644491,0.425000,0.830000
1.198709,-0.763044,-1.684453,3.111738,0.011269,3.427775,1.060773,0.430000,0.835000
1.248656,-0.812674,-1.682979,3.111949,-0.002695,3.443197,1.065535,0.450000,0.835000
1.298602,-0.862509,-1.681492,3.111473,-0.016382,3.458619,1.070297,0.460000,0.805000
1.348548,-0.912502,-1.679960,3.110314,-0.029913,3.474041,1.075059,0.475000,0.795000
1.398494,-0.962604,-1.678349,3.108477,-0.043405,3.489463,-1.091060,0.475000,0.780000
1.448441,-1.012699,-1.676629,3.105967,-0.056443,3.473811,-4.629766,0.465000,0.810000
1.498387,-1.062696,-1.674771,3.102835,-0.068775,3.406594,-4.539307,0.490000,0.800000
1.548333,-1.112662,-1.672742,3.099082,-0.081369,3.339377,-4.448848,0.480000,0.795000
1.598279,-1.162555,-1.670513,3.094697,-0.094321,3.272161,-4.358389,0.495000,0.805000
1.648225,-1.212331,-1.668054,3.089664,-0.107730,3.204944,-4.347231,0.475000,0.800000
1.698172,-1.262448,-1.665307,3.083852,-0.124948,3.136464,-4.287806,0.480000,0.800000
1.748118,-1.312581,-1.662243,3.077093,-0.144312,3.067424,-4.192372,0.490000,0.795000
1.798064,-1.362467,-1.658832,3.069376,-0.164511,2.998383,-4.096937,0.455000,0.795000
1.848010,-1.412066,-1.655031,3.060671,-0.185677,2.929343,-4.014430,0.490000,0.780000
1.897957,-1.461451,-1.650788,3.050918,-0.208706,2.860077,-4.070915,0.485000,0.775000
1.947903,-1.511809,-1.645927,3.039517,-0.242325,2.788079,-3.967130,0.460000,0.760000
1.997849,-1.561737,-1.640491,3.026467,-0.277717,2.716081,-3.863346,0.465000,0.730000
