label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_N,Q_CONTOURING,Q_LAG,Q_ALPHA,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_N_TERM,Q_CONTOURING_TERM,Q_LAG_TERM,Q_ALPHA_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time,my_track,1168200.0,5,1,9.1671,4.3755,3.1411,2.0984,6.43,2.9436,5.2224,657.1,904.5,11677,0.4,100.0,OK,0.0,500.0,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=100,Phase 1: One-at-a-time,my_track,776800.0,6,0,6.4268,1.7323,3.1415,1.4435,5.09,2.54,4.0024,659.1,879.0,7763,0.1,100.0,OK,0.0,100,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=200,Phase 1: One-at-a-time,my_track,1113600.0,6,0,9.8103,3.2263,3.1411,1.4941,5.73,1.857,3.4916,660.9,873.5,11131,0.7,100.0,OK,0.0,200,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=1000,Phase 1: One-at-a-time,my_track,1038300.0,6,0,15.8188,6.9105,3.141,1.4942,5.16,2.3281,3.9736,665.2,1545.7,10378,0.3,100.0,OK,0.0,1000,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=2000,Phase 1: One-at-a-time,my_track,695700.0,5,1,10.3016,1.9423,3.1411,0.9316,4.65,2.6053,4.3674,661.6,873.1,6952,0.0,100.0,OK,0.0,2000,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_CONTOURING=5000,Phase 1: One-at-a-time,my_track,1108400.0,5,1,16.7211,6.3182,3.1414,1.4293,4.77,1.4634,2.9603,660.6,729.7,11079,0.0,100.0,OK,0.0,5000,1000.0,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=100,Phase 1: One-at-a-time,my_track,1105000.0,6,0,24.2818,5.4579,3.1414,1.8846,6.94,3.108,10.9577,661.8,871.5,11045,1.4,100.0,OK,0.0,500.0,100,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=500,Phase 1: One-at-a-time,my_track,451700.0,5,1,7.1972,1.2532,3.1412,0.8725,4.9,2.1263,3.1769,670.5,934.0,4512,0.0,100.0,OK,0.0,500.0,500,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=2000,Phase 1: One-at-a-time,my_track,1106200.0,6,0,18.4634,7.5677,3.1415,1.3581,6.39,1.9905,4.0196,669.0,1335.9,11057,1.1,100.0,OK,0.0,500.0,2000,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
Q_LAG=5000,Phase 1: One-at-a-time,my_track,75.974,3,3,0.0,0.0,0.0,0.0,0.0,2.287,2.287,14.5,613.4,0,0.0,1.1,OK,0.0,500.0,5000,50.0,100.0,0.0,5.0,1.0,0.5,0.5,0.01,1.0,0.1,0.1,0.1,0.0,500.0,1000.0,50.0,5.0,1.0,100,0.01,10,0.06,20.0
