label,phase,raceline,score,tracker_score,racer_score,passed,failed,max_contouring_err,avg_contouring_err,max_heading_err,avg_heading_err,max_vx,avg_vel,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,avg_rho,avg_rho_u,avg_adapt_updates,avg_clip_events,status,return_code,Q_CONTOURING,Q_LAG,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_CONTOURING_TERM,Q_LAG_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time sensitivity,my_track,1063200.0,1063200.0,1063200.0,6,0,0.8255,0.7113,1.5698,1.1396,5.32,2.6561,4.4619,275.0,327.8,10612,0.1,48.3,3.132,3.132,1.85,0.0,OK,0,1000.0,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=50,Phase 1: One-at-a-time sensitivity,my_track,10300.0,10300.0,10300.0,4,2,1.1266,0.4439,1.5699,1.5006,4.06,2.6734,4.4619,278.2,356.1,83,0.0,48.8,1.981,1.981,0.06,0.0,OK,1,50,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=200,Phase 1: One-at-a-time sensitivity,my_track,449700.0,449700.0,449700.0,6,0,3.0522,0.729,1.5698,0.7814,9.18,2.03,5.0026,216.9,416.6,4477,7.5,37.2,4.097,4.097,0.71,0.0,OK,0,200,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=500,Phase 1: One-at-a-time sensitivity,my_track,976400.0,976400.0,976400.0,6,0,2.0759,0.4063,2.0169,1.5103,6.74,2.6128,4.4619,242.3,381.3,9744,3.7,42.2,3.966,3.966,0.46,0.0,OK,0,500,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=700,Phase 1: One-at-a-time sensitivity,my_track,83700.0,83700.0,83700.0,6,0,1.2199,0.1379,1.5869,1.3651,6.1,4.1028,4.8453,262.8,353.2,817,3.5,46.0,3.271,3.271,1.97,0.0,OK,0,700,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=1500,Phase 1: One-at-a-time sensitivity,my_track,1178400.0,1178400.0,1178400.0,5,1,2.1478,1.9009,2.4877,2.3034,5.1,2.709,4.4619,283.6,352.7,11764,0.1,49.3,3.336,3.336,0.1,0.0,OK,1,1500,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=2000,Phase 1: One-at-a-time sensitivity,my_track,12000.0,12000.0,12000.0,5,1,0.6502,0.2837,1.5695,1.5178,6.38,2.996,4.4619,282.0,397.2,100,0.5,49.3,3.331,3.331,0.09,0.0,OK,1,2000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=3000,Phase 1: One-at-a-time sensitivity,my_track,20500.0,20500.0,20500.0,5,1,0.8548,0.2327,0.9962,0.2458,5.25,3.0241,4.4619,284.8,345.4,185,0.2,49.3,2.198,2.198,1.98,0.0,OK,1,3000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=5000,Phase 1: One-at-a-time sensitivity,my_track,8700.0,8700.0,8700.0,5,1,0.661,0.1755,1.8187,1.5216,6.13,3.6985,4.4619,284.8,392.7,67,0.6,49.4,5.256,5.256,1.06,0.0,OK,1,5000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
Q_CONTOURING=8000,Phase 1: One-at-a-time sensitivity,my_track,185600.0,185600.0,185600.0,4,2,1.1093,0.5582,1.57,1.5125,4.21,2.727,4.4619,282.7,389.3,1836,0.0,49.4,3.588,3.588,0.22,0.0,OK,1,8000,700.0,8.0,0.0,5.0,3.5,0.7,6.5,0.014149,1.0,2.0,0.1,0.1,450.0,950.0,5.0,17.0,50,0.05,7,0.035,10.0
