label,phase,raceline,score,passed,failed,max_lat_err,avg_lat_err,max_hdg_err,avg_hdg_err,max_vx,avg_vel_err,max_vel_err,avg_solve_us,max_solve_us,wall_collisions,time_above_5ms,avg_iters,status,Q_N,Q_CONTOURING,Q_LAG,Q_ALPHA,Q_PROGRESS,Q_VX,VX_REF,Q_VY,Q_OMEGA,R_DELTA,R_AX,R_VTHETA,W_DELTA_RATE,W_AX_RATE,W_VTHETA_RATE,Q_N_TERM,Q_CONTOURING_TERM,Q_LAG_TERM,Q_ALPHA_TERM,Q_PROGRESS_TERM,ADMM_RHO,ADMM_MAX_ITER,ADMM_TOL,HORIZON,DT,V_THETA_MAX
BASELINE,Phase 1: One-at-a-time,default,600.0,3,3,20.4076,0.062,1.5682,0.082,2.29,8.5518,10.3873,381.4,963.1,1,0.0,40.5,OK,0.0,50.0,100.0,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_CONTOURING=20,Phase 1: One-at-a-time,default,600.0,2,4,20.3415,0.2984,1.7021,0.3406,2.97,8.0118,11.3932,816.1,1021.8,1,0.0,86.9,OK,0.0,20,100.0,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_CONTOURING=100,Phase 1: One-at-a-time,default,368.127,5,1,0.0,0.0,0.0,0.0,0.0,7.2478,7.2478,944.2,1024.9,0,0.0,100.0,OK,0.0,100,100.0,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_CONTOURING=200,Phase 1: One-at-a-time,default,600.0,3,3,1.4873,0.1294,1.5862,0.2704,3.15,8.7349,11.5498,779.6,987.0,1,0.0,84.4,OK,0.0,200,100.0,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_LAG=50,Phase 1: One-at-a-time,default,340.788,4,2,3.0015,0.3735,0.7413,0.2872,2.88,10.137,11.7983,819.8,968.5,0,0.0,87.4,OK,0.0,50.0,50,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_LAG=200,Phase 1: One-at-a-time,default,600.0,3,3,1.2769,0.0507,1.533,0.0492,2.26,8.6963,10.3628,371.5,940.7,1,0.0,40.2,OK,0.0,50.0,200,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_LAG=500,Phase 1: One-at-a-time,default,368.116,5,1,0.0,0.0,0.0,0.0,0.0,7.2478,7.2478,938.5,1490.5,0,0.0,100.0,OK,0.0,50.0,500,20.0,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_ALPHA=5,Phase 1: One-at-a-time,default,341.167,3,3,3.0013,0.8658,1.0155,0.29,3.15,10.3351,11.4086,855.4,1091.2,0,0.0,90.4,OK,0.0,50.0,100.0,5,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_ALPHA=10,Phase 1: One-at-a-time,default,600.0,2,4,14.5944,0.3197,1.5635,0.344,3.09,7.8336,11.4794,782.8,1082.2,1,0.0,83.9,OK,0.0,50.0,100.0,10,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_ALPHA=50,Phase 1: One-at-a-time,default,345.844,2,4,3.0003,1.0246,0.9816,0.3068,3.07,10.5693,11.3189,890.3,1015.1,0,0.0,95.1,OK,0.0,50.0,100.0,50,2.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_PROGRESS=0.5,Phase 1: One-at-a-time,default,385.02,3,3,1.2828,0.6307,0.2793,0.085,0.33,10.6981,11.681,936.6,986.0,0,0.0,100.0,OK,0.0,50.0,100.0,20.0,0.5,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_PROGRESS=1.0,Phase 1: One-at-a-time,default,352.954,3,3,3.0001,1.4728,0.3484,0.1809,2.92,11.0021,11.5626,913.6,1154.6,0,0.0,97.3,OK,0.0,50.0,100.0,20.0,1.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_PROGRESS=5.0,Phase 1: One-at-a-time,default,322.007,3,3,3.0035,0.3693,1.8388,0.4719,3.46,8.2725,10.7447,790.2,960.8,0,0.0,83.9,OK,0.0,50.0,100.0,20.0,5.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
Q_PROGRESS=10.0,Phase 1: One-at-a-time,default,310.52,5,1,0.1289,0.0429,0.3614,0.0665,2.69,6.7577,10.1453,487.8,936.4,0,0.0,52.1,OK,0.0,50.0,100.0,20.0,10.0,0.0,12.0,10.0,0.1,0.01,0.01,0.5,0.1,0.1,0.1,0.0,100.0,200.0,10.0,5.0,1.218171,100,0.014462,10,0.0425,2.0
