wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,amcl_processing_ms,amcl_pose_compute_ms,cpu_to_gpu_scan_ms,gpu_to_cpu_particles_ms,gpu_to_cpu_weights_ms,cpu_gpu_transfer_total_ms,cpu_to_gpu_scan_bytes,gpu_to_cpu_particles_bytes,gpu_to_cpu_weights_bytes,amcl_predict_ms,amcl_sensor_model_ms,amcl_normalize_ms,amcl_scan_confidence_ms,amcl_update_weights_total_ms,amcl_cluster_estimate_ms,amcl_resample_ms,amcl_kld_target_ms,amcl_full_compute_ms,amcl_callback_to_pose_publish_ms,amcl_pose_published,amcl_cluster_weight,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779707258517256524,1779707258506340952,0.292,-1,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,6.619,3.443,10.062,0.461,0.096,10.618
1779707258612129790,1779707258586362521,0.236,2000,6.508,5.250,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.536,0.277,2.751,0.063,4.037,0.674,1.258,nan,6.508,6.719,1.000,0.857,1.919,3.076,4.995,0.274,-1.000,-1.000
1779707258642152775,1779707258636355058,0.164,2000,1.707,1.358,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.418,0.281,0.088,0.044,0.468,0.470,0.349,nan,1.707,1.812,1.000,0.949,2.301,2.803,5.105,0.436,0.088,5.628
1779707258692251394,1779707258686324585,0.696,2000,2.061,2.026,0.471,nan,nan,0.471,1084.000,0.000,0.000,0.580,0.362,0.095,0.044,1.002,0.442,0.034,nan,2.061,2.159,1.000,0.966,1.114,3.578,4.691,0.522,0.013,5.226
1779707258742938609,1779707258736340803,0.528,2000,1.429,1.389,0.041,nan,nan,0.041,1084.000,0.000,0.000,0.429,0.313,0.079,0.043,0.498,0.460,0.039,nan,1.429,1.540,1.000,0.992,1.759,3.758,5.517,0.402,0.146,6.065
1779707258793296948,1779707258786345115,0.272,2000,1.688,1.475,0.055,nan,nan,0.055,1084.000,0.000,0.000,0.422,0.331,0.085,0.046,0.547,0.503,0.213,nan,1.688,1.807,1.000,0.997,1.485,4.459,5.944,0.726,0.005,6.676
1779707258842062311,1779707258836340948,0.245,2000,1.366,1.328,0.054,nan,nan,0.054,1084.000,0.000,0.000,0.414,0.303,0.057,0.042,0.480,0.433,0.037,nan,1.366,1.475,1.000,0.989,2.069,2.927,4.996,0.465,0.012,5.473
1779707258862591207,1779707258856328676,0.266,2000,1.657,1.624,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.422,0.275,0.065,0.044,0.441,0.758,0.033,nan,1.657,1.768,1.000,0.997,1.773,3.749,5.521,0.460,0.012,5.993
1779707258886897950,1779707258883370192,0.504,2000,1.270,1.231,0.032,nan,nan,0.032,1084.000,0.000,0.000,0.422,0.257,0.061,0.036,0.407,0.400,0.038,nan,1.270,1.374,1.000,0.999,1.536,1.160,2.696,0.311,0.013,3.019
1779707258923197323,1779707258916349237,0.230,2000,1.432,1.233,0.049,nan,nan,0.049,1084.000,0.000,0.000,0.406,0.248,0.054,0.036,0.410,0.415,0.199,nan,1.432,1.543,1.000,0.999,1.658,4.330,5.988,0.461,0.165,6.614
1779707258942313760,1779707258936512939,0.232,2000,1.328,1.437,0.058,nan,nan,0.058,1084.000,0.000,0.000,0.427,0.312,0.074,0.041,0.503,0.505,0.031,nan,1.468,1.597,1.000,0.989,1.495,3.997,5.492,0.049,0.025,5.566
1779707258971978462,1779707258966335406,0.440,2000,1.328,1.296,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.404,0.259,0.076,0.042,0.449,0.442,0.032,nan,1.328,1.433,1.000,0.998,1.554,3.240,4.794,0.222,0.184,5.200
1779707259022649900,1779707259016326406,0.288,2000,1.346,1.311,0.038,nan,nan,0.038,1084.000,0.000,0.000,0.409,0.261,0.099,0.041,0.462,0.438,0.034,nan,1.346,1.461,1.000,0.999,1.584,4.024,5.607,0.259,0.165,6.032
1779707259072138517,1779707259066336863,0.473,2000,1.520,1.307,0.056,nan,nan,0.056,1084.000,0.000,0.000,0.422,0.259,0.075,0.042,0.457,0.426,0.213,nan,1.520,1.643,1.000,1.000,1.340,3.580,4.920,0.228,0.177,5.325
1779707259091989056,1779707259086447763,0.496,2000,1.259,1.226,0.047,nan,nan,0.047,1084.000,0.000,0.000,0.411,0.252,0.052,0.038,0.406,0.407,0.032,nan,1.259,1.364,1.000,0.989,1.559,3.428,4.987,0.020,0.036,5.043
1779707259112112373,1779707259106314688,0.280,2000,1.605,1.569,0.166,nan,nan,0.166,1084.000,0.000,0.000,0.608,0.249,0.056,0.041,0.556,0.403,0.036,nan,1.605,1.709,1.000,0.998,1.364,4.098,5.462,0.019,0.035,5.516
1779707259141973561,1779707259136341481,0.241,2000,1.274,1.248,0.032,nan,nan,0.032,1084.000,0.000,0.000,0.406,0.260,0.080,0.040,0.433,0.407,0.025,nan,1.274,1.379,1.000,1.000,1.701,3.535,5.236,0.019,0.130,5.385
1779707259162122190,1779707259156318617,0.334,2000,1.521,1.327,0.034,nan,nan,0.034,1084.000,0.000,0.000,0.434,0.253,0.074,0.042,0.423,0.467,0.194,nan,1.521,1.634,1.000,1.000,1.361,3.399,4.761,0.195,0.507,5.463
1779707259191991026,1779707259186346850,0.183,2000,1.306,1.279,0.033,nan,nan,0.033,1084.000,0.000,0.000,0.420,0.255,0.071,0.041,0.420,0.437,0.027,nan,1.306,1.420,1.000,0.988,1.503,3.468,4.971,0.291,0.196,5.458
1779707259212059941,1779707259206334194,0.587,2000,1.327,1.298,0.053,nan,nan,0.053,1084.000,0.000,0.000,0.417,0.273,0.071,0.041,0.461,0.418,0.029,nan,1.327,1.448,1.000,0.997,1.509,3.190,4.699,0.425,0.012,5.136
1779707259242019212,1779707259236360316,0.692,2000,1.345,1.309,0.034,nan,nan,0.034,1084.000,0.000,0.000,0.410,0.256,0.085,0.039,0.442,0.455,0.035,nan,1.345,1.466,1.000,0.999,1.266,3.182,4.448,0.331,0.185,4.964
1779707259262237604,1779707259256343564,0.207,2000,1.494,1.299,0.041,nan,nan,0.041,1084.000,0.000,0.000,0.430,0.267,0.076,0.039,0.448,0.419,0.194,nan,1.494,1.602,1.000,1.000,1.684,3.313,4.997,0.545,0.142,5.684
1779707259292086983,1779707259286362965,0.650,2000,1.419,1.381,0.039,nan,nan,0.039,1084.000,0.000,0.000,0.412,0.331,0.086,0.041,0.518,0.449,0.037,nan,1.419,1.524,1.000,0.990,1.029,3.988,5.017,0.020,0.035,5.071
1779707259312217244,1779707259306312804,0.714,2000,1.281,1.255,0.049,nan,nan,0.049,1084.000,0.000,0.000,0.406,0.249,0.073,0.041,0.433,0.413,0.026,nan,1.281,1.391,1.000,0.998,1.517,3.093,4.610,0.567,0.011,5.188
1779707259362097713,1779707259356376479,0.230,2000,1.523,1.323,0.039,nan,nan,0.039,1084.000,0.000,0.000,0.432,0.249,0.075,0.040,0.429,0.459,0.200,nan,1.523,1.639,1.000,1.000,1.533,3.557,5.090,0.280,0.119,5.488
1779707259370673245,1779707259336433008,0.631,2000,1.523,1.330,0.029,nan,nan,0.029,1084.000,0.000,0.000,0.412,0.252,0.052,0.037,0.403,0.513,0.028,nan,1.358,1.464,1.000,0.999,1.307,3.289,4.596,8.915,-1.000,-1.000
1779707259391881363,1779707259386507563,0.274,2000,1.341,1.311,0.033,nan,nan,0.033,1084.000,0.000,0.000,0.409,0.267,0.083,0.039,0.441,0.459,0.029,nan,1.341,1.453,1.000,0.990,1.426,3.327,4.753,0.172,0.172,5.097
1779707259431792433,1779707259406341559,0.218,2000,1.333,1.226,0.041,nan,nan,0.041,1084.000,0.000,0.000,0.397,0.250,0.061,0.037,0.410,0.417,0.028,nan,1.255,1.367,1.000,0.998,1.693,3.338,5.031,0.150,-1.000,-1.000
