monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_long_window_percent,gpu_percent
4035144841510,1779707251,602588945,32.599,0.000
4036144906220,1779707252,602654327,11.601,0.000
4037144908918,1779707253,602657377,9.910,0.000
4038144907270,1779707254,602656049,59.119,0.000
4039144910621,1779707255,602659368,25.195,0.000
4040144908571,1779707256,602657286,43.631,0.000
4041144907392,1779707257,602656267,32.234,0.000
4042144906667,1779707258,602656726,37.490,0.000
4043144906972,1779707259,602655496,40.221,0.000
4044144910965,1779707260,602659648,38.007,4.000
4045144910900,1779707261,602660031,38.173,43.000
4046144907257,1779707262,602656324,41.531,43.000
4047144909349,1779707263,602658800,38.876,43.000
4048144931608,1779707264,602680931,34.216,43.000
4049144950866,1779707265,602699869,38.812,0.000
