monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_mem_total_mib,cpu_mem_available_mib,cpu_mem_used_mib,cpu_buffers_mib,cpu_cached_mib,cpu_sreclaimable_mib,cpu_shmem_mib,cpu_page_cache_mib
4035144841510,1779707251,602588945,7619.953,5409.609,2210.344,151.445,4801.887,268.234,29.301,5040.820
4036144906220,1779707252,602654327,7619.953,5372.621,2247.332,151.449,4802.773,268.234,29.922,5041.086
4037144908918,1779707253,602657377,7619.953,5363.875,2256.078,151.465,4803.297,268.234,30.449,5041.082
4038144907270,1779707254,602656049,7619.953,5205.945,2414.008,151.480,4809.211,268.250,36.328,5041.133
4039144910621,1779707255,602659368,7619.953,5196.746,2423.207,151.480,4809.242,268.250,36.328,5041.164
4040144908571,1779707256,602657286,7619.953,5152.000,2467.953,151.484,4811.078,268.266,37.383,5041.961
4041144907392,1779707257,602656267,7619.953,5151.996,2467.957,151.484,4818.430,268.266,37.383,5049.312
4042144906667,1779707258,602656726,7619.953,5150.633,2469.320,151.492,4833.219,268.266,37.383,5064.102
4043144906972,1779707259,602655496,7619.953,5149.996,2469.957,151.492,4848.586,268.266,37.383,5079.469
4044144910965,1779707260,602659648,7619.953,5150.367,2469.586,151.492,4863.219,268.266,37.383,5094.102
4045144910900,1779707261,602660031,7619.953,5149.328,2470.625,151.492,4877.512,268.266,37.383,5108.395
4046144907257,1779707262,602656324,7619.953,5146.547,2473.406,151.492,4893.164,268.281,37.383,5124.062
4047144909349,1779707263,602658800,7619.953,5147.398,2472.555,151.500,4907.609,268.344,37.383,5138.570
4048144931608,1779707264,602680931,7619.953,5150.758,2469.195,151.500,4917.027,268.359,37.383,5148.004
4049144950866,1779707265,602699869,7619.953,5153.668,2466.285,151.492,4921.117,268.387,37.363,5152.141
