monotonic_time_ns,ros_time_sec,ros_time_nsec,emc_util_percent,emc_freq_mhz,emc_peak_bandwidth_mib_s,emc_estimated_bandwidth_mib_s,source,valid
4035144841510,1779707251,602588945,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4036144906220,1779707252,602654327,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4037144908918,1779707253,602657377,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4038144907270,1779707254,602656049,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4039144910621,1779707255,602659368,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4040144908571,1779707256,602657286,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4041144907392,1779707257,602656267,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4042144906667,1779707258,602656726,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4043144906972,1779707259,602655496,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4044144910965,1779707260,602659648,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4045144910900,1779707261,602660031,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4046144907257,1779707262,602656324,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4047144909349,1779707263,602658800,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4048144931608,1779707264,602680931,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4049144950866,1779707265,602699869,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
