monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
4035144841510,1779707251,602588945,50.000,0.000,0.000,100.000,0.000,0.000
4035371544576,1779707251,829554099,50.000,0.000,0.000,100.000,0.000,0.000
4035384902464,1779707251,842649643,0.000,0.000,0.000,100.000,0.000,0.000
4035404898672,1779707251,862644347,0.000,0.000,0.000,100.000,0.000,0.000
4035424902751,1779707251,882649258,0.000,0.000,0.000,100.000,0.000,0.000
4035444852269,1779707251,902599064,0.000,0.000,0.000,100.000,0.000,0.000
4035464897886,1779707251,922643561,0.000,0.000,0.000,100.000,0.000,0.000
4035484897837,1779707251,942643480,0.000,0.000,0.000,100.000,0.000,0.000
4035504897628,1779707251,962642823,0.000,0.000,50.000,100.000,0.000,0.000
4035524930189,1779707251,982680024,0.000,0.000,0.000,100.000,0.000,0.000
4035544915932,1779707252,2666631,0.000,0.000,100.000,50.000,0.000,0.000
4035564907467,1779707252,22657750,0.000,100.000,100.000,0.000,0.000,0.000
4035584911130,1779707252,42663558,0.000,0.000,100.000,0.000,0.000,0.000
4035604907946,1779707252,62660149,0.000,0.000,100.000,0.000,0.000,0.000
4035624908505,1779707252,82659780,0.000,0.000,100.000,0.000,0.000,0.000
4035644911177,1779707252,102663092,0.000,0.000,100.000,0.000,0.000,0.000
4035664913112,1779707252,122665380,0.000,0.000,100.000,0.000,0.000,0.000
4035684906728,1779707252,142658739,0.000,0.000,100.000,0.000,0.000,0.000
4035704911991,1779707252,162661698,0.000,0.000,100.000,0.000,0.000,0.000
4035724906343,1779707252,182654194,0.000,0.000,100.000,0.000,0.000,0.000
4035744901046,1779707252,202648577,0.000,0.000,100.000,0.000,0.000,0.000
4035764901669,1779707252,222648048,0.000,0.000,100.000,0.000,0.000,0.000
4035784899765,1779707252,242645440,0.000,0.000,100.000,0.000,0.000,0.000
4035804905764,1779707252,262654800,0.000,0.000,100.000,0.000,0.000,0.000
4035824901844,1779707252,282648959,0.000,0.000,100.000,0.000,0.000,0.000
4035844901667,1779707252,302649166,0.000,0.000,100.000,0.000,0.000,0.000
4035864902419,1779707252,322648510,0.000,0.000,100.000,0.000,0.000,0.000
4035884899842,1779707252,342645997,0.000,0.000,100.000,0.000,0.000,0.000
4035904900018,1779707252,362645757,0.000,0.000,100.000,0.000,0.000,0.000
4035924904449,1779707252,382656524,0.000,0.000,100.000,0.000,0.000,0.000
4035944906577,1779707252,402657724,0.000,66.667,0.000,0.000,0.000,0.000
4035964906752,1779707252,422653099,0.000,0.000,0.000,0.000,0.000,0.000
4035984904592,1779707252,442651099,0.000,0.000,0.000,0.000,0.000,0.000
4036004903359,1779707252,462649930,0.000,0.000,0.000,0.000,0.000,0.000
4036024903311,1779707252,482649306,0.000,0.000,0.000,0.000,0.000,0.000
4036044904446,1779707252,502650761,0.000,0.000,0.000,50.000,0.000,0.000
4036064908334,1779707252,522657273,0.000,0.000,0.000,50.000,0.000,0.000
4036084907773,1779707252,542657096,0.000,0.000,0.000,0.000,0.000,0.000
4036104906221,1779707252,562653496,0.000,0.000,0.000,0.000,0.000,0.000
4036124878587,1779707252,582626822,0.000,0.000,0.000,0.000,0.000,0.000
