monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
4035144841510,1779707251,602588945,19.524,0.000
4035371544576,1779707251,829554099,19.524,0.000
4035384902464,1779707251,842649643,19.264,0.000
4035404898672,1779707251,862644347,18.052,0.000
4035424902751,1779707251,882649258,16.524,0.000
4035444852269,1779707251,902599064,17.619,0.000
4035464897886,1779707251,922643561,17.186,0.000
4035484897837,1779707251,942643480,16.104,0.000
4035504897628,1779707251,962642823,17.922,0.000
4035524930189,1779707251,982680024,17.619,0.000
4035544915932,1779707252,2666631,19.381,0.000
4035564907467,1779707252,22657750,23.190,0.000
4035584911130,1779707252,42663558,26.643,0.000
4035604907946,1779707252,62660149,26.310,0.000
4035624908505,1779707252,82659780,27.500,0.000
4035644911177,1779707252,102663092,25.000,0.000
4035664913112,1779707252,122665380,19.500,0.000
4035684906728,1779707252,142658739,18.485,0.000
4035704911991,1779707252,162661698,16.104,0.000
4035724906343,1779707252,182654194,14.857,0.000
4035744901046,1779707252,202648577,16.537,0.000
4035764901669,1779707252,222648048,16.970,0.000
4035784899765,1779707252,242645440,16.667,0.000
4035804905764,1779707252,262654800,16.667,0.000
4035824901844,1779707252,282648959,16.970,0.000
4035844901667,1779707252,302649166,16.524,0.000
4035864902419,1779707252,322648510,16.104,0.000
4035884899842,1779707252,342645997,16.048,0.000
4035904900018,1779707252,362645757,16.048,0.000
4035924904449,1779707252,382656524,18.095,0.000
4035944906577,1779707252,402657724,18.095,0.000
4035964906752,1779707252,422653099,15.238,0.000
4035984904592,1779707252,442651099,13.333,0.000
4036004903359,1779707252,462649930,10.606,0.000
4036024903311,1779707252,482649306,4.286,0.000
4036044904446,1779707252,502650761,1.429,0.000
4036064908334,1779707252,522657273,3.095,0.000
4036084907773,1779707252,542657096,4.113,0.000
4036104906221,1779707252,562653496,2.814,0.000
4036124878587,1779707252,582626822,3.095,0.000
4036144906220,1779707252,602654327,0.000,0.000
4036370492772,1779707252,828243503,0.000,0.000
4036384899461,1779707252,842645264,1.429,0.000
4036404903093,1779707252,862649824,1.299,0.000
4036424902276,1779707252,882648847,1.429,0.000
4036444906708,1779707252,902652895,1.429,0.000
4036464905027,1779707252,922650862,1.299,0.000
4036484903283,1779707252,942650174,0.000,0.000
4036504902754,1779707252,962649133,0.000,0.000
4036524900337,1779707252,982646813,0.000,0.000
4036544904321,1779707253,2649964,0.000,0.000
4036564901329,1779707253,22646588,0.000,0.000
4036584906528,1779707253,42655339,1.515,0.000
4036604906640,1779707253,62658459,3.333,0.000
4036624903071,1779707253,82649707,3.333,0.000
4036644901839,1779707253,102647642,3.333,0.000
4036664898559,1779707253,122644170,3.030,0.000
4036684900590,1779707253,142646105,1.667,0.000
4036704899678,1779707253,162645289,0.000,0.000
4036724901805,1779707253,182647353,0.000,0.000
4036744900253,1779707253,202645864,0.000,0.000
4036764901101,1779707253,222646648,1.429,0.000
4036784900668,1779707253,242646151,1.429,0.000
4036804901228,1779707253,262647959,1.429,0.000
4036824901852,1779707253,282647847,1.299,0.000
4036844900779,1779707253,302646070,1.299,0.000
4036864899771,1779707253,322645030,1.299,0.000
4036884898762,1779707253,342644021,0.000,0.000
4036904898842,1779707253,362644101,0.000,0.000
4036924904810,1779707253,382651221,0.000,0.000
4036944905465,1779707253,402651524,0.000,0.000
4036964905961,1779707253,422651892,0.000,0.000
4036984904185,1779707253,442650692,0.000,0.000
4037004902312,1779707253,462648851,0.000,0.000
4037024904440,1779707253,482650563,0.000,0.000
4037044902279,1779707253,502648242,0.000,0.000
4037064900695,1779707253,522646210,0.000,0.000
4037084900326,1779707253,542645841,0.000,0.000
4037104905014,1779707253,562654881,1.667,0.000
4037125201711,1779707253,582954362,6.429,0.000
4037144908918,1779707253,602657377,14.381,0.000
4037370709270,1779707253,828463169,14.381,0.000
4037384900049,1779707253,842645404,11.558,0.000
4037404901696,1779707253,862648299,10.043,0.000
4037424902832,1779707253,882649179,5.931,0.000
4037444903872,1779707253,902650315,2.597,0.000
4037464905839,1779707253,922655034,2.597,0.000
4037487520016,1779707253,945272828,21.429,0.000
4037506930446,1779707253,964683737,41.429,0.000
4037524936095,1779707253,982688266,55.762,0.000
4037544919662,1779707254,2671929,72.429,0.000
4037564914302,1779707254,22666569,89.571,0.000
4037584909069,1779707254,42661144,91.000,0.000
4037604908029,1779707254,62660776,91.818,0.000
4037624915693,1779707254,82668984,95.455,0.000
4037644908476,1779707254,102659752,97.500,0.000
4037664911820,1779707254,122662840,97.727,0.000
4037684947773,1779707254,142698184,97.727,0.000
4037704914668,1779707254,162666199,95.500,0.000
4037724902523,1779707254,182655271,95.909,0.000
4037744915339,1779707254,202666103,98.182,0.000
4037764936444,1779707254,222689703,98.000,0.000
4037784912075,1779707254,242664598,98.000,0.000
4037804914907,1779707254,262667558,100.000,0.000
4037824907434,1779707254,282659477,100.000,0.000
4037844908826,1779707254,302661061,100.000,0.000
4037864946507,1779707254,322697462,100.000,0.000
4037884961883,1779707254,342712902,100.000,0.000
4037904869672,1779707254,362621843,100.000,0.000
4037924909657,1779707254,382660452,100.000,0.000
4037944908809,1779707254,402659380,100.000,0.000
4037964907192,1779707254,422657572,100.000,0.000
4037984928009,1779707254,442678484,96.429,0.000
4038004906552,1779707254,462656835,89.643,0.000
4038024885223,1779707254,482633490,84.351,0.000
4038044910679,1779707254,502660739,74.610,0.000
4038064914023,1779707254,522664498,57.786,0.000
4038084915351,1779707254,542665986,55.048,0.000
4038104908263,1779707254,562659346,55.455,0.000
4038124912342,1779707254,582663330,44.286,0.000
4038144907270,1779707254,602656049,6.190,0.000
4038370971472,1779707254,828819807,6.190,0.000
4038384906691,1779707254,842654446,5.952,0.000
4038404906195,1779707254,862653886,6.190,0.000
4038424900706,1779707254,882646797,4.329,0.000
4038444907250,1779707254,902653885,4.113,0.000
4038464901794,1779707254,922648461,4.113,0.000
4038484903250,1779707254,942649949,4.113,0.000
4038505147177,1779707254,962897396,11.607,0.000
4038524902993,1779707254,982652764,13.274,0.000
4038544905153,1779707255,2653548,13.799,0.000
4038564904657,1779707255,22653788,15.179,0.000
4038584903457,1779707255,42651692,15.417,0.000
4038604906193,1779707255,62654108,8.095,0.000
4038624927969,1779707255,82678892,18.929,0.000
4038644908592,1779707255,102659228,24.167,0.000
4038664907872,1779707255,122658027,30.167,0.000
4038684909232,1779707255,142657467,34.690,0.000
4038704910496,1779707255,162658923,35.952,0.000
4038724905680,1779707255,182653499,32.922,0.000
4038744910752,1779707255,202660843,30.143,0.000
4038764907536,1779707255,222657691,31.342,0.000
4038784907039,1779707255,242655563,29.524,0.000
4038804907247,1779707255,262655066,26.710,0.000
4038824905759,1779707255,282653354,30.238,0.000
4038844906223,1779707255,302653786,27.002,0.000
4038864907007,1779707255,322654506,19.940,0.000
4038884905679,1779707255,342653274,17.045,0.000
4038904907967,1779707255,362655626,15.893,0.000
4038924904015,1779707255,382651354,14.665,0.000
4038944908991,1779707255,402656714,13.571,0.000
4038964907182,1779707255,422655001,15.476,0.000
4038984907966,1779707255,442655465,15.152,0.000
4039004907662,1779707255,462656921,16.667,0.000
4039024905310,1779707255,482653193,16.234,0.000
4039044904654,1779707255,502652153,14.935,0.000
4039064905694,1779707255,522653193,14.935,0.000
4039084906318,1779707255,542653689,10.823,0.000
4039104905981,1779707255,562653577,10.823,0.000
4039125063346,1779707255,582815005,16.190,0.000
4039144910621,1779707255,602659368,41.472,0.000
4039375920515,1779707255,833673551,41.472,0.000
4039384910076,1779707255,842660647,37.238,0.000
4039404906540,1779707255,862656855,40.571,0.000
4039425005759,1779707255,882760234,42.294,0.000
4039444909227,1779707255,902659895,39.238,0.000
4039464906811,1779707255,922657158,42.238,0.000
4039484907851,1779707255,942658486,41.524,0.000
4039505098977,1779707255,962849612,45.413,0.000
4039524978509,1779707255,982728632,53.032,0.000
4039544912379,1779707256,2661606,53.211,0.000
4039564908299,1779707256,22658646,50.938,0.000
4039584910523,1779707256,42660614,50.072,0.000
4039604910571,1779707256,62661078,48.211,0.000
