wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,amcl_processing_ms,amcl_pose_compute_ms,cpu_to_gpu_scan_ms,gpu_to_cpu_particles_ms,gpu_to_cpu_weights_ms,cpu_gpu_transfer_total_ms,cpu_to_gpu_scan_bytes,gpu_to_cpu_particles_bytes,gpu_to_cpu_weights_bytes,amcl_predict_ms,amcl_sensor_model_ms,amcl_normalize_ms,amcl_scan_confidence_ms,amcl_update_weights_total_ms,amcl_cluster_estimate_ms,amcl_resample_ms,amcl_kld_target_ms,amcl_full_compute_ms,amcl_callback_to_pose_publish_ms,amcl_pose_published,amcl_cluster_weight,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1781364648022993189,1781364647325854437,0.422,-1,4.385,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,4.609,3.185,7.794,-1.000,-1.000,-1.000
1781364648023124491,1781364647405830948,0.304,1000,3.750,3.468,0.030,nan,nan,0.030,1084.000,0.000,0.000,0.419,0.344,0.066,0.040,0.522,0.313,0.841,0.294,4.385,4.752,1.000,0.769,4.124,3.302,7.426,-1.000,-1.000,-1.000
1781364648023144044,1781364647455840477,0.389,1000,3.750,3.693,0.028,nan,nan,0.028,1084.000,0.000,0.000,0.441,0.355,0.088,0.042,0.535,0.393,0.049,nan,3.750,3.943,1.000,0.898,4.644,2.292,6.936,-1.000,-1.000,-1.000
1781364648023157229,1781364647505817523,0.352,1000,3.647,3.500,0.052,nan,nan,0.052,1084.000,0.000,0.000,0.417,0.335,0.065,0.039,0.515,0.323,1.036,0.338,4.614,4.749,1.000,0.926,4.169,2.818,6.987,-1.000,-1.000,-1.000
1781364648023172430,1781364647555820556,0.266,1000,3.647,3.591,0.031,nan,nan,0.031,1084.000,0.000,0.000,0.414,0.350,0.069,0.053,0.544,0.318,0.054,nan,3.647,4.041,1.000,0.960,5.500,1.538,7.038,-1.000,-1.000,-1.000
1781364648023202703,1781364647575830940,0.730,1000,5.233,3.560,0.034,nan,nan,0.034,1084.000,0.000,0.000,0.475,0.347,0.079,0.041,0.525,0.309,1.551,0.328,5.233,5.639,1.000,0.954,3.879,2.782,6.661,-1.000,-1.000,-1.000
1781364648023215216,1781364647605818020,0.450,1000,3.790,3.752,0.030,nan,nan,0.030,1084.000,0.000,0.000,0.430,0.354,0.076,0.042,0.541,0.357,0.036,nan,3.790,3.917,1.000,0.943,5.450,2.631,8.081,-1.000,-1.000,-1.000
1781364648023228401,1781364647625831956,0.684,1000,4.988,4.059,0.037,nan,nan,0.037,1084.000,0.000,0.000,0.434,0.356,0.100,0.044,0.565,0.300,0.847,0.325,4.988,5.350,1.000,0.911,4.059,2.687,6.746,-1.000,-1.000,-1.000
1781364648023243889,1781364647655818396,0.320,1000,4.031,3.997,0.042,nan,nan,0.042,1084.000,0.000,0.000,0.402,0.353,0.063,0.039,0.519,0.311,0.033,nan,4.031,4.198,1.000,0.857,5.190,2.172,7.362,-1.000,-1.000,-1.000
1781364648023257138,1781364647675797611,0.626,1000,4.379,4.023,0.035,nan,nan,0.035,1084.000,0.000,0.000,0.412,0.349,0.103,0.041,0.555,0.306,0.532,0.317,4.677,4.876,1.000,0.807,4.976,1.751,6.727,-1.000,-1.000,-1.000
1781364648023269907,1781364647705800659,0.238,1000,4.236,4.336,0.048,nan,nan,0.048,1084.000,0.000,0.000,0.458,0.353,0.200,0.053,0.679,0.311,0.042,nan,4.379,4.805,1.000,0.724,12.636,4.421,17.057,-1.000,-1.000,-1.000
1781364648023283827,1781364647825832757,0.522,1261,4.522,4.124,0.030,nan,nan,0.030,1084.000,0.000,0.000,0.419,0.362,0.073,0.039,0.527,0.351,0.839,0.398,5.040,nan,0.000,0.806,4.784,2.368,7.152,-1.000,-1.000,-1.000
1781364648023296532,1781364647851768656,0.238,1261,5.679,4.486,0.034,nan,nan,0.034,1084.000,0.000,0.000,0.428,0.366,0.074,0.043,0.561,0.411,0.034,nan,4.522,5.219,1.000,0.920,6.258,0.015,6.273,-1.000,-1.000,-1.000
1781364648023309365,1781364647875853486,0.211,1024,5.679,4.760,0.046,nan,nan,0.046,1084.000,0.000,0.000,0.410,0.484,0.083,0.044,0.678,0.490,0.781,0.537,5.679,6.094,1.000,0.912,5.654,1.459,7.113,-1.000,-1.000,-1.000
1781364648023321749,1781364647905844693,0.393,1000,5.335,4.635,0.042,nan,nan,0.042,1084.000,0.000,0.000,0.447,0.362,0.081,0.041,0.548,0.524,0.624,0.327,5.335,5.413,1.000,0.920,5.193,2.782,7.975,-1.000,-1.000,-1.000
1781364648023334102,1781364647925840709,0.758,1046,4.998,4.349,0.058,nan,nan,0.058,1084.000,0.000,0.000,0.445,0.363,0.080,0.042,0.569,0.341,0.558,0.327,4.998,5.081,1.000,0.903,3.996,2.465,6.461,-1.000,-1.000,-1.000
1781364648023347415,1781364647955849453,0.225,1046,4.194,4.160,0.048,nan,nan,0.048,1084.000,0.000,0.000,0.418,0.360,0.079,0.041,0.555,0.396,0.032,nan,4.194,4.334,1.000,0.936,4.768,2.248,7.017,-1.000,-1.000,-1.000
1781364648023360183,1781364647975857630,0.610,1035,4.568,3.915,0.028,nan,nan,0.028,1084.000,0.000,0.000,0.489,0.357,0.071,0.039,0.517,0.341,0.578,0.346,4.568,4.705,1.000,0.893,4.114,2.505,6.619,-1.000,-1.000,-1.000
1781364648023444860,1781364648005820612,0.332,1035,3.752,3.721,0.027,nan,nan,0.027,1084.000,0.000,0.000,0.400,0.350,0.057,0.039,0.493,0.330,0.030,nan,3.752,3.932,1.000,0.882,5.540,0.054,5.594,11.230,0.464,17.288
1781364648039653964,1781364648025859413,0.618,1013,10.934,4.239,0.033,nan,nan,0.033,1084.000,0.000,0.000,0.413,0.352,0.063,0.045,0.517,0.632,0.578,0.346,4.926,5.165,1.000,0.858,10.981,2.111,13.092,0.061,0.018,13.172
1781364648063444794,1781364648055847323,0.660,1013,4.931,10.898,0.036,nan,nan,0.036,1084.000,0.000,0.000,0.424,0.354,0.060,0.039,0.517,0.302,0.034,nan,10.934,11.218,1.000,0.854,5.555,1.127,6.682,0.193,0.056,6.931
1781364648083801147,1781364648075797000,0.264,1239,4.124,3.928,0.028,nan,nan,0.028,1084.000,0.000,0.000,0.412,0.360,0.058,0.038,0.506,0.301,0.918,0.573,4.931,5.065,1.000,0.832,4.528,2.838,7.366,0.220,0.149,7.735
1781364648118642101,1781364648105852689,0.263,1239,7.417,4.092,0.050,nan,nan,0.050,1084.000,0.000,0.000,0.412,0.360,0.060,0.041,0.538,0.344,0.030,nan,4.124,4.702,1.000,0.869,7.736,4.487,12.222,0.089,0.207,12.519
1781364648133360763,1781364648125850432,0.265,1272,7.417,6.625,0.029,nan,nan,0.029,1084.000,0.000,0.000,0.432,0.432,0.087,0.047,1.177,0.362,0.694,0.421,7.417,7.666,1.000,0.846,4.529,2.395,6.925,0.154,0.161,7.240
1781364648166339831,1781364648155841959,0.504,1272,6.108,4.268,0.031,nan,nan,0.031,1084.000,0.000,0.000,0.476,0.359,0.059,0.037,0.509,0.392,0.031,nan,4.300,4.553,1.000,0.863,6.087,0.858,6.945,2.540,0.503,9.987
1781364648183711266,1781364648175814517,0.264,1261,5.118,4.828,0.044,nan,nan,0.044,1084.000,0.000,0.000,0.446,0.375,0.081,0.042,0.573,0.352,1.205,0.734,6.108,6.296,1.000,0.817,5.547,1.688,7.234,0.078,0.315,7.627
1781364648218360403,1781364648205831644,0.340,1261,5.118,5.057,0.031,nan,nan,0.031,1084.000,0.000,0.000,0.471,0.400,0.071,0.157,0.683,0.539,0.059,nan,5.118,5.505,1.000,0.819,9.635,2.266,11.901,0.191,0.089,12.181
1781364648233671670,1781364648225842476,1.005,1392,5.167,8.403,0.029,nan,nan,0.029,1084.000,0.000,0.000,0.459,0.364,0.057,0.040,0.513,3.444,0.735,0.438,9.217,9.307,1.000,0.808,5.476,0.944,6.420,0.228,0.172,6.819
1781364648263324715,1781364648255814225,0.351,1392,5.167,5.127,0.025,nan,nan,0.025,1084.000,0.000,0.000,0.402,0.370,0.068,0.040,0.523,0.488,0.038,nan,5.167,5.373,1.000,0.805,5.427,1.506,6.933,0.074,0.147,7.153
