monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cache_references,cache_misses,cache_reference_delta,cache_miss_delta,cache_miss_rate_percent,cache_hit_rate_percent,counters_valid
4759771801970,1781364880,111907941,ekf_localization,30481,0,0,0,0,0.000000,-1.000000,true
4759771801970,1781364880,111907941,gpu_amcl_cpp,30479,0,0,0,0,0.000000,-1.000000,true
4759771801970,1781364880,111907941,odom_fused,30477,0,0,0,0,0.000000,-1.000000,true
4759771801970,1781364880,111907941,performance_monitor,30485,0,0,0,0,0.000000,-1.000000,true
4759771801970,1781364880,111907941,pipeline_latency_monitor,30483,0,0,0,0,0.000000,-1.000000,true
4759971869139,1781364880,305795874,ekf_localization,30481,1590039,36554,1590039,36554,2.298937,97.701063,true
4759971869139,1781364880,305795874,gpu_amcl_cpp,30479,24051318,556797,24051318,556797,2.315037,97.684963,true
4759971869139,1781364880,305795874,odom_fused,30477,2432854,46733,2432854,46733,1.920913,98.079087,true
4759971869139,1781364880,305795874,performance_monitor,30485,1320362,29675,1320362,29675,2.247490,97.752510,true
4759971869139,1781364880,305795874,pipeline_latency_monitor,30483,2128209,48439,2128209,48439,2.276045,97.723955,true
4760171872946,1781364880,505796032,ekf_localization,30481,1590039,36554,0,0,0.000000,-1.000000,true
4760171872946,1781364880,505796032,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4760171872946,1781364880,505796032,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4760171872946,1781364880,505796032,performance_monitor,30485,1320362,29675,0,0,0.000000,-1.000000,true
4760171872946,1781364880,505796032,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
4760371865104,1781364880,705787390,ekf_localization,30481,1590039,36554,0,0,0.000000,-1.000000,true
4760371865104,1781364880,705787390,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4760371865104,1781364880,705787390,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4760371865104,1781364880,705787390,performance_monitor,30485,1320362,29675,0,0,0.000000,-1.000000,true
4760371865104,1781364880,705787390,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
4760571866191,1781364880,905786269,ekf_localization,30481,1590039,36554,0,0,0.000000,-1.000000,true
4760571866191,1781364880,905786269,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4760571866191,1781364880,905786269,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4760571866191,1781364880,905786269,performance_monitor,30485,1320362,29675,0,0,0.000000,-1.000000,true
4760571866191,1781364880,905786269,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
4760771865002,1781364881,111217342,ekf_localization,30481,1590039,36554,0,0,0.000000,-1.000000,true
4760771865002,1781364881,111217342,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4760771865002,1781364881,111217342,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4760771865002,1781364881,111217342,performance_monitor,30485,1364340,31426,43978,1751,3.981536,96.018464,true
4760771865002,1781364881,111217342,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
4760971860067,1781364881,305781617,ekf_localization,30481,1590039,36554,0,0,0.000000,-1.000000,true
4760971860067,1781364881,305781617,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4760971860067,1781364881,305781617,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4760971860067,1781364881,305781617,performance_monitor,30485,1364340,31426,0,0,0.000000,-1.000000,true
4760971860067,1781364881,305781617,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
4761171859260,1781364881,505778442,ekf_localization,30481,1590039,36554,0,0,0.000000,-1.000000,true
4761171859260,1781364881,505778442,gpu_amcl_cpp,30479,24051318,556797,0,0,0.000000,-1.000000,true
4761171859260,1781364881,505778442,odom_fused,30477,2432854,46733,0,0,0.000000,-1.000000,true
4761171859260,1781364881,505778442,performance_monitor,30485,1364340,31426,0,0,0.000000,-1.000000,true
4761171859260,1781364881,505778442,pipeline_latency_monitor,30483,2128209,48439,0,0,0.000000,-1.000000,true
