monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_mem_total_mib,cpu_mem_available_mib,cpu_mem_used_mib,cpu_buffers_mib,cpu_cached_mib,cpu_sreclaimable_mib,cpu_shmem_mib,cpu_page_cache_mib
4759761964979,1781364880,95888289,7619.949,3721.488,3898.461,59.348,743.863,151.621,8.387,887.098
4760762027083,1781364881,95948825,7619.949,3705.168,3914.781,59.355,744.492,151.625,8.559,887.559
4761762031398,1781364882,95957684,7619.949,3698.449,3921.500,59.359,745.059,151.629,9.062,887.625
4762762030053,1781364883,95953939,7619.949,3574.828,4045.121,59.406,750.750,151.633,14.746,887.637
4763762029064,1781364884,95951894,7619.949,3545.906,4074.043,59.406,750.930,151.633,14.887,887.676
4764762031536,1781364885,95954814,7619.949,3532.383,4087.566,59.410,751.492,151.633,15.414,887.711
4765762031644,1781364886,95956362,7619.949,3532.340,4087.609,59.418,751.520,151.633,15.414,887.738
4766762032557,1781364887,95956475,7619.949,3531.570,4088.379,59.418,751.488,151.637,15.414,887.711
4767762032227,1781364888,95956817,7619.949,3531.617,4088.332,59.418,751.523,151.637,15.414,887.746
4768762036669,1781364889,95963148,7619.949,3502.641,4117.309,59.426,752.066,151.637,15.918,887.785
4769762034652,1781364890,95961259,7619.949,3501.930,4118.020,59.426,752.125,151.641,15.941,887.824
4770762036480,1781364891,95963055,7619.949,3501.453,4118.496,59.434,752.148,151.645,15.941,887.852
4771762036905,1781364892,95963416,7619.949,3500.992,4118.957,59.434,752.164,151.645,15.941,887.867
4772762032407,1781364893,95958789,7619.949,3500.516,4119.434,59.434,752.188,151.645,15.941,887.891
4773762036010,1781364894,95961336,7619.949,3500.074,4119.875,59.434,752.230,151.645,15.941,887.934
4774762035234,1781364895,95961776,7619.949,3499.867,4120.082,59.434,752.258,151.645,15.941,887.961
4775762033983,1781364896,95960269,7619.949,3499.883,4120.066,59.441,752.293,151.645,15.941,887.996
4776762036865,1781364897,95964143,7619.949,3499.926,4120.023,59.441,752.324,151.645,15.941,888.027
4777762036456,1781364898,95963351,7619.949,3499.965,4119.984,59.441,752.363,151.645,15.941,888.066
4778762030805,1781364899,95955907,7619.949,3499.965,4119.984,59.441,752.375,151.645,15.941,888.078
4779762035463,1781364900,95962453,7619.949,3500.020,4119.930,59.441,752.402,151.645,15.941,888.105
4780762033918,1781364901,95959884,7619.949,3500.059,4119.891,59.449,752.441,151.648,15.941,888.148
4781762035611,1781364902,95962121,7619.949,3500.094,4119.855,59.449,752.469,151.648,15.941,888.176
4782762033789,1781364903,95960011,7619.949,3500.121,4119.828,59.449,752.492,151.648,15.941,888.199
4783762034661,1781364904,95961299,7619.949,3499.664,4120.285,59.449,752.543,151.648,15.941,888.250
4784762068851,1781364905,95995266,7619.949,3499.438,4120.512,59.449,752.547,151.648,15.941,888.254
4785762038085,1781364906,95965331,7619.949,3499.234,4120.715,59.457,752.598,151.652,15.941,888.309
4786762032669,1781364907,95957580,7619.949,3499.012,4120.938,59.457,752.637,151.652,15.941,888.348
4787762033052,1781364908,95957770,7619.949,3523.820,4096.129,59.457,752.668,151.656,15.941,888.383
