monotonic_time_ns,ros_time_sec,ros_time_nsec,emc_util_percent,emc_freq_mhz,emc_peak_bandwidth_mib_s,emc_estimated_bandwidth_mib_s,source,valid
4759761964979,1781364880,95888289,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4760762027083,1781364881,95948825,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4761762031398,1781364882,95957684,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4762762030053,1781364883,95953939,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4763762029064,1781364884,95951894,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4764762031536,1781364885,95954814,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4765762031644,1781364886,95956362,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4766762032557,1781364887,95956475,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4767762032227,1781364888,95956817,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4768762036669,1781364889,95963148,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4769762034652,1781364890,95961259,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4770762036480,1781364891,95963055,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4771762036905,1781364892,95963416,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4772762032407,1781364893,95958789,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4773762036010,1781364894,95961336,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4774762035234,1781364895,95961776,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4775762033983,1781364896,95960269,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4776762036865,1781364897,95964143,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4777762036456,1781364898,95963351,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4778762030805,1781364899,95955907,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4779762035463,1781364900,95962453,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4780762033918,1781364901,95959884,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4781762035611,1781364902,95962121,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4782762033789,1781364903,95960011,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4783762034661,1781364904,95961299,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4784762068851,1781364905,95995266,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4785762038085,1781364906,95965331,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4786762032669,1781364907,95957580,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
4787762033052,1781364908,95957770,50.000,-1.000,97275.000,48637.500,gpu_emc3d_ratio,true
