# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,5.232761,-4.169924,-2.712873,-1.381650,2.286971,-1.100647,1.335000,1.090000
0.049903,5.185171,-4.189642,-2.784543,-1.361875,2.262827,-1.088966,1.295000,1.145000
0.099807,5.138782,-4.205289,-2.845908,-1.105235,2.238682,-0.812578,1.260000,1.200000
0.149710,5.091993,-4.218297,-2.894251,-0.996859,2.220495,-0.629202,1.250000,1.235000
0.199614,5.043689,-4.229222,-2.944116,-0.999303,2.206309,-0.568943,1.225000,1.245000
0.249517,4.994222,-4.237864,-2.992505,-0.932390,2.193402,-0.373132,1.210000,1.325000
0.299420,4.946345,-4.243965,-3.036998,-0.908855,2.184897,-0.371683,1.215000,1.415000
0.349324,4.895615,-4.248121,-3.082363,-0.871907,2.176391,-0.650980,1.205000,1.620000
0.399227,4.845812,-4.250000,-3.125628,-0.894111,2.161413,-0.868100,1.205000,2.000000
0.449131,4.796803,-4.249679,3.111939,-0.966141,2.141276,-0.859974,1.235000,2.000000
0.499034,4.745915,-4.246884,3.060926,-1.034472,2.121139,1.452052,1.260000,2.000000
0.548938,4.696056,-4.241532,3.008785,-0.988587,2.155030,3.894890,1.280000,2.000000
0.598841,4.647669,-4.233930,2.963875,-0.849716,2.243411,4.051414,1.310000,2.000000
0.648744,4.598318,-4.224025,2.924133,-0.733206,2.331791,4.204758,1.330000,2.000000
0.698648,4.548536,-4.212087,2.889169,-0.633160,2.420106,4.332361,1.365000,0.715000
0.748551,4.501514,-4.199227,2.860940,-0.527280,2.507850,4.486639,1.410000,0.680000
0.798455,4.453921,-4.184872,2.837131,-0.432626,2.595595,4.640918,1.435000,0.655000
0.848358,4.405781,-4.169203,2.817422,-0.347750,2.683339,4.681076,1.470000,0.635000
0.898262,4.358321,-4.152826,2.801753,-0.284460,2.769027,4.673582,1.495000,0.610000
0.948165,4.311986,-4.136096,2.788764,-0.243581,2.852011,4.811575,1.530000,0.595000
0.998068,4.265238,-4.118575,2.777553,-0.206174,2.934995,4.949568,1.280000,0.580000
1.047972,4.218105,-4.100350,2.768018,-0.171726,3.017978,4.933291,1.215000,0.560000
1.097875,4.171644,-4.081923,2.760220,-0.140964,3.098479,4.927989,1.130000,0.545000
1.147779,4.125751,-4.063345,2.753938,-0.113110,3.176856,5.051088,1.100000,0.525000
1.197682,4.079570,-4.044348,2.748954,-0.086787,3.255234,5.174188,1.045000,0.505000
1.247586,4.033119,-4.025004,2.745223,-0.061736,3.333612,5.094756,0.995000,0.485000
1.297489,3.986987,-4.005623,2.742710,-0.039763,3.409026,4.988111,0.945000,0.475000
1.347392,3.941238,-3.986297,2.741212,-0.020683,3.481280,5.092724,0.905000,0.460000
1.397296,3.895285,-3.966828,2.740645,-0.002123,3.553533,5.197337,0.860000,0.450000
1.447199,3.849144,-3.947274,2.740996,0.016050,3.625786,4.951856,0.810000,0.455000
1.497103,3.803018,-3.927770,2.742226,0.031192,3.693312,4.300863,0.785000,0.465000
1.547006,3.757132,-3.908450,2.744010,0.040453,3.750975,4.367491,0.775000,0.450000
1.596909,3.711108,-3.889181,2.746259,0.049696,3.808637,4.434119,0.785000,0.465000
1.646813,3.664960,-3.869994,2.748974,0.058965,3.866300,3.438145,0.795000,0.485000
1.696716,3.618722,-3.850931,2.752156,0.068502,3.910425,-4.967360,0.770000,0.490000
1.746620,3.572542,-3.832076,2.755853,0.079724,3.846511,-4.885502,0.745000,0.500000
1.796523,3.526267,-3.813396,2.760113,0.090989,3.782597,-4.803644,0.740000,0.525000
1.846427,3.479896,-3.794923,2.764937,0.102318,3.718683,-4.721786,0.730000,0.535000
1.896330,3.433429,-3.776685,2.770329,0.113728,3.654769,-4.638891,0.730000,0.545000
1.946233,3.386907,-3.758734,2.776523,0.135969,3.590870,-4.556934,0.720000,0.570000
