time_s,rpm,motor_current_A,duty_cycle,voltage_V,phase
0.0001,0,0.00,-0.0010,11.6,baseline
0.0051,0,0.00,-0.0010,11.6,baseline
0.0101,0,0.00,-0.0010,11.6,baseline
0.0151,0,0.00,0.0010,11.6,baseline
0.0201,0,0.00,-0.0010,11.6,baseline
0.0251,0,0.00,0.0000,11.6,baseline
0.0301,0,0.00,-0.0020,11.6,baseline
0.0351,0,0.00,0.0000,11.6,baseline
0.0401,0,0.00,-0.0010,11.6,baseline
0.0451,0,0.00,-0.0010,11.6,baseline
0.0501,0,0.00,-0.0010,11.6,baseline
0.0551,0,0.00,-0.0010,11.6,baseline
0.0601,0,0.00,-0.0010,11.6,baseline
0.0651,0,0.00,0.0010,11.6,baseline
0.0701,0,0.00,-0.0010,11.6,baseline
0.0751,0,0.00,0.0000,11.6,baseline
0.0801,0,0.00,-0.0010,11.6,baseline
0.0851,0,0.00,0.0000,11.6,baseline
0.0901,0,0.00,0.0000,11.6,baseline
0.0951,0,0.00,0.0000,11.6,baseline
0.1001,0,0.00,-0.0010,11.6,baseline
0.1051,0,0.00,0.0010,11.6,baseline
0.1101,0,0.00,-0.0010,11.6,baseline
0.1151,0,0.00,0.0010,11.6,baseline
0.1201,0,0.00,0.0010,11.6,baseline
0.1251,0,0.00,0.0000,11.6,baseline
0.1301,0,0.00,-0.0010,11.6,baseline
0.1351,0,0.00,-0.0010,11.6,baseline
0.1401,0,0.00,-0.0010,11.6,baseline
0.1451,0,0.00,0.0000,11.6,baseline
0.1501,0,0.00,0.0000,11.6,baseline
0.1551,0,0.00,0.0010,11.6,baseline
0.1601,0,0.00,0.0000,11.6,baseline
0.1651,0,0.00,-0.0010,11.6,baseline
0.1701,0,0.00,-0.0010,11.6,baseline
0.1751,0,0.00,-0.0010,11.6,baseline
0.1801,0,0.00,0.0000,11.6,baseline
0.1851,0,0.00,0.0000,11.6,baseline
0.1901,0,0.00,-0.0010,11.6,baseline
0.1951,0,0.00,-0.0010,11.6,baseline
0.2001,0,0.00,-0.0020,11.6,baseline
0.2051,0,0.00,-0.0010,11.6,baseline
0.2101,0,0.00,-0.0010,11.6,baseline
0.2151,0,0.00,-0.0010,11.6,baseline
0.2201,0,0.00,-0.0010,11.6,baseline
0.2251,0,0.00,-0.0010,11.6,baseline
0.2301,0,0.00,0.0000,11.6,baseline
0.2351,0,0.00,0.0010,11.6,baseline
0.2401,0,0.00,-0.0010,11.6,baseline
0.2451,0,0.00,-0.0010,11.6,baseline
0.2501,0,0.00,-0.0010,11.6,baseline
0.2551,0,0.00,-0.0010,11.6,baseline
0.2601,0,0.00,0.0000,11.6,baseline
0.2651,0,0.00,-0.0010,11.6,baseline
0.2701,0,0.00,0.0000,11.6,baseline
0.2751,0,0.00,-0.0010,11.6,baseline
0.2801,0,0.00,-0.0010,11.6,baseline
0.2851,0,0.00,-0.0010,11.6,baseline
0.2901,0,0.00,-0.0010,11.6,baseline
0.2951,0,0.00,-0.0010,11.6,baseline
0.3001,0,0.00,-0.0010,11.6,baseline
0.3051,0,0.00,-0.0020,11.6,baseline
0.3101,0,0.00,-0.0010,11.6,baseline
0.3151,0,0.00,0.0010,11.6,baseline
0.3201,0,0.00,-0.0010,11.6,baseline
0.3251,0,0.00,-0.0010,11.6,baseline
0.3301,0,0.00,-0.0010,11.6,baseline
0.3351,0,0.00,-0.0010,11.6,baseline
0.3401,0,0.00,-0.0010,11.6,baseline
0.3451,0,0.00,0.0000,11.6,baseline
0.3501,0,0.00,0.0000,11.6,baseline
0.3551,0,0.00,-0.0010,11.6,baseline
0.3601,0,0.00,0.0000,11.6,baseline
0.3651,0,0.00,0.0000,11.6,baseline
0.3701,0,0.00,-0.0010,11.6,baseline
0.3751,0,0.00,-0.0010,11.6,baseline
0.3801,0,0.00,0.0010,11.6,baseline
0.3851,0,0.00,0.0000,11.6,baseline
0.3901,0,0.00,0.0000,11.6,baseline
0.3951,0,0.00,-0.0010,11.6,baseline
0.4001,0,0.00,-0.0010,11.6,baseline
0.4051,0,0.00,0.0000,11.6,baseline
0.4101,0,0.00,-0.0010,11.6,baseline
0.4151,0,0.00,0.0000,11.6,baseline
0.4201,0,0.00,-0.0010,11.6,baseline
0.4251,0,0.00,0.0000,11.6,baseline
0.4301,0,0.00,-0.0010,11.6,baseline
0.4351,0,0.00,-0.0010,11.6,baseline
0.4401,0,0.00,0.0000,11.6,baseline
0.4451,0,0.00,0.0010,11.6,baseline
0.4501,0,0.00,0.0000,11.6,baseline
0.4551,0,0.00,-0.0020,11.6,baseline
0.4601,0,0.00,0.0000,11.6,baseline
0.4651,0,0.00,0.0000,11.6,baseline
0.4701,0,0.00,0.0000,11.6,baseline
0.4751,0,0.00,0.0010,11.6,baseline
0.4801,0,0.00,-0.0010,11.6,baseline
0.4851,0,0.00,0.0000,11.6,baseline
0.4901,0,0.00,-0.0010,11.6,baseline
0.4951,0,0.00,-0.0010,11.6,baseline
0.5001,0,0.00,-0.0010,11.6,baseline
0.5051,0,0.00,0.0010,11.6,baseline
0.5101,0,0.00,0.0000,11.6,baseline
0.5151,0,0.00,-0.0020,11.6,baseline
0.5201,0,0.00,-0.0020,11.6,baseline
0.5251,0,0.00,-0.0010,11.6,baseline
0.5301,0,0.00,-0.0010,11.6,baseline
0.5351,0,0.00,-0.0010,11.6,baseline
0.5401,0,0.00,0.0000,11.6,baseline
0.5451,0,0.00,-0.0010,11.6,baseline
0.5501,0,0.00,-0.0020,11.6,baseline
0.5551,0,0.00,0.0000,11.6,baseline
0.5601,0,0.00,0.0000,11.6,baseline
0.5651,0,0.00,-0.0010,11.6,baseline
0.5701,0,0.00,-0.0010,11.6,baseline
