side,fraction,n,raw_echo,delta_rad,delta_deg,delta_rad_std,delta_odom_rad,v_lidar,v_odom
low_raw,0.87,3,0.1701235022262082,0.4160360968687434,23.83711247567488,0.00527260278154364,0.37823513244212875,0.5446926266234173,0.6121142857142857
low_raw,0.72,3,0.23259850222620826,0.34792934860300984,19.934883243688407,0.007639074319719882,0.32306321992909126,0.5646193340384088,0.6132461538461539
low_raw,0.57,3,0.2950735022262083,0.29111190216418814,16.679483360033316,0.002066029408297825,0.2706926317256612,0.5691318258083609,0.614378021978022
low_raw,0.42,2,0.3575485022262084,0.2195972688426041,12.581996697280907,0.0015931943991245152,0.2027167083866207,0.5664949306513387,0.6151703296703297
low_raw,0.27,2,0.42002350222620843,0.13504502330323653,7.737509879521304,0.00244458845157076,0.1275316434451968,0.5815493654992164,0.6160758241758242
low_raw,0.15,2,0.47000350222620846,0.07729504749380448,4.428679998658248,8.297567938458839e-05,0.07310964317388274,0.5825925067859763,0.6160758241758242
low_raw,0.08,2,0.4991585022262085,0.0397938188928556,2.280017873268584,0.0003810035252235278,0.03752125683631253,0.5811224881170192,0.6164153846153846
low_raw,0.04,3,0.5158185022262085,0.01567165465170249,0.8979196695291168,0.001394861754063235,0.014921191660746742,0.5884258712290873,0.6157362637362638
high_raw,0.04,1,0.5485393621371601,-0.00661999579500203,-0.3792978194479685,,-0.006445118599959689,0.5999109899950344,0.616189010989011
high_raw,0.08,4,0.5646002220481119,-0.032414719509355344,-1.857226621986432,0.002005651732970245,-0.03059524124707272,0.5776725326515705,0.6160758241758242
high_raw,0.15,2,0.5927067268922773,-0.06007011718004776,-3.4417641892730346,0.0029523768116633277,-0.056948675285036804,0.5838724936713702,0.6160758241758242
high_raw,0.27,2,0.6408893066251323,-0.1164680302929001,-6.673126583984996,0.005694293031974023,-0.11029870448266957,0.5818018249897939,0.6141516483516484
high_raw,0.42,4,0.7011175312912011,-0.19401025597228513,-11.11596884946471,0.003997124194416822,-0.18124725096659694,0.5726609408413923,0.615057142857143
high_raw,0.57,4,0.7613457559572698,-0.2509089560362556,-14.376024222910967,0.0018357848023330841,-0.23421435221697734,0.5726356072031809,0.6148307692307693
high_raw,0.72,4,0.8215739806233386,-0.3067049936483479,-17.572901691637057,0.004656498809407288,-0.286781324974286,0.570861091245748,0.6139252747252748
high_raw,0.87,2,0.8818022052894074,-0.36969579690526844,-21.182008866397524,0.0019176643684890085,-0.33842773307210744,0.5567984285682168,0.6130197802197803
