stage,trial_id,side,fraction,approach,raw_echo,odom_v,odom_v_mad,yaw_rate,yaw_rate_mad,curvature,delta_eq_rad,delta_eq_deg,split
04_static_map_training,training_high_raw_0.04_outward_sweep_01__attempt_01,high_raw,0.04,outward,0.5485393621371601,0.6159626373626373,0.0030205938461538642,-0.020111711372951552,0.012284454579350672,-0.0326508624923481,-0.010578484837064257,-0.6061025348069182,train
04_static_map_training,training_high_raw_0.08_outward_sweep_01__attempt_01,high_raw,0.08,outward,0.5646002220481119,0.616189010989011,0.003356215384615478,-0.05825036696840715,0.013162395014540161,-0.09453327782479064,-0.030619209555052807,-1.7543514795311692,train
04_static_map_training,training_high_raw_0.15_outward_sweep_01__attempt_01,high_raw,0.15,outward,0.5927067268922773,0.6157362637362638,0.0026849723076924153,-0.11188600272011508,0.0146228166074863,-0.18171091960898186,-0.058806455904549956,-3.3693617314528925,train
04_static_map_training,training_high_raw_0.27_outward_sweep_01__attempt_01,high_raw,0.27,outward,0.6408893066251323,0.6157362637362638,0.0030205938461538642,-0.20793118886268186,0.014710835139287722,-0.33769521320859597,-0.10897975375276957,-6.244079942408691,train
04_static_map_training,training_high_raw_0.42_outward_sweep_01__attempt_01,high_raw,0.42,outward,0.7011175312912011,0.6155098901098901,0.0026849723076924153,-0.34557335749682144,0.01982608945930575,-0.5614424122984026,-0.1799398050919236,-10.309791398173862,train
04_static_map_training,training_high_raw_0.57_outward_sweep_01__attempt_01,high_raw,0.57,outward,0.7613457559572698,0.615057142857143,0.0033562153846156424,-0.4519146947594737,0.02827090833143491,-0.7347523722107854,-0.23370961397181697,-13.390574512216809,train
04_static_map_training,training_high_raw_0.72_outward_sweep_01__attempt_01,high_raw,0.72,outward,0.8215739806233386,0.6141516483516484,0.005369944615384666,-0.5577480173994366,0.03759195178018767,-0.9081600918867575,-0.2861676108809279,-16.396196336819184,train
04_static_map_training,training_high_raw_0.87_outward_sweep_01__attempt_01,high_raw,0.87,outward,0.8818022052894074,0.6136989010989011,0.00704805230769224,-0.665852117632369,0.04747174355642311,-1.0849817662050254,-0.3380408397304142,-19.368313419611013,train
04_static_map_training,training_high_raw_0.87_inward_sweep_01__attempt_01,high_raw,0.87,inward,0.8818022052894074,0.6123406593406594,0.007383673846153854,-0.6660220273099161,0.047541728993077896,-1.0876658558441283,-0.33881462641380067,-19.41264813081248,train
04_static_map_training,training_high_raw_0.72_inward_sweep_01__attempt_01,high_raw,0.72,inward,0.8215739806233386,0.6136989010989011,0.005369944615384666,-0.5598639654645318,0.03828583418775556,-0.9122779337913568,-0.28739503906764413,-16.466522791573418,train
04_static_map_training,training_high_raw_0.57_inward_sweep_01__attempt_01,high_raw,0.57,inward,0.7613457559572698,0.6139252747252747,0.003356215384615313,-0.4531047282925756,0.02712991868080893,-0.7380454054369,-0.23471909046213768,-13.448413254629864,train
04_static_map_training,training_high_raw_0.42_inward_sweep_01__attempt_01,high_raw,0.42,inward,0.7011175312912011,0.6148307692307692,0.002684972307692086,-0.3503890351827141,0.018854930476895234,-0.5698950877508863,-0.18258946743961954,-10.461605867831565,train
04_static_map_training,training_high_raw_0.27_inward_sweep_01__attempt_01,high_raw,0.27,inward,0.6408893066251323,0.612567032967033,0.003356215384615313,-0.21224514364396033,0.015146985565041767,-0.346484763660768,-0.11179300583946021,-6.405267413682437,train
04_static_map_training,training_high_raw_0.15_inward_sweep_01__attempt_01,high_raw,0.15,inward,0.5927067268922773,0.6157362637362638,0.0030205938461538642,-0.11390762078716184,0.01425319059670491,-0.184994172823239,-0.059866488885480365,-3.4300971474048767,train
04_static_map_training,training_high_raw_0.08_inward_sweep_01__attempt_01,high_raw,0.08,inward,0.5646002220481119,0.616189010989011,0.0030205938461536994,-0.05872433057984639,0.012657307946580413,-0.09530246325813439,-0.03086819015554092,-1.7686170171197708,train
04_static_map_training,training_high_raw_0.04_inward_sweep_01__attempt_01,high_raw,0.04,inward,0.5485393621371601,0.616189010989011,0.0026849723076922505,-0.014999792385895867,0.011902829897367392,-0.02434284305366064,-0.007886917614104103,-0.451887092655554,train
04_static_map_training,training_low_raw_0.04_outward_sweep_01__attempt_01,low_raw,0.04,outward,0.5158185022262085,0.6157362637362638,0.003356215384615313,0.024253402367541695,0.013614212578551001,0.03938927069257378,0.012761430908735435,0.7311761316183393,train
04_static_map_training,training_low_raw_0.08_outward_sweep_01__attempt_01,low_raw,0.08,outward,0.4991585022262085,0.6164153846153847,0.0030205938461538642,0.06544061591351383,0.013861373329255012,0.10616317753708533,0.03438331365332586,1.9700187580101114,train
04_static_map_training,training_low_raw_0.15_outward_sweep_01__attempt_01,low_raw,0.15,outward,0.47000350222620846,0.6157362637362638,0.0030205938461538642,0.13098186754533975,0.012552157048982918,0.2127239782022044,0.0688137441767763,3.9427371138222274,train
04_static_map_training,training_low_raw_0.27_outward_sweep_01__attempt_01,low_raw,0.27,outward,0.42002350222620843,0.6159626373626373,0.003356215384615313,0.24257306929772995,0.013562985139088414,0.393811336246551,0.12690912510255012,7.271357250073892,train
04_static_map_training,training_low_raw_0.42_outward_sweep_01__attempt_01,low_raw,0.42,outward,0.3575485022262084,0.6152835164835165,0.0040274584615383755,0.38680151826850134,0.014283371199324444,0.6286557463446427,0.20093578836485573,11.512772626440146,train
04_static_map_training,training_low_raw_0.57_outward_sweep_01__attempt_01,low_raw,0.57,outward,0.2950735022262083,0.6146043956043956,0.005034323076923052,0.522628476303643,0.027020794703062845,0.8503493955484902,0.2688432700955588,15.403584726971175,train
04_static_map_training,training_low_raw_0.72_outward_sweep_01__attempt_01,low_raw,0.72,outward,0.23259850222620826,0.6133593406593407,0.006880241538461598,0.6337904347449612,0.04273908945146043,1.0333101539851952,0.32306321992909126,18.510159017843637,train
04_static_map_training,training_low_raw_0.87_outward_sweep_01__attempt_01,low_raw,0.87,outward,0.1701235022262082,0.6121142857142857,0.013089239999999969,0.7507236796503197,0.0746997306876079,1.2264436514078225,0.37823513244212875,21.6712767525057,train
