split,side,fraction,n,raw_echo_med,yaw_rate_med,yaw_rate_min,yaw_rate_max,curvature_med,delta_rad_med,delta_deg_med,odom_vx_med
holdout,high_raw,0.06,2,0.556569792092636,-0.038862854878550235,-0.04041722445323449,-0.03730848530386597,-0.06305765395712244,-0.020427824412670294,-1.1704281234803176,0.6163021978021979
holdout,high_raw,0.2,2,0.6127828017809669,-0.14560143902819328,-0.14664297220219885,-0.1445599058541877,-0.23633720003600406,-0.07642409176908566,-4.378777911489101,0.6160758241758242
holdout,high_raw,0.35,2,0.6730110264470357,-0.29599719900066734,-0.2968668542546327,-0.29512754374670197,-0.4806317667748839,-0.15448389205591076,-8.851275017558272,0.6158494505494505
holdout,high_raw,0.5,2,0.7332392511131045,-0.40822212490157717,-0.40904479200705945,-0.4073994577960948,-0.6637141437058205,-0.21181758855919486,-12.136253851080419,0.615057142857143
holdout,high_raw,0.65,2,0.7934674757791733,-0.5215132889567923,-0.5222314353118673,-0.5207951426017172,-0.8496304477970474,-0.2686267085036134,-15.39117666174807,0.6138120879120879
holdout,high_raw,0.8,2,0.853695700445242,-0.6148173291624217,-0.6158205086555409,-0.6138141496693025,-1.0016374346316237,-0.31380716127861363,-17.979825922245713,0.6138120879120879
holdout,low_raw,0.06,2,0.5074885022262084,0.049387026767056544,0.04191837042106506,0.056855683113048026,0.08016610724538803,0.0259675789767994,1.4878326795432502,0.6160758241758242
holdout,low_raw,0.2,2,0.4491785022262084,0.18136708189709236,0.1804303274672246,0.18230383632696012,0.29422815664312296,0.09504268806822172,5.445544899887491,0.6164153846153846
holdout,low_raw,0.35,2,0.3867035022262084,0.3313552533871082,0.3265200846909876,0.3361904220832288,0.5382422914732026,0.1726531819799824,9.89229864695715,0.6156230769230769
holdout,low_raw,0.5,2,0.32422850222620836,0.47169740963577583,0.46450012524367423,0.47889469402787743,0.7678954614051239,0.24384436405446036,13.971252918372137,0.6142648351648352
holdout,low_raw,0.65,2,0.26175350222620825,0.5846778160812922,0.5836420794438467,0.5857135527187376,0.9527119514753388,0.2993996266604265,17.154334995434958,0.6136989010989011
holdout,low_raw,0.8,2,0.1992785022262082,0.7141690306593513,0.7129922796421861,0.7153457816765164,1.1654328443183566,0.3610482152042597,20.68653893193516,0.6127934065934066
train,high_raw,0.04,4,0.5485393621371601,-0.014687116207900225,-0.020111711372951556,-0.012257611873292888,-0.023831124049402484,-0.007721130542174898,-0.4423881931361787,0.616189010989011
train,high_raw,0.08,4,0.5646002220481119,-0.05819405775610879,-0.0587243305798464,-0.05226928998949588,-0.09445923227547526,-0.03059524124707272,-1.7529781966418403,0.6160758241758242
train,high_raw,0.15,4,0.5927067268922773,-0.11238702446434845,-0.11390762078716184,-0.10392466157245894,-0.18242362067949802,-0.05903656716955043,-3.3825461357558364,0.6157362637362638
train,high_raw,0.27,4,0.6408893066251323,-0.20842523021202677,-0.21224514364396033,-0.20759396608965056,-0.3385599661604314,-0.10925660247889041,-6.259942205978987,0.6156230769230769
train,high_raw,0.42,4,0.7011175312912011,-0.34798119633976776,-0.3504497885450815,-0.34514240809817626,-0.565613262614985,-0.18124725096659694,-10.384702528734435,0.615057142857143
train,high_raw,0.57,4,0.7613457559572698,-0.45250971152602465,-0.45484720130430084,-0.44863900661867623,-0.7363988888238426,-0.23421435221697728,-13.419493883423335,0.6148307692307693
train,high_raw,0.72,4,0.8215739806233386,-0.5586630795499878,-0.5598639654645318,-0.5560036801749483,-0.9102190128390572,-0.286781324974286,-16.4313595641963,0.6139252747252748
train,high_raw,0.87,4,0.8818022052894074,-0.6660714289481371,-0.6667408810671557,-0.665852117632369,-1.0871278176176102,-0.33865954357727157,-19.403762538804447,0.6130197802197803
train,low_raw,0.04,4,0.5158185022262085,0.028404418503485865,0.024253402367541695,0.028834821746048196,0.046088453011714534,0.014931549006520923,0.8555147396664062,0.6159626373626375
train,low_raw,0.08,4,0.4991585022262085,0.06938739360128143,0.06544061591351383,0.07284952174373586,0.1126272114553892,0.036475029216300664,2.0898652317103985,0.6163021978021979
train,low_raw,0.15,4,0.47000350222620846,0.13703352037373273,0.13098186754533975,0.13991824606353356,0.22247050723801715,0.07195594952470863,4.1227722186221865,0.6159626373626373
train,low_raw,0.27,4,0.42002350222620843,0.24473848141888416,0.24257306929772995,0.24801760254077432,0.3971080279200505,0.12795999600764346,7.331567717748835,0.616189010989011
train,low_raw,0.42,4,0.3575485022262084,0.3930753765197532,0.3868015182685014,0.3966372379644365,0.6388529049785587,0.20410596785712182,11.694410531645918,0.6153967032967034
train,low_raw,0.57,4,0.2950735022262083,0.5242258070359589,0.5195211332332521,0.5263136254620401,0.8534215540415451,0.26976795091061,15.456565035070325,0.6144912087912089
train,low_raw,0.72,4,0.23259850222620826,0.6329110090187466,0.6231476440806776,0.6415479233947394,1.0319714628586643,0.32267309800238797,18.487806677948026,0.6133027472527472
train,low_raw,0.87,4,0.1701235022262082,0.7490623997623282,0.7427766737994688,0.7555652732225702,1.2230530606948613,0.37728567399475976,21.616876790648412,0.6124538461538461
