# x_m, y_m, w_tr_right_m, w_tr_left_m
0.021680, 8.826249, 1.8337, 3.3065
0.087067, 8.780274, 1.8375, 3.4152
0.150150, 8.731184, 1.8410, 3.2326
0.210874, 8.679204, 1.8431, 2.9134
0.269221, 8.624569, 1.8432, 2.6469
0.325205, 8.567514, 1.8406, 2.4416
0.378867, 8.508269, 1.8346, 2.2835
0.430273, 8.447057, 1.8255, 2.1520
0.479508, 8.384084, 1.8125, 2.0489
0.526670, 8.319544, 1.7958, 1.9740
0.571870, 8.253614, 1.7759, 1.9205
0.615220, 8.186453, 1.7535, 1.8808
0.656837, 8.118205, 1.7285, 1.8500
0.696839, 8.048998, 1.7017, 1.8252
0.735338, 7.978943, 1.6736, 1.8038
0.772445, 7.908141, 1.6448, 1.7830
0.808263, 7.836677, 1.6160, 1.7605
0.842889, 7.764629, 1.5878, 1.7347
0.876414, 7.692062, 1.5609, 1.7050
0.908920, 7.619033, 1.5361, 1.6714
0.940484, 7.545591, 1.5140, 1.6352
0.971172, 7.471779, 1.4952, 1.5987
1.001045, 7.397633, 1.4802, 1.5646
1.030158, 7.323186, 1.4694, 1.5351
1.058559, 7.248464, 1.4630, 1.5109
1.086289, 7.173490, 1.4596, 1.4916
1.113384, 7.098285, 1.4578, 1.4762
1.139878, 7.022866, 1.4546, 1.4638
1.165796, 6.947247, 1.4469, 1.4536
1.191164, 6.871441, 1.4311, 1.4451
1.216002, 6.795460, 1.4079, 1.4376
1.240327, 6.719314, 1.3810, 1.4308
1.264155, 6.643011, 1.3570, 1.4244
1.287501, 6.566558, 1.3390, 1.4186
1.310376, 6.489964, 1.3285, 1.4138
1.332792, 6.413233, 1.3224, 1.4103
1.354758, 6.336373, 1.3196, 1.4082
1.376286, 6.259389, 1.3178, 1.4068
1.397384, 6.182286, 1.3165, 1.4058
1.418063, 6.105070, 1.3154, 1.4043
1.438334, 6.027745, 1.3144, 1.4021
1.458208, 5.950318, 1.3132, 1.3987
1.477700, 5.872793, 1.3116, 1.3937
1.496824, 5.795177, 1.3093, 1.3874
1.515599, 5.717476, 1.3066, 1.3804
1.534047, 5.639696, 1.3035, 1.3731
1.552192, 5.561845, 1.3005, 1.3661
1.570064, 5.483931, 1.2976, 1.3597
1.587700, 5.405963, 1.2946, 1.3543
1.605141, 5.327952, 1.2916, 1.3504
1.622435, 5.249907, 1.2886, 1.3483
1.639641, 5.171844, 1.2860, 1.3477
1.656824, 5.093775, 1.2842, 1.3482
1.674060, 5.015717, 1.2833, 1.3490
1.691436, 4.937691, 1.2830, 1.3495
1.709051, 4.859719, 1.2828, 1.3492
1.727014, 4.781826, 1.2824, 1.3478
1.745451, 4.704044, 1.2819, 1.3448
1.764500, 4.626409, 1.2820, 1.3402
1.784315, 4.548966, 1.2833, 1.3333
1.805062, 4.471769, 1.2860, 1.3244
1.826929, 4.394881, 1.2898, 1.3136
1.850116, 4.318381, 1.2944, 1.3015
1.874842, 4.242364, 1.3003, 1.2890
1.901342, 4.166948, 1.3088, 1.2775
1.929869, 4.092276, 1.3220, 1.2682
1.960689, 4.018521, 1.3421, 1.2618
1.994080, 3.945895, 1.3698, 1.2591
2.030326, 3.874652, 1.4065, 1.2600
2.069710, 3.805094, 1.4570, 1.2622
2.112499, 3.737580, 1.5328, 1.2647
2.158931, 3.672518, 1.6475, 1.2656
2.209189, 3.610366, 1.8251, 1.2656
2.263387, 3.551620, 2.1545, 1.2657
2.321537, 3.496785, 1.5342, 1.2665
2.383540, 3.446348, 1.5335, 1.2688
2.449179, 3.400744, 2.1822, 1.2770
2.518125, 3.360316, 1.9962, 1.2889
2.589968, 3.325292, 1.8359, 1.3074
2.664248, 3.295784, 1.7080, 1.3328
2.740488, 3.271788, 1.6088, 1.3654
2.818228, 3.253217, 1.5355, 1.4075
2.897044, 3.239926, 1.4796, 1.4646
2.976554, 3.231744, 1.4334, 1.5466
3.056418, 3.228505, 1.3940, 1.6637
3.136333, 3.230067, 1.3599, 1.8240
3.216018, 3.236330, 1.3305, 2.0748
3.295201, 3.247240, 1.3059, 1.4361
3.373602, 3.262797, 1.2893, 1.4503
3.450923, 3.283053, 1.2850, 1.1400
3.526826, 3.308101, 1.2937, 1.1400
3.600925, 3.338065, 1.3151, 1.1350
3.672776, 3.373077, 1.3528, 1.1400
3.741874, 3.413248, 1.4085, 1.1400
3.807665, 3.458630, 1.4772, 2.9687
3.869571, 3.509181, 1.5571, 3.3945
3.927033, 3.564730, 1.6385, 3.1816
3.979562, 3.624966, 1.6954, 3.0751
4.026793, 3.689441, 1.7140, 3.0219
4.068522, 3.757606, 1.6919, 2.9953
4.104721, 3.828864, 1.6332, 4.3185
4.135522, 3.902618, 1.5505, 4.1423
4.161187, 3.978314, 1.4490, 4.0154
4.182065, 4.055470, 1.3367, 3.9251
4.198552, 4.133683, 1.2334, 3.8625
4.211061, 4.212631, 1.1460, 1.9551
4.219996, 4.292064, 1.0731, 0.9150
4.225742, 4.371791, 1.0122, 0.8610
4.228654, 4.451674, 0.9615, 0.7050
4.229054, 4.531608, 0.9206, 0.7412
4.227232, 4.611524, 0.8886, 0.7126
4.223446, 4.691370, 0.8636, 0.6935
4.217925, 4.771116, 0.8433, 0.6807
4.210873, 4.850741, 0.8259, 0.6719
4.202467, 4.930235, 0.8103, 0.6655
4.192867, 5.009594, 0.7960, 0.6614
4.182211, 5.088818, 0.7831, 0.6588
4.170622, 5.167910, 0.7713, 0.6579
4.158210, 5.246878, 0.7605, 0.6580
4.145069, 5.325728, 0.7506, 0.6588
4.131287, 5.404468, 0.7414, 0.6598
4.116941, 5.483108, 0.7327, 0.6607
4.102099, 5.561655, 0.7243, 0.6614
4.086825, 5.640120, 0.7164, 0.6617
4.071178, 5.718511, 0.7093, 0.6615
4.055211, 5.796838, 0.7035, 0.6607
4.038974, 5.875109, 0.6995, 0.6593
4.022514, 5.953334, 0.6974, 0.6569
4.005879, 6.031521, 0.6972, 0.6535
3.989110, 6.109680, 0.6985, 0.6494
3.972252, 6.187820, 0.7008, 0.6450
3.955346, 6.265949, 0.7035, 0.6408
3.938433, 6.344077, 0.7062, 0.6374
3.921554, 6.422212, 0.7085, 0.6349
3.904750, 6.500363, 0.7102, 0.6333
3.888062, 6.578539, 0.7111, 0.6325
3.871529, 6.656748, 0.7109, 0.6328
3.855192, 6.734999, 0.7090, 0.6341
3.839093, 6.813298, 0.7051, 0.6365
3.823272, 6.891655, 0.6984, 0.6396
3.807771, 6.970075, 0.6895, 0.6430
3.792631, 7.048565, 0.6787, 0.6462
3.777895, 7.127133, 0.6676, 0.6490
3.763606, 7.205783, 0.6580, 0.6518
3.749809, 7.284521, 0.6510, 0.6552
3.736547, 7.363350, 0.6480, 0.6597
3.723867, 7.442276, 0.6487, 0.6662
3.711818, 7.521300, 0.6530, 0.6749
3.700448, 7.600424, 0.6595, 0.6856
3.689808, 7.679650, 0.6673, 0.6975
3.679954, 7.758978, 0.6754, 0.7094
3.670942, 7.838406, 0.6832, 0.7202
3.662833, 7.917930, 0.6904, 0.7291
3.655692, 7.997548, 0.6967, 0.7352
3.649589, 8.077252, 0.7021, 0.7387
3.644600, 8.157033, 0.7065, 0.7401
3.640805, 8.236880, 0.7100, 0.7406
3.638296, 8.316778, 0.7131, 0.7419
3.637168, 8.396707, 0.7168, 0.7465
3.637529, 8.476642, 0.7230, 0.7559
3.639498, 8.556555, 0.7358, 0.7712
3.643205, 8.636405, 0.7659, 0.7932
3.648794, 8.716146, 0.7300, 0.8234
3.656429, 8.795717, 1.6419, 0.8636
3.666292, 8.875042, 2.5180, 0.9148
3.678591, 8.954025, 2.5186, 0.9760
3.693562, 9.032546, 2.5233, 1.0444
3.711481, 9.110446, 2.5339, 1.1178
3.732671, 9.187519, 2.5528, 1.1934
3.757511, 9.263494, 2.5838, 1.2670
3.786459, 9.337998, 2.6323, 1.3398
3.820063, 9.410519, 2.7065, 1.4236
3.858983, 9.480327, 2.8212, 1.5358
3.903988, 9.546368, 3.0240, 1.6926
3.955917, 9.607103, 2.6411, 1.8233
4.015508, 9.660316, 2.6367, 2.0164
4.082995, 9.703036, 1.2975, 2.2206
4.157432, 9.731938, 1.1453, 2.4210
4.236271, 9.744567, 2.6345, 1.6242
4.316037, 9.740731, 2.6334, 1.5900
4.393807, 9.722482, 3.5857, 1.5729
4.467995, 9.692813, 3.0505, 1.5644
4.538122, 9.654491, 2.7847, 1.9488
4.604287, 9.609660, 2.6499, 1.7184
4.666804, 9.559859, 2.5753, 1.5558
4.726024, 9.506176, 2.5302, 1.4310
4.782264, 9.449376, 2.5026, 1.3313
4.835784, 9.390004, 2.4859, 1.2415
4.886786, 9.328456, 2.4764, 1.1450
4.935422, 9.265019, 2.4717, 1.0391
4.981798, 9.199913, 2.4698, 0.9525
5.025991, 9.133305, 1.6174, 0.9168
5.068053, 9.065330, 0.7650, 0.9294
5.108020, 8.996103, 0.6700, 0.9520
5.145923, 8.925725, 0.6537, 0.9487
5.181796, 8.854291, 0.5300, 0.9258
5.215680, 8.781891, 0.5903, 0.8971
5.247631, 8.708618, 0.5848, 0.8692
5.277723, 8.634563, 0.5909, 0.8455
5.306054, 8.559815, 0.6038, 0.8277
5.332743, 8.484466, 0.6213, 0.8158
5.357933, 8.408601, 0.6408, 0.8083
5.381786, 8.332306, 0.6611, 0.8033
5.404487, 8.255660, 0.6814, 0.7994
5.426233, 8.178738, 0.7015, 0.7956
5.447235, 8.101609, 0.7210, 0.7912
5.467715, 8.024339, 0.7398, 0.7855
5.487897, 7.946991, 0.7573, 0.7788
5.508008, 7.869625, 0.7722, 0.7711
