# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
0.000000,4.908095,-5.806161,-0.0842306,0.1744521,0.0000000,0.0000000,1.040965,1.054332
0.079882,4.987743,-5.812268,-0.0680940,0.2295612,0.0000000,0.0000000,1.057218,1.067270
0.159764,5.067491,-5.816902,-0.0471112,0.2957885,0.0000000,0.0000000,1.092465,1.083836
0.239646,5.147325,-5.819638,-0.0203486,0.3742838,0.0000000,0.0000000,1.133756,1.105799
0.319526,5.227205,-5.819972,0.0132099,0.4659625,0.0000000,0.0000000,1.165763,1.128483
0.399406,5.307041,-5.817319,0.0546282,0.5711180,0.0000000,0.0000000,1.186110,1.155010
0.479284,5.386669,-5.811015,0.1049535,0.6890489,0.0000000,0.0000000,1.196952,1.194521
0.559159,5.465827,-5.800331,0.1650648,0.8162730,0.0000000,0.0000000,1.200552,1.239509
0.639032,5.544118,-5.784511,0.2354137,0.9455905,0.0000000,0.0000000,1.198967,1.297834
0.718902,5.620992,-5.762843,0.3156377,1.0638174,0.0000000,0.0000000,1.194176,1.388128
0.798769,5.695759,-5.734760,0.4041584,1.1536646,0.0000000,0.0000000,1.188152,1.558107
0.878634,5.767646,-5.699966,0.4979532,1.1961340,0.0000000,0.0000000,1.182538,1.740218
0.958498,5.835920,-5.658529,0.5928351,1.1809486,0.0000000,0.0000000,1.178976,1.268672
1.038364,5.900026,-5.610896,0.6842780,1.1098464,0.0000000,0.0000000,1.178105,1.254091
1.118232,5.959697,-5.557807,0.7684285,0.9980284,0.0000000,0.0000000,1.179274,1.246800
1.198104,6.014969,-5.500149,0.8428296,0.8653993,0.0000000,0.0000000,1.180397,1.243155
1.277979,6.066133,-5.438812,0.9065219,0.7296476,0.0000000,0.0000000,1.179268,1.654594
1.357856,6.113632,-5.374592,0.9597304,0.6027384,0.0000000,0.0000000,1.174366,1.469673
1.437735,6.157973,-5.308150,1.0034044,0.4908328,0.0000000,0.0000000,1.164977,1.329679
1.517615,6.199661,-5.240010,1.0388231,0.3959937,0.0000000,0.0000000,1.149969,1.222606
1.597497,6.239158,-5.170577,1.0673225,0.3175691,0.0000000,0.0000000,1.127254,1.138434
1.677378,6.276868,-5.100156,1.0901465,0.2538839,0.0000000,0.0000000,1.094933,1.069788
