# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,-69.433670,53.881934,0.023972,0.014749,20.000000,0.000000
0.346158,-69.087612,53.890232,0.029082,0.010258,20.000000,0.000000
0.691721,-68.742251,53.902048,0.031066,-0.000157,20.000000,0.000000
1.036886,-68.397221,53.911686,0.028969,-0.005556,20.000000,0.000000
1.381654,-68.052608,53.922032,0.027233,-0.004825,20.000000,-6.403925
1.726093,-67.708272,53.930453,0.025644,-0.004610,19.889406,-9.870512
2.070233,-67.364256,53.939687,0.024060,-0.010345,19.717880,-9.303813
2.414114,-67.020453,53.947005,0.018524,-0.012643,19.554948,-9.426785
2.757756,-66.676853,53.952422,0.015370,-0.009303,19.388582,-9.347994
3.101200,-66.333448,53.957565,0.012132,-0.013974,19.222281,-7.849824
3.444456,-65.990207,53.960753,0.005772,-0.022568,19.081590,-4.676068
3.787535,-65.647128,53.961527,-0.003359,-0.028226,18.997330,1.704018
4.130437,-65.304240,53.958449,-0.013591,-0.028009,19.028063,4.683000
4.473178,-64.961556,53.952208,-0.022562,-0.022602,19.112229,7.435118
4.815770,-64.619088,53.942987,-0.029079,-0.016345,19.245044,8.611989
5.158228,-64.276797,53.932290,-0.033758,-0.014064,19.397686,8.796443
5.500569,-63.934682,53.919874,-0.038710,-0.014312,19.552314,8.639634
5.842808,-63.592732,53.905797,-0.043556,-0.014926,19.702959,8.319548
6.184959,-63.250943,53.890074,-0.048926,-0.016269,19.846906,8.009353
6.527033,-62.909329,53.872334,-0.054687,-0.016530,19.984476,0.907453
6.869042,-62.567885,53.852682,-0.060234,-0.016041,20.000000,0.000000
7.210997,-62.226608,53.831161,-0.065658,-0.015556,20.000000,0.000000
7.552907,-61.885496,53.807813,-0.070872,-0.014992,20.000000,0.000000
7.894782,-61.544541,53.782741,-0.075910,-0.014637,20.000000,0.000000
8.236633,-61.203742,53.755962,-0.080879,-0.014401,20.000000,0.000000
8.578467,-60.863094,53.727506,-0.085756,-0.014127,20.000000,0.000000
8.920292,-60.522596,53.697406,-0.090537,-0.013847,20.000000,0.000000
9.262118,-60.182245,53.665694,-0.095222,-0.013550,20.000000,0.000000
9.603951,-59.842037,53.632406,-0.099801,-0.013244,20.000000,0.000000
9.945797,-59.501969,53.597576,-0.104276,-0.012942,20.000000,0.000000
10.287663,-59.162040,53.561240,-0.108649,-0.012641,20.000000,0.000000
10.629555,-58.822244,53.523433,-0.112919,-0.012339,20.000000,0.000000
10.971479,-58.482580,53.484188,-0.117087,-0.012038,20.000000,0.000000
11.313439,-58.143045,53.443542,-0.121151,-0.011735,20.000000,0.000000
11.655439,-57.803635,53.401528,-0.125113,-0.011433,20.000000,0.000000
11.997484,-57.464347,53.358182,-0.128972,-0.011130,20.000000,0.000000
