# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,5.239222,-0.404011,-0.663952,-0.390469,4.762520,-1.500736,1.610000,0.815000
0.049934,5.277110,-0.434235,-0.682652,-0.381016,4.746759,-1.495762,1.685000,0.805000
0.099869,5.315211,-0.465809,-0.701245,-0.370253,4.730998,-1.490787,1.710000,0.800000
0.149803,5.353542,-0.498789,-0.719670,-0.358397,4.715237,-1.497677,1.725000,0.795000
0.199738,5.391436,-0.532611,-0.737564,-0.346933,4.699350,-1.534429,1.680000,0.795000
0.249672,5.427141,-0.565603,-0.754262,-0.340139,4.683017,-1.529087,1.630000,0.800000
0.299606,5.463011,-0.599877,-0.770982,-0.334042,4.666684,-1.523744,1.550000,0.810000
0.349541,5.499004,-0.635440,-0.787743,-0.328552,4.650351,-1.524415,1.500000,0.835000
0.399475,5.534779,-0.671989,-0.804418,-0.323646,4.633953,-1.566070,1.440000,0.850000
0.449410,5.568264,-0.707323,-0.820078,-0.319848,4.617046,-1.560346,1.370000,0.860000
0.499344,5.601732,-0.743769,-0.835825,-0.316785,4.600140,-1.554622,1.320000,0.880000
0.549278,5.635137,-0.781321,-0.851684,-0.314376,4.583234,-1.548898,1.260000,0.900000
0.599213,5.668433,-0.819971,-0.867672,-0.312554,4.566327,-1.579218,1.195000,0.920000
0.649147,5.700220,-0.858065,-0.883121,-0.309775,4.549025,-1.589788,1.140000,0.935000
0.699081,5.731201,-0.896372,-0.898313,-0.307099,4.531541,-1.583665,1.090000,0.950000
0.749016,5.761962,-0.935612,-0.913575,-0.305200,4.514056,-1.577543,1.035000,0.965000
0.798950,5.792460,-0.975769,-0.928932,-0.304016,4.496571,-1.571421,0.985000,0.990000
0.848885,5.822654,-1.016824,-0.944410,-0.303497,4.479087,-1.615732,0.925000,1.005000
0.898819,5.851181,-1.056872,-0.959258,-0.300511,4.461038,-1.610546,0.895000,1.020000
0.948753,5.879326,-1.097650,-0.974087,-0.298188,4.442973,-1.604011,0.850000,1.030000
0.998688,5.907092,-1.139185,-0.988942,-0.296565,4.424909,-1.597477,0.830000,1.040000
1.048622,5.934448,-1.181454,-1.003847,-0.295603,4.406845,-1.592912,0.780000,1.050000
1.098556,5.961330,-1.224382,-1.018808,-0.295157,4.388759,-1.636144,0.740000,1.060000
1.148491,5.986922,-1.266622,-1.033319,-0.292591,4.370103,-1.629175,0.705000,1.080000
1.198425,6.012048,-1.309483,-1.047805,-0.290657,4.351448,-1.622205,0.670000,1.090000
1.248360,6.036684,-1.352939,-1.062289,-0.289326,4.332793,-1.615236,0.635000,1.100000
1.298294,6.060808,-1.396966,-1.076793,-0.288577,4.314137,-1.608266,0.615000,1.105000
1.348228,6.084396,-1.441540,-1.091339,-0.288387,4.295482,-1.651080,0.570000,1.125000
1.398163,6.106990,-1.485766,-1.105624,-0.286830,4.276245,-1.647049,0.555000,1.125000
1.448097,6.129000,-1.530409,-1.119870,-0.285674,4.256969,-1.639608,0.525000,1.135000
1.498032,6.150439,-1.575503,-1.134116,-0.285037,4.237693,-1.632167,0.510000,1.140000
1.547966,6.171291,-1.621023,-1.148382,-0.284906,4.218416,-1.624725,0.495000,1.145000
1.597900,6.191537,-1.666944,-1.162687,-0.285272,4.199140,-1.657987,0.460000,1.150000
1.647835,6.211026,-1.712912,-1.176932,-0.285122,4.179377,-1.665315,0.435000,1.150000
1.697769,6.229838,-1.759103,-1.191149,-0.285066,4.159433,-1.657349,0.425000,1.155000
1.747704,6.248012,-1.805613,-1.205392,-0.285473,4.139488,-1.649383,0.400000,1.155000
1.797638,6.265537,-1.852416,-1.219679,-0.286341,4.119544,-1.641417,0.370000,1.160000
1.847572,6.282398,-1.899489,-1.234028,-0.287667,4.099600,-1.661408,0.350000,1.160000
1.897507,6.298583,-1.946809,-1.248452,-0.288984,4.079313,-1.684719,0.340000,1.170000
1.947441,6.314081,-1.994353,-1.262932,-0.290219,4.058638,-1.676159,0.325000,1.160000
1.997375,6.328879,-2.042090,-1.277477,-0.291905,4.037963,-1.667599,0.285000,1.170000
2.047310,6.342968,-2.089997,-1.292105,-0.294043,4.017288,-1.659039,0.290000,1.170000
2.097244,6.356335,-2.138049,-1.306834,-0.296641,3.996614,-1.666090,0.275000,1.170000
2.147179,6.368996,-2.186313,-1.321709,-0.299550,3.975743,-1.715796,0.260000,1.145000
2.197113,6.380996,-2.235023,-1.336804,-0.302333,3.954134,-1.706445,0.260000,1.145000
2.247047,6.392233,-2.283804,-1.352018,-0.305569,3.932525,-1.697094,0.245000,1.140000
2.296982,6.402697,-2.332631,-1.367367,-0.309267,3.910916,-1.687743,0.235000,1.160000
2.346916,6.412380,-2.381480,-1.382871,-0.313439,3.889308,-1.678392,0.225000,1.155000
