# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,-0.790000,-4.880000,0.670083,-7.281848,1.520920,0.000000,1.160185,1.160185
0.061068,-0.732279,-4.860059,0.160326,-5.270718,1.518562,0.000000,1.174526,1.174526
0.127015,-0.666333,-4.860001,0.000624,-1.279364,1.530414,0.000000,1.182489,1.182489
0.192980,-0.600368,-4.859977,-0.008437,1.189484,1.543597,0.000000,1.184367,1.184367
0.259438,-0.533919,-4.861118,0.158140,1.398000,1.561081,0.000000,1.180057,1.180057
0.320449,-0.476593,-4.840238,0.169765,-1.233554,1.595075,0.000000,1.166920,1.166920
0.386326,-0.410716,-4.840000,0.001617,-1.057782,1.654449,0.000000,1.143693,1.143693
0.452307,-0.344735,-4.840025,0.030287,1.170108,1.745402,0.000000,1.114106,1.114106
0.517462,-0.279702,-4.836030,0.155061,0.727516,1.874462,0.000000,1.083047,1.083047
0.581684,-0.217480,-4.820133,0.124410,-1.217158,2.033126,0.000000,1.052302,1.052302
0.647629,-0.151535,-4.820002,-0.003372,0.260249,2.204180,0.000000,1.022396,1.022396
0.713846,-0.085320,-4.820579,0.158805,1.344048,2.397677,0.000000,0.994900,0.994900
0.774881,-0.027793,-4.800184,0.167661,0.107994,2.623400,0.000000,0.971238,0.971238
0.840662,0.037986,-4.799709,0.172501,-0.055049,2.824993,0.000000,0.951281,0.951281
0.901669,0.095277,-4.778742,0.160682,-0.093208,2.910258,0.000000,0.934848,0.934848
0.968034,0.161636,-4.779668,0.160629,-0.100398,2.838246,0.000000,0.922249,0.922248
1.029041,0.218929,-4.758707,0.147894,-0.109060,2.647210,0.000000,0.912354,0.912345
1.096074,0.285917,-4.761153,0.146665,1.131570,2.409719,0.000000,0.903195,0.903136
1.157088,0.343271,-4.740339,0.292788,0.136635,2.167278,0.000000,0.894321,0.894047
1.218778,0.403221,-4.725791,0.163430,-1.976269,1.943032,0.000000,0.886911,0.886062
1.282608,0.466786,-4.719971,0.044726,-1.326172,1.810573,0.000000,0.881799,0.879929
1.348593,0.532770,-4.719993,-0.008727,0.850131,1.862702,0.000000,0.878475,0.875166
1.415047,0.599215,-4.721127,0.157317,1.424645,2.087152,0.000000,0.876056,0.870732
1.476063,0.656586,-4.700353,0.172873,0.128927,2.326684,0.000000,0.874183,0.866336
1.541748,0.722266,-4.699640,0.173652,-0.123820,2.415970,0.000000,0.872882,0.862825
1.602759,0.779598,-4.678774,0.157186,-1.448975,2.341901,0.000000,0.872174,0.860890
1.669260,0.846088,-4.680015,-0.011111,0.026427,2.223705,0.000000,0.871921,0.860199
1.735332,0.912159,-4.680247,0.160689,1.361907,2.197410,0.000000,0.871990,0.860123
1.796375,0.969737,-4.659973,0.162008,-0.784109,2.337170,0.000000,0.872524,0.860626
1.862381,1.035744,-4.660048,0.061069,-0.003749,2.578932,0.000000,0.873874,0.862546
1.925568,1.098429,-4.652104,0.161523,0.265915,2.741888,0.000000,0.876108,0.866882
1.987700,1.159352,-4.639907,0.094393,-0.279457,2.716500,0.000000,0.879133,0.873405
2.053749,1.225400,-4.640083,0.125702,0.523208,2.577213,0.000000,0.884039,0.881491
2.115213,1.284739,-4.624062,0.161108,-0.740024,2.461228,0.000000,0.892980,0.892019
2.179631,1.349029,-4.619992,0.032546,0.046921,2.403821,0.000000,0.905952,0.905249
2.245537,1.414934,-4.619823,0.167223,0.920833,2.329611,0.000000,0.919612,0.918680
2.306559,1.472357,-4.599174,0.149426,-0.187296,2.160470,0.000000,0.930387,0.929234
2.373370,1.539140,-4.601124,0.143281,1.509153,1.910362,0.000000,0.936913,0.935543
2.434436,1.596867,-4.581211,0.342412,1.690568,1.685312,0.000000,0.940097,0.938370
2.495438,1.654115,-4.560141,0.349644,-1.554528,1.594941,0.000000,0.941584,0.939419
2.556456,1.711504,-4.539411,0.152728,-1.530266,1.675781,0.000000,0.942291,0.939806
2.623129,1.778157,-4.541048,0.154242,1.553231,1.876382,0.000000,0.942469,0.939878
2.684139,1.835471,-4.520137,0.351048,0.051969,2.091136,0.000000,0.942122,0.939583
2.745142,1.892729,-4.499090,0.160583,-2.149720,2.242604,0.000000,0.941132,0.938543
2.811547,1.959126,-4.500108,0.077156,0.003452,2.327748,0.000000,0.939486,0.936296
2.873966,2.020585,-4.489205,0.161028,0.872905,2.370418,0.000000,0.937308,0.932741
