# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,6.155607,-0.810348,-0.833307,-0.752591,1.991876,0.000000,1.750000,1.070000
0.091248,6.213349,-0.878302,-0.899187,-0.723235,2.017666,0.000000,1.640000,1.070000
0.182497,6.266595,-0.949835,-0.962091,-0.686297,2.078660,0.000000,1.500000,1.050000
0.273745,6.315370,-1.024491,-1.021457,-0.644298,2.159304,0.000000,1.360000,1.070000
0.364994,6.359779,-1.101826,-1.076941,-0.599612,2.248553,0.000000,1.290000,1.060000
0.456242,6.399991,-1.181424,-1.128396,-0.554237,2.342471,0.000000,1.210000,1.060000
0.547491,6.436221,-1.262915,-1.175831,-0.509692,2.440279,0.000000,1.150000,1.010000
0.638739,6.468710,-1.345969,-1.219370,-0.467021,2.538719,0.000000,1.090000,1.030000
0.729988,6.497712,-1.430306,-1.259213,-0.426867,2.628525,0.000000,1.050000,1.000000
0.821236,6.523480,-1.515686,-1.295599,-0.389556,2.695168,0.000000,1.010000,0.950000
0.912485,6.546265,-1.601912,-1.328789,-0.355186,2.725022,0.000000,0.980000,0.920000
1.003733,6.566306,-1.688818,-1.359043,-0.323702,2.714595,0.000000,0.950000,0.910000
1.094982,6.583829,-1.776267,-1.386613,-0.294959,2.676086,0.000000,0.910000,0.890000
1.186230,6.599043,-1.864147,-1.411733,-0.268755,2.633556,0.000000,0.890000,0.860000
1.277479,6.612146,-1.952366,-1.434622,-0.244865,2.611510,0.000000,0.870000,0.860000
1.368727,6.623317,-2.040852,-1.455474,-0.223059,2.623849,0.000000,0.860000,0.840000
1.459976,6.632725,-2.129543,-1.474466,-0.203112,2.669632,0.000000,0.850000,0.810000
1.551224,6.640523,-2.218390,-1.491754,-0.184812,2.735743,0.000000,0.840000,0.800000
1.642473,6.646855,-2.307353,-1.507476,-0.167962,2.802568,0.000000,0.810000,0.820000
1.733721,6.651853,-2.396403,-1.521753,-0.152381,2.849619,0.000000,0.800000,0.810000
1.824969,6.655640,-2.485511,-1.534690,-0.137904,2.860424,0.000000,0.800000,0.810000
1.916218,6.658329,-2.574660,-1.546380,-0.124379,2.827130,0.000000,0.800000,0.810000
2.007466,6.660029,-2.663833,-1.556901,-0.111670,2.754520,0.000000,0.800000,0.800000
2.098715,6.660841,-2.753018,-1.566320,-0.099649,2.661526,0.000000,0.790000,0.820000
2.189963,6.660859,-2.842208,-1.574693,-0.088200,2.577430,0.000000,0.770000,0.820000
2.281212,6.660175,-2.931395,-1.582067,-0.077213,2.531861,0.000000,0.770000,0.820000
2.372460,6.658877,-3.020575,-1.588477,-0.066585,2.542236,0.000000,0.780000,0.810000
2.463709,6.657049,-3.109746,-1.593952,-0.056214,2.605855,0.000000,0.760000,0.810000
2.554957,6.654774,-3.198906,-1.598509,-0.046002,2.702027,0.000000,0.760000,0.810000
2.646206,6.652133,-3.288057,-1.602160,-0.035849,2.803052,0.000000,0.780000,0.810000
2.737454,6.649207,-3.377198,-1.604903,-0.025652,2.886817,0.000000,0.770000,0.800000
2.828703,6.646078,-3.466333,-1.606731,-0.015302,2.943541,0.000000,0.770000,0.800000
2.919951,6.642827,-3.555464,-1.607624,-0.004683,2.974274,0.000000,0.770000,0.800000
3.011200,6.639537,-3.644593,-1.607677,0.001049,2.984332,0.000000,0.780000,0.800000
3.102448,6.636253,-3.733722,-1.607537,0.002092,2.976819,0.000000,0.780000,0.790000
3.193697,6.632987,-3.822852,-1.607303,0.003174,2.949900,0.000000,0.780000,0.790000
3.284945,6.629746,-3.911983,-1.606970,0.004295,2.898940,0.000000,0.790000,0.790000
3.376194,6.626539,-4.001114,-1.606535,0.005453,2.822389,0.000000,0.790000,0.760000
3.467442,6.623375,-4.090248,-1.605996,0.006646,2.728105,0.000000,0.770000,0.780000
3.558690,6.620265,-4.179383,-1.605349,0.007871,2.635497,0.000000,0.800000,0.760000
3.649939,6.617216,-4.268521,-1.604591,0.009125,2.570298,0.000000,0.780000,0.750000
3.741187,6.614241,-4.357661,-1.603720,0.010406,2.553448,0.000000,0.780000,0.750000
3.832436,6.611348,-4.446804,-1.602734,0.011709,2.590567,0.000000,0.780000,0.730000
3.923684,6.608548,-4.535949,-1.601631,0.013031,2.669002,0.000000,0.790000,0.720000
4.014933,6.605852,-4.625098,-1.600409,0.014368,2.764438,0.000000,0.790000,0.720000
4.106181,6.603270,-4.714250,-1.599068,0.015715,2.852315,0.000000,0.790000,0.720000
4.197430,6.600813,-4.803406,-1.597606,0.017067,2.916579,0.000000,0.790000,0.720000
4.288678,6.598492,-4.892565,-1.596024,0.018420,2.951398,0.000000,0.800000,0.690000
4.379927,6.596317,-4.981729,-1.594321,0.019769,2.957175,0.000000,0.800000,0.690000
