# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,6.348619,-0.380041,-3.130661,16.547821,1.500000,0.000000,1.533120,1.533120
0.029070,6.327927,-0.400460,3.012307,-11.926404,1.500000,0.000000,1.533774,1.533774
0.062655,6.306535,-0.374570,2.405276,5.375368,1.500000,0.000000,1.533900,1.533900
0.086443,6.286039,-0.362495,-2.962479,14.904535,1.500000,0.000000,1.533729,1.533729
0.117686,6.262133,-0.382609,-3.057700,-9.832350,1.500000,0.000000,1.532829,1.532829
0.147049,6.237535,-0.366573,2.724809,-4.832449,1.500000,0.000000,1.530060,1.530060
0.174618,6.210791,-0.359879,2.950365,-2.705180,1.500000,0.000000,1.524414,1.524414
0.202827,6.182852,-0.355987,2.573921,-6.915021,1.500326,0.000000,1.516537,1.516537
0.236626,6.162441,-0.329047,2.521578,15.429521,1.502611,0.000000,1.508452,1.508452
0.257049,6.142129,-0.326914,-2.872639,11.257316,1.509137,0.000000,1.501330,1.501330
0.287117,6.116028,-0.341840,3.089978,-17.442660,1.518274,0.000000,1.494794,1.494794
0.316024,6.092993,-0.324376,2.381876,-1.196368,1.522842,0.000000,1.487916,1.487916
0.348101,6.072058,-0.300073,3.017019,17.794936,1.518274,0.000000,1.479981,1.479981
0.376291,6.051310,-0.319156,-2.828861,-7.433590,1.509137,0.000000,1.471108,1.471108
0.404646,6.023143,-0.315889,2.596685,-15.417936,1.502611,0.000000,1.462332,1.462332
0.437506,6.003037,-0.289897,2.510505,14.924110,1.500326,0.000000,1.454736,1.454736
0.458278,5.982588,-0.286252,-2.886099,11.885482,1.500000,0.000000,1.448436,1.448436
0.488499,5.956782,-0.301979,3.116578,-17.135838,1.500000,0.000000,1.442297,1.442297
0.517331,5.933463,-0.285023,2.385162,-2.097639,1.505583,0.000000,1.434658,1.434658
0.549751,5.912556,-0.260245,2.988093,17.469395,1.544668,0.000000,1.424664,1.424664
0.577337,5.891965,-0.278603,-2.849743,-4.002614,1.656337,0.000000,1.413571,1.413571
0.605496,5.864063,-0.274813,2.764968,-9.986106,1.812674,0.000000,1.403532,1.403532
0.633321,5.841437,-0.258618,2.874388,0.349602,1.890843,0.000000,1.394995,1.394995
0.663995,5.810804,-0.260234,2.785420,-7.994236,1.812674,0.000000,1.387510,1.387510
0.693800,5.789568,-0.239321,2.390903,6.514522,1.656337,0.000000,1.381187,1.381187
0.721994,5.768411,-0.220685,-3.119929,10.330490,1.544668,0.000000,1.375770,1.375770
0.750744,5.747332,-0.240237,2.979171,-11.751013,1.505583,0.000000,1.370468,1.370468
0.784606,5.726211,-0.213770,2.427509,4.888924,1.500000,0.000000,1.365256,1.365256
0.808016,5.705105,-0.203640,-3.024018,7.588844,1.500000,0.000000,1.361097,1.361097
0.833982,5.683993,-0.218757,2.802215,-12.000996,1.500000,0.000000,1.358316,1.358316
0.870678,5.662889,-0.188737,2.507165,8.677263,1.500000,0.000000,1.355788,1.355788
0.891834,5.641759,-0.187676,-2.978967,3.257514,1.500000,0.000000,1.352230,1.352230
0.914322,5.620734,-0.195653,2.649336,-11.845876,1.500000,0.000000,1.347227,1.347227
0.951818,5.599285,-0.164897,2.593656,14.122170,1.505859,0.000000,1.340773,1.340773
0.972378,5.579500,-0.170489,-2.813967,6.807581,1.546875,0.000000,1.332976,1.332976
1.001919,5.551895,-0.181004,2.934718,-12.058306,1.664062,0.000000,1.324009,1.324009
1.031815,5.530433,-0.160191,2.752515,3.494332,1.830752,0.000000,1.313801,1.313801
1.061595,5.500653,-0.159996,-3.139938,0.213944,1.931171,0.000000,1.303011,1.303011
1.091552,5.470697,-0.160290,2.765295,-6.315637,1.901676,0.000000,1.293045,1.293045
1.121184,5.449360,-0.139729,2.766903,6.355675,1.811165,0.000000,1.283848,1.283848
1.151175,5.419371,-0.140105,-3.138948,-0.635643,1.730754,0.000000,1.274064,1.274064
1.180948,5.389599,-0.139887,2.728915,-12.462378,1.652962,0.000000,1.263701,1.263701
1.211352,5.368616,-0.117884,2.394285,8.795208,1.573551,0.000000,1.254337,1.254337
1.238250,5.347658,-0.101025,-3.050291,16.607352,1.521015,0.000000,1.247007,1.247007
1.269046,5.324996,-0.121878,-2.930765,-13.049647,1.502627,0.000000,1.241161,1.241161
1.297458,5.298531,-0.111539,2.460245,-10.280375,1.500000,0.000000,1.235061,1.235061
1.331636,5.278287,-0.084002,2.708969,17.789241,1.500000,0.000000,1.227369,1.227369
1.353853,5.257870,-0.092761,-2.819719,8.984485,1.500000,0.000000,1.218267,1.218267
1.382363,5.230295,-0.100005,-3.118458,-12.654524,1.500000,0.000000,1.208403,1.208403
1.410290,5.203015,-0.094031,2.749283,-4.929080,1.500000,0.000000,1.198310,1.198310
1.438434,5.179285,-0.078900,2.888351,5.586159,1.500000,0.000000,1.189002,1.189002
1.468767,5.148973,-0.080045,3.075948,-5.951225,1.500000,0.000000,1.181303,1.181303
1.496648,5.121534,-0.075103,2.541907,-8.284804,1.501483,0.000000,1.175554,1.175554
1.531017,5.101207,-0.047388,2.560220,16.304012,1.511867,0.000000,1.171901,1.171901
1.551272,5.080981,-0.048454,-2.850690,9.340552,1.541533,0.000000,1.169452,1.169452
1.580971,5.054272,-0.061441,3.026810,-17.923287,1.583067,0.000000,1.166442,1.166442
1.610118,5.031871,-0.042793,2.377784,0.849041,1.603833,0.000000,1.161979,1.161979
1.641177,5.010889,-0.019892,3.077928,19.063021,1.583067,0.000000,1.156531,1.156531
1.670414,4.989767,-0.040108,-2.755960,-3.478554,1.543925,0.000000,1.150502,1.150502
1.700940,4.959251,-0.040855,2.870039,-13.233818,1.530998,0.000000,1.143649,1.143649
1.728785,4.936223,-0.025200,2.754755,3.238698,1.568444,0.000000,1.135891,1.135891
1.757065,4.908399,-0.020140,3.051813,6.660315,1.633922,0.000000,1.127662,1.127662
1.786870,4.878595,-0.020012,-3.141572,-0.672428,1.667402,0.000000,1.119765,1.119765
1.816775,4.848690,-0.020141,3.011663,-6.809428,1.633922,0.000000,1.112670,1.112670
1.844550,4.821955,-0.012611,2.748843,-1.777202,1.566961,0.000000,1.106079,1.106079
1.872325,4.797728,0.000971,2.912940,7.080344,1.519479,0.000000,1.099985,1.099985
1.902568,4.767498,0.000062,-3.123551,3.892595,1.505167,0.000000,1.095140,1.095140
1.932495,4.737572,-0.000114,-3.136026,-2.761573,1.509715,0.000000,1.091577,1.091577
1.962414,4.707654,-0.000271,2.994366,-6.917920,1.519430,0.000000,1.088111,1.088111
1.990084,4.681321,0.008228,2.748762,-1.188420,1.524288,0.000000,1.083715,1.083715
2.017755,4.656693,0.020845,2.928597,7.065216,1.522138,0.000000,1.078843,1.078843
2.047936,4.626523,0.020079,-3.125691,3.678096,1.531376,0.000000,1.074719,1.074719
2.077868,4.596591,0.019889,-3.133487,-2.983127,1.578588,0.000000,1.071586,1.071586
2.107846,4.566615,0.019593,2.978776,-6.963134,1.651972,0.000000,1.068547,1.068547
2.135451,4.540688,0.029072,2.748742,-0.623717,1.689531,0.000000,1.064764,1.064764
2.163057,4.515655,0.040711,2.944340,7.041117,1.657484,0.000000,1.060462,1.060462
2.193172,4.485546,0.040093,-3.128020,3.462069,1.622687,0.000000,1.056570,1.056571
2.223108,4.455611,0.039896,-3.130944,-3.203754,1.685723,0.000000,1.053420,1.053433
2.253148,4.425575,0.039454,2.963020,-7.002347,1.836692,0.000000,1.050663,1.050741
2.280729,4.400058,0.049923,2.748762,-0.047574,1.958724,0.000000,1.048180,1.048473
2.308310,4.374615,0.060570,2.960396,6.985710,2.005726,0.000000,1.046030,1.046748
2.338366,4.344563,0.060090,-3.131787,3.061496,2.039572,0.000000,1.043938,1.045223
2.368264,4.314665,0.059982,-3.139240,-0.258609,2.051800,0.000000,1.041533,1.043435
2.398131,4.284798,0.059949,3.135943,-0.802702,1.952446,0.000000,1.038783,1.041228
2.427833,4.255098,0.060319,3.096129,-6.551188,1.764167,0.000000,1.035854,1.038686
2.456827,4.226195,0.062615,2.751416,-4.690909,1.642804,0.000000,1.032430,1.036065
2.485777,4.204081,0.081300,2.824320,6.935149,1.718692,0.000000,1.027868,1.033435
2.516255,4.173637,0.079874,-3.119627,5.227639,1.988720,0.000000,1.022474,1.030573
2.546066,4.143827,0.079976,3.139486,-0.365250,2.286211,0.000000,1.017621,1.027510
2.575910,4.113982,0.079999,-3.141416,-0.016959,2.378132,0.000000,1.014351,1.024585
2.605780,4.084112,0.079965,3.138474,-0.580462,2.188997,0.000000,1.012674,1.021895
2.635522,4.054371,0.080185,3.107167,-8.560019,1.875927,0.000000,1.011976,1.019355
2.664529,4.025420,0.081987,2.635581,-10.569150,1.636800,0.000000,1.011638,1.017155
2.697203,4.005036,0.107523,2.455252,12.765590,1.534863,0.000000,1.011254,1.015389
2.719493,3.984292,0.115679,-2.945958,18.633235,1.547561,0.000000,1.010425,1.013519
2.749093,3.960103,0.098619,-2.861050,-3.658987,1.688116,0.000000,1.008700,1.010932
2.779363,3.929864,0.099996,3.118162,-4.666622,1.987561,0.000000,1.005983,1.007693
2.809225,3.900002,0.100027,3.141522,0.400244,2.383377,0.000000,1.002882,1.004425
2.839071,3.870156,0.100000,-3.141126,0.001114,2.719983,0.000000,1.000034,1.001689
2.868924,3.840303,0.099999,3.141588,-0.012061,2.865851,0.000000,0.997239,0.999319
2.898778,3.810449,0.100000,3.141339,0.003528,2.769149,0.000000,0.994164,0.996461
2.928624,3.780603,0.100014,-3.141386,0.210891,2.454054,0.000000,0.991032,0.992747
2.958491,3.750737,0.099988,-3.129253,-3.334839,2.044922,0.000000,0.988172,0.988963
2.988716,3.720519,0.099273,2.941400,-12.698711,1.716797,0.000000,0.985912,0.986133
3.015836,3.696101,0.111074,2.425715,-1.692083,1.553118,0.000000,0.984482,0.984518
3.050219,3.675395,0.138522,2.837333,18.025209,1.514784,0.000000,0.983555,0.983559
3.075239,3.655045,0.123966,-2.786725,6.902285,1.563463,0.000000,0.982553,0.982553
3.104272,3.626243,0.120308,-3.072759,-5.947355,1.738254,0.000000,0.981406,0.981410
3.134022,3.596495,0.119930,-3.136328,-1.174676,2.071744,0.000000,0.980496,0.980539
3.163894,3.566624,0.119994,3.140390,-0.089752,2.476536,0.000000,0.979862,0.980134
3.193749,3.536769,0.120001,3.141497,0.020542,2.793932,0.000000,0.978927,0.980021
3.223602,3.506916,0.120000,-3.141568,0.001635,2.950331,0.000000,0.977142,0.980002
3.253455,3.477062,0.120000,-3.141591,-0.000413,2.994524,0.000000,0.974860,0.980000
3.283308,3.447209,0.120000,3.141592,-0.000030,3.000000,0.000000,0.973094,0.980000
3.313162,3.417356,0.120000,3.141593,0.000008,3.000000,0.000000,0.972272,0.980000
3.343015,3.387502,0.120000,-3.141593,0.000001,3.000000,0.000000,0.972043,0.980000
3.372868,3.357649,0.120000,-3.141593,-0.000000,3.000000,0.000000,0.972004,0.980000
