# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,6.541056,-0.204029,-0.115218,-4.140241,1.565219,0.000000,1.420000,2.800000
0.026920,6.564412,-0.217416,-0.521649,-11.165232,1.518634,0.000000,1.660000,1.850000
0.053579,6.587509,-0.230727,-0.713435,1.779549,1.508189,0.000000,1.840000,1.840000
0.079774,6.603639,-0.251367,-0.427594,5.052469,1.546875,0.000000,1.620000,1.930000
0.111480,6.635324,-0.252517,-0.420892,-10.703423,1.669922,0.000000,1.620000,1.960000
0.136024,6.650059,-0.272147,-1.029665,-12.392860,1.875000,0.000000,1.520000,2.040000
0.161409,6.660912,-0.295095,-1.039658,-0.273149,2.074219,0.000000,1.500000,2.030000
0.184720,6.674616,-0.313951,-1.042966,-5.526031,2.156250,0.000000,1.480000,2.020000
0.209926,6.685233,-0.336813,-1.307766,0.019399,2.074219,0.000000,1.340000,2.510000
0.240248,6.688878,-0.366915,-1.041889,6.708836,1.875000,0.000000,1.490000,1.970000
0.264661,6.709991,-0.379173,-0.940556,1.966020,1.669922,0.000000,1.540000,1.890000
0.292749,6.717553,-0.406223,-0.938672,-1.686033,1.546875,0.000000,1.530000,1.890000
0.318220,6.739396,-0.419324,-1.030858,-8.173954,1.505859,0.000000,1.420000,1.950000
0.350307,6.744400,-0.451018,-1.409146,-3.665899,1.500000,0.000000,1.270000,2.840000
0.382961,6.749816,-0.483220,-1.268193,2.300916,1.500000,0.000000,1.300000,2.210000
0.411221,6.762359,-0.508543,-1.268988,-3.042156,1.500000,0.000000,1.290000,2.200000
0.444249,6.767840,-0.541114,-1.454640,-1.846051,1.501418,0.000000,1.240000,2.960000
0.481273,6.770468,-0.578044,-1.398308,4.926255,1.511631,0.000000,1.240000,2.480000
0.511885,6.779376,-0.607332,-1.121446,2.167255,1.541984,0.000000,1.350000,1.880000
0.539514,6.795435,-0.629814,-1.272086,-3.478447,1.587370,0.000000,1.250000,2.080000
0.576818,6.797763,-0.667046,-1.347310,0.864256,1.615166,0.000000,1.230000,2.210000
0.605414,6.809793,-0.692988,-1.215132,-1.213093,1.599278,0.000000,1.260000,1.950000
0.636555,6.818505,-0.722885,-1.419777,-4.788058,1.555593,0.000000,1.210000,2.360000
0.673590,6.819974,-0.759892,-1.541565,3.576634,1.521514,0.000000,1.200000,3.430000
0.710006,6.820652,-0.796301,-1.157068,5.967993,1.521510,0.000000,1.280000,1.790000
0.737221,6.842865,-0.812025,-1.161819,-4.735572,1.564738,0.000000,1.260000,1.790000
0.773804,6.843322,-0.848605,-1.459186,-4.679306,1.641335,0.000000,1.180000,2.290000
0.803649,6.850219,-0.877643,-1.472658,0.699890,1.713949,0.000000,1.170000,2.300000
0.839601,6.849720,-0.913592,-1.413135,3.004130,1.740749,0.000000,1.180000,2.080000
0.867306,6.860023,-0.939309,-1.281423,0.727846,1.707362,0.000000,1.200000,1.830000
0.896280,6.865828,-0.967696,-1.371882,6.041042,1.633807,0.000000,1.170000,1.940000
0.925181,6.871459,-0.996043,-0.931796,7.826514,1.566079,0.000000,1.370000,1.480000
0.951816,6.895464,-1.007583,-0.937225,-7.100840,1.563444,0.000000,1.360000,1.500000
0.980099,6.900394,-1.035433,-1.321756,-5.660541,1.666134,0.000000,1.150000,1.810000
1.005755,6.908719,-1.059701,-1.242550,-3.226507,1.828125,0.000000,1.170000,1.670000
1.031332,6.916911,-1.083930,-1.487060,-0.242212,1.910156,0.000000,1.120000,2.110000
