# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,6.443827,-0.334566,-0.695335,-0.809250,1.698432,0.000000,2.000000,1.680000
0.098329,6.511735,-0.395576,-0.768158,-0.783630,1.687094,0.000000,1.990000,1.680000
0.196657,6.575115,-0.461281,-0.838089,-0.746437,1.667840,0.000000,1.830000,1.680000
0.294986,6.633879,-0.531147,-0.904219,-0.700939,1.638262,0.000000,1.680000,1.700000
0.393315,6.688057,-0.604629,-0.965945,-0.650524,1.607030,0.000000,1.560000,1.700000
0.491643,6.737780,-0.681198,-1.022959,-0.598183,1.587234,0.000000,1.450000,1.700000
0.589972,6.783250,-0.760369,-1.075198,-0.546255,1.586286,0.000000,1.380000,1.700000
0.688301,6.824715,-0.841711,-1.122779,-0.496362,1.602270,0.000000,1.300000,1.710000
0.786629,6.862451,-0.924851,-1.165937,-0.449499,1.627686,0.000000,1.230000,1.670000
0.884958,6.896742,-1.009471,-1.204974,-0.406168,1.654579,0.000000,1.200000,1.660000
0.983287,6.927870,-1.095307,-1.240224,-0.366520,1.676928,0.000000,1.150000,1.630000
1.081615,6.956107,-1.182138,-1.272018,-0.330481,1.690792,0.000000,1.130000,1.600000
1.179944,6.981708,-1.269782,-1.300679,-0.297839,1.694036,0.000000,1.090000,1.550000
1.278272,7.004915,-1.358091,-1.326505,-0.268315,1.686643,0.000000,1.060000,1.500000
1.376601,7.025949,-1.446943,-1.349765,-0.241598,1.671748,0.000000,1.030000,1.460000
1.474930,7.045017,-1.536238,-1.370701,-0.217378,1.656355,0.000000,1.030000,1.430000
1.573258,7.062308,-1.625895,-1.389529,-0.195357,1.649577,0.000000,1.010000,1.400000
1.671587,7.077995,-1.715846,-1.406436,-0.175260,1.658180,0.000000,0.990000,1.370000
1.769916,7.092240,-1.806037,-1.421586,-0.156832,1.683250,0.000000,0.970000,1.310000
1.868244,7.105191,-1.896424,-1.435121,-0.139847,1.721032,0.000000,0.960000,1.250000
1.966573,7.116985,-1.986968,-1.447162,-0.124099,1.764813,0.000000,0.950000,1.220000
2.064902,7.127753,-2.077641,-1.457816,-0.109402,1.804320,0.000000,0.930000,1.230000
2.163230,7.137613,-2.168416,-1.467168,-0.095591,1.826837,0.000000,0.920000,1.180000
2.261559,7.146680,-2.259275,-1.475295,-0.082513,1.824652,0.000000,0.910000,1.150000
2.359888,7.155062,-2.350199,-1.482255,-0.070029,1.802351,0.000000,0.900000,1.090000
2.458216,7.162862,-2.441175,-1.488097,-0.058010,1.774206,0.000000,0.900000,1.060000
2.556545,7.170180,-2.532192,-1.492859,-0.046334,1.754288,0.000000,0.890000,1.050000
2.654874,7.177113,-2.623238,-1.496566,-0.034883,1.749847,0.000000,0.880000,1.040000
2.753202,7.183755,-2.714306,-1.499233,-0.023542,1.760102,0.000000,0.850000,1.020000
2.851531,7.190202,-2.805388,-1.500865,-0.012196,1.775280,0.000000,0.870000,1.010000
2.949860,7.196547,-2.896477,-1.501456,-0.000724,1.777447,0.000000,0.860000,0.990000
3.048188,7.202887,-2.987567,-1.500990,0.010997,1.750086,0.000000,0.850000,0.960000
3.146517,7.209318,-3.078650,-1.499436,0.023103,1.692376,0.000000,0.850000,0.950000
3.244846,7.215940,-3.169720,-1.496878,0.028832,1.622697,0.000000,0.840000,0.930000
