# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,6.120987,-0.833053,-0.827322,-0.681108,2.090668,0.000000,2.460000,1.110000
0.089182,6.178814,-0.899818,-0.886295,-0.653186,2.097668,0.000000,2.290000,1.100000
0.178364,6.232697,-0.969806,-0.942595,-0.620862,2.128454,0.000000,2.130000,1.100000
0.267545,6.282665,-1.042642,-0.995906,-0.585774,2.182860,0.000000,2.020000,1.070000
0.356727,6.328800,-1.117966,-1.046050,-0.549384,2.255120,0.000000,1.900000,1.050000
0.445909,6.371227,-1.195440,-1.092968,-0.512895,2.337526,0.000000,1.830000,1.020000
0.535091,6.410101,-1.274758,-1.136692,-0.477219,2.422744,0.000000,1.770000,1.020000
0.624273,6.445598,-1.355645,-1.177325,-0.442998,2.503950,0.000000,1.700000,0.970000
0.713454,6.477902,-1.437860,-1.215015,-0.410637,2.574402,0.000000,1.640000,0.930000
0.802636,6.507201,-1.521193,-1.249937,-0.380358,2.627981,0.000000,1.610000,0.950000
0.891818,6.533684,-1.605465,-1.282279,-0.352243,2.660879,0.000000,1.570000,0.900000
0.981000,6.557531,-1.690521,-1.312234,-0.326279,2.673464,0.000000,1.530000,0.880000
1.070182,6.578916,-1.776230,-1.339987,-0.302388,2.671049,0.000000,1.520000,0.860000
1.159363,6.598002,-1.862480,-1.365717,-0.280452,2.662757,0.000000,1.470000,0.790000
1.248545,6.614945,-1.949177,-1.389590,-0.260332,2.658668,0.000000,1.460000,0.740000
1.337727,6.629889,-2.036241,-1.411761,-0.241880,2.666372,0.000000,1.440000,0.730000
1.426909,6.642968,-2.123605,-1.432370,-0.224948,2.688333,0.000000,1.430000,0.700000
1.516091,6.654308,-2.211211,-1.451544,-0.209391,2.721063,0.000000,1.410000,0.690000
1.605272,6.664025,-2.299013,-1.469401,-0.195072,2.756293,0.000000,1.400000,0.660000
1.694454,6.672226,-2.386970,-1.486042,-0.181863,2.783634,0.000000,1.390000,0.630000
1.783636,6.679013,-2.475046,-1.501561,-0.169647,2.793882,0.000000,1.380000,0.580000
1.872818,6.684479,-2.563215,-1.516041,-0.158315,2.782088,0.000000,1.370000,0.580000
1.961999,6.688711,-2.651452,-1.529555,-0.147765,2.749545,0.000000,1.370000,0.560000
2.051181,6.691790,-2.739737,-1.542168,-0.137908,2.704040,0.000000,1.340000,0.550000
2.140363,6.693793,-2.828053,-1.553938,-0.128658,2.658052,0.000000,1.360000,0.530000
2.229545,6.694791,-2.916386,-1.564915,-0.119936,2.625224,0.000000,1.360000,0.490000
2.318727,6.694854,-3.004724,-1.575142,-0.111669,2.616200,0.000000,1.360000,0.470000
2.407908,6.694045,-3.093059,-1.584656,-0.103788,2.635345,0.000000,1.360000,0.450000
2.497090,6.692425,-3.181383,-1.593488,-0.096226,2.679646,0.000000,1.360000,0.430000
2.586272,6.690055,-3.269690,-1.601664,-0.088916,2.740192,0.000000,1.370000,0.410000
2.675454,6.686991,-3.357976,-1.609203,-0.081795,2.805395,0.000000,1.390000,0.380000
2.764636,6.683290,-3.446237,-1.616119,-0.074793,2.864467,0.000000,1.390000,0.340000
2.853817,6.679005,-3.534472,-1.622419,-0.067841,2.909664,0.000000,1.400000,0.310000
2.942999,6.674191,-3.622679,-1.628119,-0.061747,2.936760,0.000000,1.400000,0.290000
3.032181,6.668896,-3.710859,-1.633361,-0.056878,2.944152,0.000000,1.410000,0.260000
3.121363,6.663158,-3.799012,-1.638157,-0.051632,2.931692,0.000000,1.440000,0.240000
3.210545,6.657018,-3.887136,-1.642472,-0.046013,2.900235,0.000000,1.440000,0.210000
3.299726,6.650520,-3.975236,-1.646275,-0.040029,2.852240,0.000000,1.450000,0.170000
3.388908,6.643711,-4.063312,-1.649534,-0.033691,2.792896,0.000000,1.460000,0.160000
3.478090,6.636640,-4.151368,-1.652218,-0.027014,2.730747,0.000000,1.440000,0.130000
3.567272,6.629359,-4.239406,-1.654297,-0.020017,2.676833,0.000000,1.450000,0.100000
3.656454,6.621923,-4.327431,-1.655746,-0.012722,2.642193,0.000000,1.480000,0.100000
3.745635,6.614388,-4.415448,-1.656537,-0.005157,2.634529,0.000000,1.490000,0.090000
3.834817,6.606813,-4.503462,-1.656650,0.002649,2.655516,0.000000,1.490000,0.060000
3.923999,6.599259,-4.591477,-1.656063,0.010661,2.700082,0.000000,1.500000,0.050000
4.013181,6.591787,-4.679499,-1.654761,0.018840,2.758005,0.000000,1.510000,0.050000
4.102363,6.584463,-4.767534,-1.652731,0.027144,2.817026,0.000000,1.520000,0.020000
4.191544,6.577349,-4.855586,-1.649963,0.035530,2.866017,0.000000,1.520000,0.010000
4.280726,6.570512,-4.943660,-1.646453,0.043947,2.897028,0.000000,1.530000,0.010000
4.369908,6.564017,-5.031760,-1.642199,0.052347,2.905875,0.000000,1.530000,0.010000
4.459090,6.557929,-5.119888,-1.637206,0.060676,2.891785,0.000000,0.010000,0.010000
4.548272,6.552314,-5.208049,-1.631483,0.068882,2.856861,0.000000,1.550000,0.010000
4.637453,6.547235,-5.296241,-1.625041,0.076909,2.805752,0.000000,1.550000,0.010000
4.726635,6.542756,-5.384466,-1.617901,0.084706,2.745352,0.000000,1.550000,0.010000
4.815817,6.538936,-5.472722,-1.610084,0.092218,2.684017,0.000000,0.010000,0.010000
4.904999,6.535835,-5.561006,-1.601618,0.099397,2.630022,0.000000,1.560000,0.010000
4.994181,6.533510,-5.649315,-1.592534,0.106194,2.589515,0.000000,1.560000,0.010000
5.083362,6.532012,-5.737640,-1.582868,0.112567,2.564832,0.000000,1.560000,0.030000
5.172544,6.531393,-5.825977,-1.572660,0.118477,2.554109,0.000000,1.560000,0.030000
5.261726,6.531698,-5.914315,-1.561951,0.123893,2.552673,0.000000,1.540000,0.030000
5.350908,6.532969,-6.002644,-1.550786,0.128786,2.555705,0.000000,1.540000,0.050000
5.440089,6.535245,-6.090953,-1.539213,0.133138,2.560913,0.000000,1.560000,0.050000
5.529271,6.538558,-6.179229,-1.527280,0.136935,2.569762,0.000000,1.560000,0.070000
5.618453,6.542940,-6.267459,-1.515036,0.140171,2.586552,0.000000,1.550000,0.080000
5.707635,6.548397,-6.355629,-1.503156,0.126142,2.615826,0.000000,1.550000,0.100000
5.796817,6.554837,-6.443732,-1.492745,0.109726,2.659518,0.000000,1.540000,0.110000
5.885998,6.562131,-6.531769,-1.483744,0.094187,2.715397,0.000000,1.540000,0.120000
5.975180,6.570158,-6.619742,-1.476081,0.079420,2.777542,0.000000,1.530000,0.130000
6.064362,6.578803,-6.707657,-1.469693,0.065322,2.838438,0.000000,1.520000,0.150000
6.153544,6.587955,-6.795521,-1.464523,0.051799,2.891523,0.000000,1.520000,0.160000
6.242726,6.597509,-6.883341,-1.460527,0.038762,2.932949,0.000000,1.510000,0.190000
6.331907,6.607364,-6.971129,-1.457663,0.026127,2.961995,0.000000,1.500000,0.200000
6.421089,6.617423,-7.058893,-1.455901,0.013816,2.980323,0.000000,1.490000,0.210000
6.510271,6.627588,-7.146645,-1.455215,0.001754,2.990724,0.000000,1.500000,0.220000
6.599453,6.637767,-7.234396,-1.455586,-0.010129,2.996000,0.000000,1.490000,0.230000
6.688635,6.647867,-7.322155,-1.457001,-0.021901,2.998307,0.000000,1.480000,0.240000
6.777816,6.657798,-7.409934,-1.459454,-0.033625,2.998946,0.000000,1.470000,0.250000
6.866998,6.667468,-7.497742,-1.462942,-0.045363,2.998423,0.000000,1.460000,0.240000
6.956180,6.676786,-7.585588,-1.467471,-0.057174,2.996577,0.000000,1.450000,0.250000
7.045362,6.685660,-7.673480,-1.473048,-0.069117,2.992720,0.000000,1.460000,0.260000
7.134544,6.693998,-7.761425,-1.479688,-0.081247,2.985810,0.000000,1.450000,0.250000
7.223725,6.701703,-7.849427,-1.487409,-0.093619,2.974753,0.000000,1.440000,0.260000
7.312907,6.708681,-7.937490,-1.496237,-0.106284,2.958800,0.000000,1.430000,0.240000
7.402089,6.714831,-8.025614,-1.506197,-0.119292,2.937902,0.000000,1.420000,0.250000
7.491271,6.720051,-8.113798,-1.517324,-0.132691,2.912745,0.000000,1.440000,0.240000
7.580453,6.724238,-8.202037,-1.529654,-0.146523,2.884293,0.000000,1.430000,0.240000
7.669634,6.727281,-8.290323,-1.543226,-0.160828,2.853042,0.000000,1.430000,0.220000
7.758816,6.729070,-8.378643,-1.558083,-0.175635,2.818536,0.000000,1.450000,0.220000
7.847998,6.729488,-8.466980,-1.574272,-0.190970,2.779769,0.000000,1.450000,0.200000
7.937180,6.728416,-8.555311,-1.591839,-0.206842,2.736599,0.000000,1.450000,0.200000
8.026362,6.725729,-8.643608,-1.610832,-0.223250,2.691420,0.000000,1.450000,0.220000
8.115543,6.721301,-8.731834,-1.631298,-0.240173,2.649858,0.000000,1.460000,0.220000
8.204725,6.715002,-8.819946,-1.653279,-0.257568,2.619575,0.000000,1.460000,0.230000
8.293907,6.706700,-8.907892,-1.676816,-0.275365,2.607400,0.000000,1.480000,0.260000
8.383089,6.696262,-8.995610,-1.701939,-0.293465,2.616210,0.000000,1.490000,0.280000
8.472270,6.683552,-9.083027,-1.728670,-0.311731,2.643317,0.000000,1.530000,0.300000
8.561452,6.668442,-9.170061,-1.756930,-0.324498,2.681313,0.000000,1.550000,0.380000
8.650634,6.650848,-9.256627,-1.785739,-0.328002,2.720916,0.000000,1.580000,0.500000
8.739816,6.630752,-9.342647,-1.814930,-0.333165,2.754193,0.000000,1.610000,0.680000
8.828998,6.608133,-9.428037,-1.844654,-0.340092,2.776445,0.000000,1.650000,0.920000
8.918179,6.582958,-9.512710,-1.875072,-0.348917,2.785957,0.000000,1.690000,1.120000
9.007361,6.555184,-9.596566,-1.906361,-0.359805,2.782259,0.000000,1.740000,2.970000
9.096543,6.524758,-9.679495,-1.938709,-0.372956,2.764377,0.000000,1.790000,2.960000
9.185725,6.491615,-9.761377,-1.972327,-0.388610,2.730132,0.000000,1.870000,2.960000
9.274907,6.455680,-9.842072,-2.007450,-0.407046,2.676453,0.000000,1.900000,2.940000
9.364088,6.416865,-9.921421,-2.044335,-0.428586,2.600159,0.000000,1.950000,2.860000
9.453270,6.375074,-9.999242,-2.083273,-0.453593,2.499219,0.000000,2.000000,2.830000
9.542452,6.330196,-10.075326,-2.124588,-0.482461,2.374649,0.000000,2.030000,2.810000
9.631634,6.282115,-10.149426,-2.168639,-0.515597,2.232162,0.000000,1.870000,2.760000
