# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,-0.696447,7.747991,-0.700443,-0.985519,3.482923,-0.036600,4.575000,0.600000
0.019997,-0.681416,7.735108,-0.715224,-0.531301,3.482713,1.953953,4.475000,0.600000
0.039993,-0.666439,7.721988,-0.722631,-0.245951,3.493914,0.885036,4.350000,0.575000
0.059990,-0.651463,7.708732,-0.725983,-0.110151,3.498976,1.056635,4.350000,0.550000
0.079986,-0.636411,7.695347,-0.727560,-0.055202,3.505009,1.229548,4.275000,0.550000
0.099983,-0.621545,7.682094,-0.728548,-0.044553,3.512017,1.404017,4.250000,0.525000
0.119980,-0.606791,7.668918,-0.729487,-0.053619,3.520002,1.580244,4.225000,0.525000
0.139976,-0.591765,7.655469,-0.730676,-0.066812,3.528967,1.758407,4.200000,0.550000
0.159973,-0.576917,7.642144,-0.732195,-0.084160,3.538917,1.938285,4.175000,0.550000
0.179969,-0.562129,7.628827,-0.734023,-0.100764,3.549853,2.119874,4.125000,0.525000
0.199966,-0.547138,7.615273,-0.736213,-0.115144,3.561774,2.303296,4.100000,0.500000
0.219962,-0.532508,7.601985,-0.738614,-0.127810,3.574682,2.488605,4.075000,0.500000
0.239959,-0.517572,7.588349,-0.741307,-0.137979,3.588576,2.674624,3.975000,0.500000
0.259956,-0.502987,7.574959,-0.744116,-0.145417,3.603449,2.860983,3.925000,0.525000
0.279952,-0.488221,7.561324,-0.747099,-0.151173,3.619291,3.047141,3.900000,0.500000
0.299949,-0.473575,7.547717,-0.750160,-0.154259,3.636087,3.233065,3.850000,0.500000
0.319945,-0.459035,7.534125,-0.753244,-0.155550,3.653824,3.419818,3.825000,0.475000
0.339942,-0.444252,7.520219,-0.756410,-0.155912,3.672492,3.606898,3.800000,0.450000
0.359938,-0.429957,7.506689,-0.759447,-0.152762,3.692079,3.793673,3.750000,0.475000
0.379935,-0.415338,7.492768,-0.762502,-0.149992,3.712569,3.982978,3.725000,0.475000
0.399932,-0.400938,7.478970,-0.765452,-0.144657,3.733961,4.175278,3.700000,0.475000
0.419928,-0.386614,7.465168,-0.768263,-0.138098,3.756254,4.370688,3.675000,0.450000
0.439925,-0.372028,7.451035,-0.771007,-0.132263,3.779450,4.569750,3.625000,0.425000
0.459921,-0.357885,7.437258,-0.773539,-0.124042,3.803551,4.774308,3.600000,0.425000
0.479918,-0.343604,7.423278,-0.775939,-0.116266,3.828569,4.985585,3.575000,0.450000
0.499915,-0.329126,7.409038,-0.778227,-0.109320,3.854521,5.204428,3.550000,0.450000
0.519911,-0.315108,7.395190,-0.780347,-0.105916,3.881427,5.432266,3.525000,0.425000
0.539908,-0.300903,7.381099,-0.782435,-0.102854,3.909313,5.670312,3.500000,0.425000
0.559904,-0.286537,7.366787,-0.784493,-0.100122,3.938210,5.919133,3.450000,0.450000
0.579901,-0.272584,7.352833,-0.786451,-0.098362,3.968151,6.179533,3.425000,0.450000
0.599897,-0.258478,7.338669,-0.788401,-0.096802,3.999170,6.451703,3.400000,0.425000
0.619894,-0.244223,7.324300,-0.790346,-0.095424,4.031301,6.735293,3.375000,0.400000
0.639891,-0.230300,7.310213,-0.792217,-0.093514,4.064573,7.027653,3.350000,0.400000
0.659887,-0.216303,7.295997,-0.794065,-0.091712,4.099001,7.322217,3.325000,0.400000
0.679884,-0.202182,7.281603,-0.795897,-0.090085,4.134568,7.611933,3.300000,0.425000
0.699881,-0.188243,7.267342,-0.797676,-0.088184,4.171220,7.895421,3.275000,0.400000
0.719877,-0.174356,7.253086,-0.799411,-0.086218,4.208900,8.186863,3.250000,0.400000
0.739874,-0.160367,7.238674,-0.801125,-0.084410,4.247618,8.494492,3.225000,0.425000
0.759870,-0.146398,7.224234,-0.802803,-0.082543,4.287421,8.734227,3.225000,0.400000
0.779867,-0.132618,7.209943,-0.804419,-0.080330,4.327966,8.736697,3.250000,0.375000
0.799863,-0.118753,7.195517,-0.806006,-0.078261,4.368146,8.738800,3.225000,0.400000
0.819860,-0.104804,7.180958,-0.807564,-0.076328,4.407969,8.740554,3.200000,0.425000
0.839857,-0.091070,7.166580,-0.809059,-0.073940,4.447443,8.745085,3.175000,0.400000
0.859853,-0.077318,7.152140,-0.810509,-0.071576,4.486591,8.749854,3.150000,0.400000
0.879850,-0.063495,7.137583,-0.811923,-0.069334,4.525420,8.754297,3.125000,0.400000
0.899846,-0.049695,7.123011,-0.813293,-0.067018,4.563939,8.759459,3.100000,0.425000
0.919843,-0.036044,7.108558,-0.814599,-0.064376,4.602158,8.766655,3.125000,0.450000
0.939840,-0.022332,7.094002,-0.815861,-0.061845,4.640093,8.773507,3.125000,0.450000
0.959836,-0.008561,7.079347,-0.817080,-0.059420,4.677750,8.780035,3.100000,0.425000
0.979833,0.005086,7.064790,-0.818241,-0.056947,4.715134,8.787011,3.100000,0.425000
0.999829,0.018701,7.050234,-0.819352,-0.054498,4.752253,8.794034,3.075000,0.450000
1.019826,0.032368,7.035590,-0.820419,-0.052136,4.789114,8.800759,3.050000,0.475000
1.039822,0.046086,7.020860,-0.821446,-0.049855,4.825721,8.807199,3.075000,0.475000
1.059819,0.059620,7.006299,-0.822415,-0.047705,4.862079,8.813105,3.075000,0.475000
1.079816,0.073198,6.991664,-0.823347,-0.045622,4.898191,8.818778,3.050000,0.450000
1.099812,0.086821,6.976952,-0.824241,-0.043603,4.934062,8.824228,3.025000,0.475000
1.119809,0.100440,6.962219,-0.825097,-0.042156,4.969695,8.827068,3.000000,0.500000
1.139805,0.113940,6.947590,-0.825939,-0.042433,5.005087,8.821809,2.975000,0.500000
1.159802,0.127481,6.932892,-0.826790,-0.042720,5.040209,8.816376,3.000000,0.525000
1.179798,0.141060,6.918127,-0.827650,-0.043017,5.075067,8.810759,3.000000,0.550000
1.199795,0.154598,6.903380,-0.828514,-0.043369,5.109665,8.804707,3.000000,0.550000
1.219792,0.168063,6.888688,-0.829383,-0.043792,5.144006,8.798099,2.975000,0.575000
1.239788,0.181561,6.873935,-0.830263,-0.044221,5.178095,8.791260,2.950000,0.600000
1.259785,0.195090,6.859120,-0.831155,-0.044658,5.211934,8.784178,2.925000,0.675000
1.279781,0.208558,6.844346,-0.832050,-0.044799,5.245528,8.778730,2.925000,0.675000
1.299778,0.221981,6.829596,-0.832943,-0.044706,5.278887,8.774684,2.950000,0.650000
1.319775,0.235430,6.814789,-0.833836,-0.044627,5.312022,8.770533,2.925000,0.675000
1.339771,0.248906,6.799928,-0.834731,-0.044561,5.344936,8.766274,2.925000,0.675000
1.359768,0.262312,6.785115,-0.835619,-0.044321,5.377632,8.763176,2.900000,0.650000
1.379764,0.275688,6.770310,-0.836500,-0.043990,5.410120,8.760742,2.900000,0.650000
1.399761,0.289087,6.755454,-0.837377,-0.043673,5.442405,8.758255,2.925000,0.675000
1.419758,0.302507,6.740548,-0.838250,-0.043371,5.474490,8.755714,2.900000,0.675000
1.439754,0.315858,6.725693,-0.839113,-0.042974,5.506379,8.753902,2.875000,0.650000
1.459751,0.329186,6.710837,-0.839966,-0.042540,5.538077,8.752429,2.850000,0.625000
1.479747,0.342534,6.695934,-0.840813,-0.042120,5.569591,8.750929,2.850000,0.600000
1.499744,0.355899,6.680987,-0.841653,-0.041712,5.600921,8.749402,2.825000,0.575000
1.519740,0.369201,6.666085,-0.842482,-0.041224,5.632072,8.748565,2.800000,0.550000
1.539737,0.382481,6.651182,-0.843299,-0.040703,5.663048,8.748051,2.775000,0.550000
1.559734,0.395778,6.636236,-0.844109,-0.040196,5.693854,8.747530,2.750000,0.550000
1.579730,0.409090,6.621250,-0.844909,-0.039699,5.724493,8.747001,2.775000,0.550000
1.599727,0.422347,6.606301,-0.845697,-0.039154,5.754967,8.746939,2.800000,0.550000
1.619723,0.435582,6.591354,-0.846473,-0.038588,5.785279,8.747132,2.775000,0.525000
1.639720,0.448829,6.576369,-0.847239,-0.038032,5.815435,8.747330,2.750000,0.550000
1.659717,0.462091,6.561346,-0.847996,-0.037487,5.845436,8.747531,2.725000,0.550000
1.679713,0.475307,6.546350,-0.848740,-0.036909,5.875284,8.748075,2.700000,0.575000
1.699710,0.488496,6.531364,-0.849471,-0.036312,5.904983,8.748867,2.700000,0.600000
1.719706,0.501697,6.516342,-0.850191,-0.035723,5.934536,8.749669,2.675000,0.625000
1.739703,0.514911,6.501284,-0.850901,-0.035144,5.963945,8.750481,2.650000,0.625000
1.759699,0.528091,6.486243,-0.851598,-0.034549,5.993213,8.751497,2.625000,0.650000
1.779696,0.541236,6.471220,-0.852281,-0.033937,6.022342,8.752727,2.625000,0.675000
1.799693,0.554393,6.456164,-0.852954,-0.033333,6.051335,8.753969,2.600000,0.675000
1.819689,0.567561,6.441075,-0.853615,-0.032737,6.080193,8.755222,2.575000,0.700000
1.839686,0.580708,6.425989,-0.854264,-0.032137,6.108920,8.756579,2.550000,0.725000
1.859682,0.593813,6.410933,-0.854900,-0.031524,6.137516,8.758107,2.550000,0.725000
1.879679,0.606928,6.395846,-0.855524,-0.030919,6.165985,8.545865,2.525000,0.700000
