idx,iterations,solve_time_us
1,12,2381.0
2,9,569.0
3,9,560.0
4,7,466.0
5,7,512.0
6,7,510.0
7,7,487.0
8,7,495.0
9,7,521.0
10,7,480.0
11,7,470.0
12,7,767.0
13,7,555.0
14,7,493.0
15,7,470.0
16,7,476.0
17,7,492.0
18,7,455.0
19,7,469.0
20,7,480.0
21,7,501.0
22,7,501.0
23,7,497.0
24,7,491.0
25,7,477.0
26,7,492.0
27,7,503.0
28,7,499.0
29,7,719.0
30,7,526.0
31,7,519.0
32,7,509.0
33,7,498.0
34,7,630.0
35,7,544.0
36,7,508.0
37,7,514.0
38,7,659.0
39,7,569.0
40,7,459.0
41,7,492.0
42,7,589.0
43,7,563.0
44,7,590.0
45,7,525.0
46,7,574.0
47,7,507.0
48,7,575.0
49,7,527.0
50,7,664.0
51,7,487.0
52,7,545.0
53,7,509.0
54,7,463.0
55,7,463.0
56,7,457.0
57,7,465.0
58,7,461.0
59,7,467.0
60,7,478.0
61,7,481.0
62,7,535.0
63,7,734.0
64,7,460.0
65,7,465.0
66,7,519.0
67,7,584.0
68,7,461.0
69,7,517.0
70,7,475.0
71,7,463.0
72,7,513.0
73,7,525.0
74,7,532.0
75,7,484.0
76,7,478.0
77,7,476.0
78,7,459.0
79,7,467.0
80,7,456.0
81,7,473.0
82,8,484.0
83,7,451.0
84,7,465.0
85,8,498.0
86,7,483.0
87,8,508.0
88,7,463.0
89,8,483.0
90,7,469.0
91,8,507.0
92,7,522.0
93,8,491.0
94,7,461.0
95,8,482.0
96,7,471.0
97,8,536.0
98,7,460.0
99,8,555.0
100,7,471.0
101,8,486.0
102,7,509.0
103,8,487.0
104,7,468.0
105,8,533.0
106,7,514.0
107,8,487.0
108,8,482.0
109,8,491.0
110,8,567.0
111,8,508.0
112,7,457.0
113,8,487.0
114,8,671.0
115,8,585.0
116,8,608.0
117,8,469.0
118,8,530.0
119,8,527.0
120,8,609.0
121,8,536.0
122,8,608.0
123,8,530.0
124,8,534.0
125,8,481.0
126,8,478.0
127,8,516.0
128,8,489.0
129,8,486.0
130,8,481.0
131,8,598.0
132,8,536.0
133,8,492.0
134,8,485.0
135,8,470.0
136,8,482.0
137,8,483.0
138,8,495.0
139,8,580.0
140,8,657.0
141,8,575.0
142,8,660.0
143,8,628.0
144,8,657.0
145,8,580.0
146,8,666.0
147,8,473.0
148,8,533.0
149,8,527.0
150,8,613.0
151,8,576.0
152,8,538.0
153,8,534.0
154,8,533.0
155,8,536.0
156,8,537.0
157,8,492.0
158,8,536.0
159,8,539.0
160,8,612.0
161,8,701.0
162,8,472.0
163,8,535.0
164,8,578.0
165,8,590.0
166,8,535.0
167,8,570.0
168,8,484.0
169,8,469.0
170,8,651.0
171,8,595.0
172,8,536.0
173,8,530.0
174,8,478.0
175,8,479.0
176,8,538.0
177,8,482.0
178,8,482.0
179,8,539.0
180,8,486.0
181,8,472.0
182,8,485.0
183,8,476.0
184,8,479.0
185,8,489.0
186,8,476.0
187,8,482.0
188,8,484.0
189,8,495.0
190,8,478.0
191,8,479.0
192,8,832.0
193,8,695.0
194,8,612.0
195,8,689.0
196,8,923.0
197,8,817.0
198,8,699.0
199,8,630.0
200,8,592.0
201,8,530.0
202,8,540.0
203,8,507.0
204,8,482.0
205,8,496.0
206,8,581.0
207,8,584.0
208,8,740.0
209,8,731.0
210,8,803.0
211,8,513.0
212,8,609.0
213,8,528.0
214,8,491.0
215,8,510.0
216,8,480.0
217,8,478.0
218,8,486.0
219,8,467.0
220,8,491.0
221,8,473.0
222,8,493.0
223,8,483.0
224,8,539.0
225,8,483.0
226,8,465.0
227,8,474.0
228,8,484.0
229,8,493.0
230,8,581.0
231,8,514.0
232,8,905.0
233,8,839.0
234,8,696.0
235,8,592.0
236,8,540.0
237,8,552.0
238,8,489.0
239,8,549.0
240,8,540.0
241,8,479.0
242,8,488.0
243,8,466.0
244,8,542.0
245,8,496.0
246,8,479.0
247,8,722.0
248,8,784.0
249,8,776.0
250,8,547.0
251,8,578.0
252,8,496.0
253,8,487.0
254,8,501.0
255,8,472.0
256,8,478.0
257,8,490.0
258,8,545.0
259,8,666.0
260,8,663.0
261,8,659.0
262,8,672.0
263,8,494.0
264,8,526.0
265,8,534.0
266,8,536.0
267,8,527.0
268,8,528.0
269,8,529.0
270,8,537.0
271,8,528.0
272,8,541.0
273,8,525.0
274,8,477.0
275,8,479.0
276,8,476.0
277,8,474.0
278,8,497.0
279,8,480.0
280,8,625.0
281,8,621.0
282,8,657.0
283,8,649.0
284,8,731.0
285,8,802.0
286,8,712.0
287,8,796.0
288,8,655.0
289,8,809.0
290,8,714.0
291,8,748.0
292,8,719.0
293,8,557.0
294,8,547.0
295,8,475.0
296,8,476.0
297,8,478.0
298,8,490.0
299,8,483.0
300,8,467.0
301,8,491.0
302,8,488.0
303,8,775.0
304,8,665.0
305,8,496.0
306,8,472.0
307,8,474.0
308,8,489.0
309,8,481.0
310,8,490.0
311,8,517.0
312,8,531.0
313,8,498.0
314,8,476.0
315,8,472.0
316,8,477.0
317,8,484.0
318,8,664.0
319,8,570.0
320,8,666.0
321,8,493.0
322,8,669.0
323,8,524.0
324,8,465.0
325,8,535.0
326,8,616.0
327,8,596.0
328,8,623.0
329,8,538.0
330,8,538.0
331,8,549.0
332,8,628.0
333,8,527.0
334,8,527.0
335,8,581.0
336,8,475.0
337,8,465.0
338,8,470.0
339,8,477.0
340,8,610.0
341,8,516.0
342,8,468.0
343,8,483.0
344,8,479.0
345,8,859.0
346,8,537.0
347,8,478.0
348,8,474.0
349,8,679.0
350,8,591.0
351,8,578.0
352,8,778.0
353,8,565.0
354,8,565.0
355,8,564.0
356,8,568.0
357,8,521.0
358,8,576.0
359,8,526.0
