idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
1,8,0,1086.527,1163.655,745.973,5.731,44.655,831.912,15.981,220.731,0.290,213.441,417.682,18.332,2.700,52.485,343.094,1.080,1.600,35.463,149.705,32.833,8.040,92.829
2,6,0,265.596,302.830,166.657,5.490,16.962,111.021,8.081,140.084,0.240,40.984,136.173,11.121,0.800,31.843,9.811,0.760,0.930,26.633,85.949,24.842,13.441,92.479
3,1,0,181.438,212.561,128.593,4.831,14.412,74.237,8.020,92.820,0.230,9.811,83.968,9.621,0.750,21.892,22.002,0.730,0.800,23.313,43.585,21.512,6.801,92.569
4,1,0,177.017,207.461,123.433,4.831,13.802,71.637,7.351,92.059,0.240,9.241,84.028,9.421,0.750,21.382,21.112,0.710,0.770,20.882,45.755,19.181,6.500,92.489
5,1,0,174.797,205.531,123.083,4.821,14.032,71.987,6.981,89.989,0.230,9.071,82.448,9.281,0.750,19.872,22.822,0.720,0.760,20.442,44.264,18.762,10.581,92.489
6,1,0,183.848,214.561,126.202,4.820,14.141,72.317,6.970,98.690,0.250,9.571,88.359,9.371,0.760,20.812,21.842,0.730,0.780,23.182,50.155,21.442,6.600,92.520
7,1,0,181.918,212.361,125.463,4.820,13.861,71.967,6.941,96.979,0.250,10.631,86.898,9.431,0.760,19.722,21.173,0.700,0.761,22.792,48.464,21.102,5.931,92.499
8,1,0,205.521,235.724,148.926,4.821,13.611,71.927,7.001,120.812,0.240,9.020,86.798,9.411,0.720,19.602,22.643,0.690,0.770,47.285,48.355,45.644,7.521,92.499
9,1,0,182.618,213.191,125.572,4.850,13.931,73.297,6.870,96.600,0.270,9.241,87.619,9.351,0.770,20.192,22.312,0.680,0.780,22.902,48.315,21.202,6.060,92.479
10,1,0,182.238,212.791,124.392,4.830,13.721,71.907,7.070,97.410,0.240,9.101,88.399,9.141,0.710,20.112,22.622,0.690,0.760,22.322,50.305,20.632,6.660,92.530
