idx,iterations,solve_time_us,transport_latency_us
1,34,1605.0,25924.8
2,26,1957.2,24707.2
3,34,969.4,25385.4
4,26,789.6,23291.0
5,25,710.3,24510.4
6,22,671.1,23056.4
7,25,668.8,23966.9
8,15,524.4,22847.1
9,26,707.2,23059.1
10,23,671.2,23040.6
11,25,674.7,23047.8
12,25,671.1,23015.9
13,25,659.2,22997.3
14,24,791.6,23291.0
15,25,783.5,23196.9
16,24,714.7,23114.6
17,25,693.4,23083.0
18,24,653.8,23149.5
19,25,693.4,23108.3
20,25,680.1,23017.3
21,24,678.6,23048.2
22,25,735.6,23278.9
23,24,714.7,23209.8
24,26,686.2,23161.8
25,25,655.0,23225.6
26,24,653.1,22981.4
27,25,667.5,23002.5
28,26,679.5,23016.3
29,26,677.3,23006.4
30,24,639.5,22967.0
31,25,800.0,23203.3
32,25,799.6,23184.0
33,28,719.8,23112.7
34,25,669.6,23073.8
35,25,667.6,23077.0
36,25,878.0,23415.6
37,25,928.9,23429.9
38,25,814.4,23407.1
39,26,794.4,23255.0
40,28,782.0,23176.5
41,24,814.7,23295.5
42,26,690.8,23132.8
43,26,675.8,23013.3
44,23,627.0,22950.0
45,28,712.6,23034.1
46,23,697.0,23029.0
47,22,617.2,22999.8
48,23,625.4,22940.8
49,23,625.7,22943.5
50,22,612.7,22944.8
51,23,640.3,22970.1
52,22,614.6,22949.2
53,23,624.6,22934.2
54,22,609.5,22923.4
55,22,608.6,22919.7
56,15,466.9,22767.4
57,14,463.4,22775.6
58,23,628.3,22958.4
59,22,648.1,23048.5
60,14,467.9,22823.1
61,14,486.6,22913.3
62,13,564.2,23075.3
63,13,445.1,22854.3
64,14,564.9,23156.0
65,14,586.9,23205.7
66,20,617.9,23120.0
67,13,458.3,22800.0
68,20,576.4,22905.0
69,21,640.4,22993.9
70,19,606.8,22971.8
71,12,478.5,22822.8
72,20,671.5,23012.6
73,19,596.0,22920.7
74,13,478.6,22802.2
75,18,698.2,23013.8
76,11,441.7,22815.8
77,19,598.8,22914.4
78,13,483.9,22803.8
79,18,583.9,22903.2
80,19,568.7,23053.1
81,18,724.6,23163.0
82,10,396.2,22825.4
83,19,660.0,23047.6
84,18,547.5,22852.6
85,19,558.0,22881.4
86,17,675.4,23156.1
87,18,639.0,22993.5
88,16,575.1,22989.6
89,11,594.4,23082.4
90,17,708.8,23167.4
91,16,559.2,22963.4
92,17,530.2,22868.4
93,15,497.5,22917.0
94,10,389.9,22790.8
95,17,540.7,22952.3
96,11,402.5,22712.3
97,16,501.3,22816.5
98,10,384.7,22698.6
99,17,580.2,23073.5
100,10,465.5,22860.6
101,24,755.8,23399.6
102,22,673.9,23108.2
103,26,701.9,23024.1
104,16,533.9,22867.7
105,16,512.1,22858.9
106,15,497.6,22847.5
107,24,643.4,22993.8
108,26,686.7,23003.2
109,16,512.2,22838.8
110,25,666.1,22977.5
111,15,488.7,22811.5
112,15,498.7,22834.3
113,24,644.7,22963.0
114,15,491.4,22828.2
115,14,474.9,22799.8
116,24,648.9,22978.3
117,24,641.7,22947.2
118,22,700.1,23161.1
119,23,739.0,23278.4
120,22,687.4,23175.7
121,15,544.9,23039.8
122,24,695.8,23104.7
123,20,721.9,23195.4
124,22,701.1,23173.7
125,24,656.1,23007.5
126,20,586.4,22974.9
127,21,597.9,23004.0
128,16,499.0,22811.1
129,16,500.1,22900.4
130,14,461.7,22801.0
131,16,493.9,22818.8
132,16,488.6,22795.6
133,14,465.3,22777.5
134,16,496.0,22822.7
135,15,474.9,22803.0
136,19,544.4,22874.9
137,17,619.4,23052.3
138,15,574.1,23000.3
139,17,708.2,23180.3
140,16,598.1,22983.6
141,15,476.2,22860.1
142,18,578.0,22980.9
143,16,498.5,22879.6
144,17,505.7,22822.3
145,16,492.4,22880.2
146,17,520.7,22917.1
147,18,633.4,23053.2
148,15,489.2,22889.2
149,14,464.2,22872.4
150,22,602.7,23006.1
151,17,577.1,23035.3
152,14,464.8,22797.6
153,15,479.9,22861.4
154,15,483.1,22820.6
155,13,433.6,22754.2
156,15,475.8,22796.3
157,16,488.1,22806.5
158,15,475.6,22788.8
159,15,474.4,22796.6
160,13,441.6,22765.7
161,14,486.5,22810.5
162,12,482.1,22844.6
163,13,488.2,22829.1
164,14,497.8,22868.1
165,12,464.4,22792.4
166,13,575.5,23080.4
167,12,510.8,22906.3
168,12,462.5,22813.8
169,13,480.2,22807.0
170,12,466.9,22795.8
171,12,470.0,22814.9
172,11,445.2,22820.0
173,11,439.8,22777.0
174,12,466.9,22822.2
175,13,481.3,22811.6
176,12,465.9,22786.5
177,11,453.4,22786.8
178,11,452.1,22776.5
179,10,501.5,23119.1
180,12,502.4,22991.7
181,10,438.8,22997.9
182,10,458.4,22892.7
183,11,460.1,22865.0
184,10,448.5,22834.6
185,11,467.5,22857.3
186,9,424.4,22819.7
187,11,446.9,22837.0
188,10,430.8,22826.8
189,9,427.5,22819.7
190,10,472.0,22942.9
191,9,444.5,22874.2
192,11,414.8,22766.8
193,9,414.0,22743.7
194,10,409.8,22742.2
195,10,397.4,22763.3
196,9,435.1,22957.3
197,10,396.7,22767.6
198,9,375.5,22729.6
199,10,394.4,22733.7
200,10,392.8,22725.7
201,9,482.3,23167.8
202,10,403.8,22794.5
203,10,394.8,22748.1
204,11,409.9,22753.7
205,13,469.7,22800.9
206,18,530.3,22866.5
207,50,1104.1,23453.3
208,50,1102.0,23524.5
209,50,1105.7,23438.3
210,50,1106.7,23454.0
211,3,289.5,22696.0
212,8,384.6,22776.4
213,16,514.3,22855.9
214,5,325.4,22673.1
215,21,598.5,22937.7
216,12,439.2,22766.0
217,9,394.4,22727.7
218,10,411.8,22747.2
219,6,345.9,22712.5
220,8,381.2,22785.0
221,9,406.7,22753.9
222,8,379.5,22722.5
223,10,413.8,22750.7
224,50,1099.5,23432.9
225,50,1101.6,23439.9
226,50,1101.6,23430.8
227,50,1094.7,23432.1
228,12,451.7,22793.2
229,6,340.7,22672.5
230,9,405.8,22753.5
231,8,398.5,22784.3
232,50,1115.7,23638.6
233,6,407.2,22850.1
