idx,iterations,solve_time_us
1,21,1415.9
2,16,702.0
3,16,672.8
4,16,607.7
5,10,449.4
6,9,434.4
7,9,428.6
8,16,529.6
9,15,530.1
10,15,568.4
11,9,388.0
12,15,499.5
13,11,410.4
14,14,479.3
15,16,525.2
16,14,494.8
17,16,575.0
18,14,560.3
19,16,545.6
20,14,595.2
21,15,543.6
22,15,546.1
23,16,527.4
24,14,484.2
25,15,489.9
26,10,462.1
27,10,653.5
28,11,574.6
29,9,571.0
30,11,552.3
31,10,531.4
32,9,512.4
33,15,491.9
34,15,502.4
35,16,518.7
36,15,501.0
37,15,631.6
38,11,408.7
39,15,589.5
40,16,522.9
41,14,473.8
42,15,494.2
43,14,476.8
44,9,368.2
45,15,485.8
46,14,471.7
47,9,373.1
48,9,372.8
49,9,376.2
50,14,622.4
51,8,502.3
52,9,618.8
53,8,466.5
54,9,382.8
55,8,421.6
56,8,412.3
57,13,517.2
58,13,517.2
59,8,361.3
60,9,429.5
61,8,408.2
62,13,453.7
63,8,409.1
64,8,411.8
65,8,412.0
66,9,429.4
67,8,416.6
68,9,376.9
69,12,444.4
70,8,351.6
71,9,366.5
72,7,343.1
73,8,361.8
74,11,426.9
75,11,429.0
76,8,364.4
77,7,349.7
78,8,395.1
79,8,357.3
80,8,358.1
81,8,355.3
82,8,411.9
83,11,465.9
84,11,467.9
85,10,396.6
86,18,541.4
87,17,531.9
88,17,580.6
89,12,614.6
90,6,482.5
91,15,629.9
92,15,497.8
93,9,372.6
94,9,371.5
95,8,350.8
96,9,371.5
97,9,368.1
98,14,470.5
99,8,368.1
100,8,366.6
101,8,733.8
102,8,521.0
103,8,366.6
104,9,395.5
105,12,447.0
106,11,427.6
107,8,359.5
108,7,342.4
109,8,354.3
110,7,328.0
111,7,337.2
112,8,351.4
113,7,334.3
114,7,340.1
115,7,352.3
116,7,337.1
117,8,354.1
118,7,333.7
119,7,337.4
120,8,354.9
121,7,332.9
122,10,403.2
123,8,359.0
124,8,362.5
125,7,490.4
126,8,513.9
127,8,371.0
128,7,481.0
129,7,477.3
130,8,560.9
131,8,500.2
132,6,471.5
133,8,425.7
134,9,388.2
135,7,353.9
136,7,348.8
137,6,332.0
138,7,427.6
139,8,447.2
140,8,361.7
141,7,340.4
142,7,339.0
143,7,337.0
144,7,334.3
145,7,339.8
146,6,323.2
147,7,338.0
148,6,331.1
149,6,375.9
150,6,383.5
151,6,376.7
152,6,332.2
153,6,319.5
154,6,394.8
155,6,370.6
156,6,433.7
157,6,322.0
158,6,316.4
159,6,328.2
160,5,415.6
161,5,352.0
162,5,415.0
163,6,370.3
164,6,324.2
165,5,301.3
166,5,305.3
167,6,319.6
168,5,301.8
169,6,318.0
170,5,293.7
171,6,320.0
172,6,317.5
173,6,321.7
174,5,311.2
175,5,307.1
176,6,339.1
177,6,319.6
178,6,330.4
179,8,359.1
180,8,352.4
181,8,363.3
182,8,357.2
183,8,359.4
184,8,357.2
185,9,371.2
186,8,354.4
187,8,498.1
188,10,389.8
189,8,353.8
190,4,285.3
191,7,340.0
192,7,335.3
193,9,370.1
194,5,304.1
195,8,349.9
196,7,337.0
197,8,359.5
198,7,372.2
199,8,360.8
200,8,359.2
201,6,500.9
202,8,560.4
203,8,508.6
204,7,430.4
205,8,393.8
206,7,373.4
207,7,384.2
208,7,380.2
209,8,371.7
210,8,370.9
211,6,338.9
212,33,786.9
213,7,340.0
214,7,342.5
215,7,348.3
216,8,438.9
217,8,353.6
218,7,340.4
219,7,339.9
220,8,358.4
221,4,310.8
222,5,314.3
223,5,317.5
224,5,332.9
225,5,308.2
226,5,371.1
227,4,335.4
228,4,330.2
229,4,328.9
230,6,331.7
231,3,309.5
232,4,330.0
233,3,285.6
234,5,319.6
235,6,364.7
236,2,259.2
237,6,344.6
238,6,342.6
239,3,272.8
240,2,265.6
241,2,255.7
242,2,257.6
243,2,261.4
244,2,255.0
245,2,264.5
246,3,272.6
247,2,266.5
248,2,262.5
249,2,436.4
250,2,272.7
251,2,332.4
252,2,301.4
253,2,298.7
254,2,297.0
255,2,263.6
256,6,347.2
257,2,265.8
258,2,294.6
259,2,272.9
260,2,257.1
261,2,261.3
262,2,256.7
263,2,265.8
264,2,266.1
265,2,262.8
266,2,258.1
267,2,259.2
268,6,347.0
269,6,347.9
270,2,260.3
271,2,261.2
272,2,257.4
273,2,261.4
274,2,268.5
275,2,263.3
276,2,269.3
