idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
1,1779177351,383565942,0,13,0,0,27100,-41952,0,0,7,0,0,-4423,1851568,-0.0168724,0.5000000,7.0631714,490714,-103500,209715,262144
2,1779177351,389143426,0,5,0,0,27100,-41952,0,0,-30,0,1851568,-8869,1851568,-0.0338326,0.5000000,7.0631714,490857,-103500,209715,262144
3,1779177351,402606131,0,1,0,0,27100,-41955,0,0,-264,-4423,1851568,-13590,1851568,-0.0518417,0.5000000,7.0631714,491395,-103500,209715,262144
4,1779177351,407539534,0,1,0,0,27100,-41956,0,0,-307,-4423,1851568,-12637,1851568,-0.0482063,0.5000000,7.0631714,491928,-103500,209715,262144
5,1779177351,412538955,0,1,0,0,27100,-41957,0,0,-227,-4423,1851568,-12339,1851568,-0.0470695,0.5000000,7.0631714,491956,-103500,209715,262144
6,1779177351,417631915,0,1,0,0,27100,-41958,0,0,-70,-8869,1851568,-16964,1851568,-0.0647125,0.5000000,7.0631714,492097,-103500,209715,262144
7,1779177351,422592391,0,1,0,0,27100,-41958,0,0,44,-13590,1851568,-20916,1851568,-0.0797882,0.5000000,7.0631714,492097,-103500,209715,262144
8,1779177351,427593572,0,1,0,0,27100,-41957,0,0,63,-13590,1851568,-19652,1851568,-0.0749664,0.5000000,7.0631714,492245,-103500,209715,262144
9,1779177351,432186807,0,1,0,0,27100,-41957,0,0,44,-12637,1851568,-18175,1851568,-0.0693321,0.5000000,7.0631714,492245,-103500,209715,262144
10,1779177351,437603358,0,1,0,0,27100,-41957,0,0,45,-12339,1851568,-17932,1851568,-0.0684052,0.5000000,7.0631714,492245,-103500,209715,262144
11,1779177351,443414384,0,1,0,0,27100,-41956,0,0,71,-19652,1851568,-24954,1851568,-0.0951920,0.5000000,7.0631714,492245,-103500,209715,262144
12,1779177351,447165677,0,1,0,0,27100,-41956,0,0,116,-18175,1851568,-22330,1851568,-0.0851822,0.5000000,7.0631714,492394,-103500,209715,262144
13,1779177351,452584981,0,1,0,0,27100,-41955,0,0,114,-22330,1851568,-26921,1851568,-0.1026955,0.5000000,7.0631714,492539,-103500,209715,262144
14,1779177351,457570034,0,1,0,0,27100,-41955,0,0,31,-26921,1851568,-30826,1851568,-0.1175919,0.5000000,7.0631714,492687,-103500,209715,262144
15,1779177351,462503437,0,1,0,0,27100,-41956,0,0,-208,-30826,1851568,-33900,1851568,-0.1293182,0.5000000,7.0631714,492687,-103500,209715,262144
16,1779177351,467548875,0,1,0,0,27100,-41957,0,0,-110,-33900,1851568,-36007,1851568,-0.1373558,0.5000000,7.0631714,492850,-103500,209715,262144
17,1779177351,472492967,0,1,0,0,27100,-41949,0,0,1486,-36007,1851568,-37187,1851568,-0.1418571,0.5000000,7.0631714,492985,-103500,209715,262144
18,1779177351,477592807,0,1,0,0,27100,-41933,0,0,3285,-37187,1851568,-37641,1851568,-0.1435890,0.5000000,7.0631714,493136,-103500,209715,262144
19,1779177351,482486785,0,1,0,0,27100,-41921,0,0,2375,-37641,1851568,-37533,1851568,-0.1431770,0.5000000,7.0631714,493276,-103500,209715,262144
