idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
1,1778515493824155281,1,0,0,9,-5699,-2179,-5699,-2179,0,0,-108,0,0,176747,-11713,968168,320763,124875
2,1778515493827411165,1,1,50,0,22404,1851568,-5699,-2180,0,0,-63,0,-2179,176836,-11713,988890,800152,867064
3,1778515493836130100,1,1,50,0,22404,1851568,-5699,-2179,0,0,-33,0,1851568,177019,-11713,953588,770420,834603
4,1778515493851519493,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,-6,0,1851568,177110,-11713,920996,768350,840093
5,1778515493872547810,1,1,50,0,-22405,-1851569,-5699,-2178,0,0,29,0,-1851569,177202,-11713,940357,769481,829803
6,1778515493882317671,1,1,50,0,22404,1851568,-5699,-2178,0,0,13,0,-1851569,177248,-11713,923226,769140,843383
7,1778515493888812671,1,1,50,0,-22405,-1851569,-5699,-2178,0,0,-3,0,1851568,177296,-11713,939117,771161,826313
8,1778515493894034406,1,1,50,0,-22405,-1851569,-5699,-2178,0,0,-9,0,-1851569,177296,-11713,926326,767781,847903
9,1778515493897432372,1,1,50,0,-22405,1851568,-5699,-2178,0,0,-6,0,-1851569,177339,-11713,941197,772031,831453
10,1778515493901741038,1,1,50,0,-22405,1851568,-5699,-2178,0,0,-5,0,1851568,177339,-11713,883726,766350,774250
11,1778515493906029128,1,1,50,0,22404,-1851569,-5699,-2178,0,0,-13,0,1851568,177387,-11713,889526,768530,776300
12,1778515493911025100,1,1,50,0,22404,-1851569,-5699,-2178,0,0,-23,0,-1851569,177480,-11713,884455,764961,773081
13,1778515493919291005,1,1,50,0,22404,1851568,-5699,-2179,0,0,-27,0,-1851569,177529,-11713,889446,770621,780031
14,1778515493924326529,1,1,50,0,-22405,1851568,-5699,-2179,0,0,-5,0,1851568,177674,-11713,885485,767930,776081
15,1778515493934296296,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,3,0,1851568,177674,-11713,888365,769610,777591
16,1778515493939105769,1,1,50,0,-22405,1851568,-5699,-2179,0,0,2,0,-1851569,177712,-11713,887145,767401,778121
17,1778515493942108402,1,1,50,0,-22405,1851568,-5699,-2179,0,0,8,0,1851568,177712,-11713,901566,782971,791472
18,1778515493945897702,1,1,50,0,-22405,1851568,-5699,-2179,0,0,12,0,1851568,177751,-11713,886415,768111,776471
19,1778515493950886889,1,1,50,0,-22405,1851568,-5699,-2179,0,0,2,0,1851568,177797,-11713,884345,767300,775391
20,1778515493955954062,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,-26,0,1851568,177842,-11713,881555,765951,772431
21,1778515493960900177,1,1,50,0,-22405,1851568,-5699,-2179,0,0,-53,0,-1851569,177888,-11713,883885,768130,772921
22,1778515493965909333,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,-69,0,1851568,177934,-11713,885965,767071,775371
23,1778515493970943258,1,1,50,0,-22405,1851568,-5699,-2180,0,0,-72,0,-1851569,177980,-11713,884155,766170,775131
