idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
1,1778515493824155281,1,0,0,9,-5699,-2179,-5699,-2179,0,0,-108,0,0,176747,-11713,858210,296880,136710
2,1778515493827411165,1,0,4294965117,8,-5699,-2180,-5699,-2180,0,0,-63,0,-2179,176836,-11713,250150,78940,143020
3,1778515493836130100,1,0,4294965116,8,-5699,-2179,-5699,-2179,0,0,-33,0,-2180,177019,-11713,183240,58290,63310
4,1778515493851519493,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,-6,0,-2179,177110,-11713,180030,58720,66290
5,1778515493872547810,1,0,4294965117,8,-5699,-2178,-5699,-2178,0,0,29,0,-2179,177202,-11713,178370,57270,62390
6,1778515493882317671,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,13,0,-2178,177248,-11713,181080,59600,68620
7,1778515493888812671,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,-3,0,-2178,177296,-11713,179000,57600,63130
8,1778515493894034406,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,-9,0,-2178,177296,-11713,183530,56930,73020
9,1778515493897432372,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,-6,0,-2178,177339,-11713,182240,58310,65560
10,1778515493901741038,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,-5,0,-2178,177339,-11713,179770,56820,70150
11,1778515493906029128,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,-13,0,-2178,177387,-11713,178841,57450,62700
12,1778515493911025100,1,0,4294965118,8,-5699,-2178,-5699,-2178,0,0,-23,0,-2178,177480,-11713,178380,58630,68800
13,1778515493919291005,1,0,4294965118,8,-5699,-2179,-5699,-2179,0,0,-27,0,-2178,177529,-11713,179380,56790,60320
14,1778515493924326529,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,-5,0,-2179,177674,-11713,175940,56290,67110
15,1778515493934296296,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,3,0,-2179,177674,-11713,179010,57380,60530
16,1778515493939105769,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,2,0,-2179,177712,-11713,177080,57550,66770
17,1778515493942108402,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,8,0,-2179,177712,-11713,176900,56990,59860
18,1778515493945897702,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,12,0,-2179,177751,-11713,178900,59080,68920
19,1778515493950886889,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,2,0,-2179,177797,-11713,178010,56650,61680
20,1778515493955954062,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,-26,0,-2179,177842,-11713,177500,56750,66250
21,1778515493960900177,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,-53,0,-2179,177888,-11713,176980,56960,60090
22,1778515493965909333,1,0,4294965117,8,-5699,-2179,-5699,-2179,0,0,-69,0,-2179,177934,-11713,177260,57850,67330
23,1778515493970943258,1,0,4294965117,8,-5699,-2180,-5699,-2180,0,0,-72,0,-2179,177980,-11713,194560,58940,76240
24,1778515493975877725,1,0,4294965116,8,-5699,-2180,-5699,-2180,0,0,-77,0,-2180,178026,-11713,182720,59340,72680
25,1778515493980910689,1,0,4294965116,8,-5699,-2180,-5699,-2180,0,0,-82,0,-2180,178071,-11713,182201,57521,63640
26,1778515493985895781,1,0,4294965116,8,-5699,-2180,-5699,-2180,0,0,-70,0,-2180,178117,-11713,176880,56670,68080
27,1778515493990884680,1,0,4294965116,8,-5699,-2181,-5699,-2181,0,0,-45,0,-2180,178163,-11713,180310,57290,62900
28,1778515493995900940,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,-25,0,-2181,178209,-11713,178180,56200,69300
29,1778515494000912240,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,-19,0,-2181,178254,-11713,179030,56740,61850
30,1778515494005900276,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,-25,0,-2181,178301,-11713,177450,58670,67980
31,1778515494011027546,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,-27,0,-2181,178347,-11713,176940,57030,59260
32,1778515494015947676,1,0,4294965115,8,-5699,-2182,-5699,-2182,0,0,-10,0,-2181,178392,-11713,175760,56480,66000
33,1778515494021010561,1,0,4294965114,8,-5699,-2181,-5699,-2181,0,0,23,0,-2182,178438,-11713,177350,56380,59550
34,1778515494025918787,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,60,0,-2181,178484,-11713,175680,56910,66650
35,1778515494030925159,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,74,0,-2181,178529,-11713,178160,57560,60230
36,1778515494035971468,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,55,0,-2181,178578,-11713,180720,58800,68210
37,1778515494040966159,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,21,0,-2181,178621,-11713,177410,56910,59480
38,1778515494045949843,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,-15,0,-2181,178666,-11713,222410,57720,65120
39,1778515494050932694,1,0,4294965115,8,-5699,-2181,-5699,-2181,0,0,-39,0,-2181,178712,-11713,179921,56950,62320
