idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
1,1778515493824155281,1,0,0,1,0,0,-5699,-2179,0,0,-108,0,0,176747,-11713,1719536,1060598,926538
2,1778515493827411165,1,1,50,0,22404,1851568,-5699,-2180,0,0,-63,0,0,176836,-11713,1103558,869708,949798
3,1778515493836130100,1,1,50,0,-22405,1851568,-5699,-2179,0,0,-33,0,1851568,177019,-11713,1062978,863468,951468
4,1778515493851519493,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,-6,0,1851568,177110,-11713,1062888,863309,950269
5,1778515493872547810,1,1,50,0,22404,1851568,-5699,-2178,0,0,29,0,-1851569,177202,-11713,984849,861579,875669
6,1778515493882317671,1,1,50,0,22404,1851568,-5699,-2178,0,0,13,0,1851568,177248,-11713,884909,767599,776039
7,1778515493888812671,1,1,50,0,22404,1851568,-5699,-2178,0,0,-3,0,1851568,177296,-11713,886039,767709,775889
8,1778515493894034406,1,1,50,0,22404,-1851569,-5699,-2178,0,0,-9,0,1851568,177296,-11713,899048,768898,789059
9,1778515493897432372,1,1,50,0,-22405,-1851569,-5699,-2178,0,0,-6,0,-1851569,177339,-11713,885518,766288,774828
10,1778515493901741038,1,1,50,0,-22405,1851568,-5699,-2178,0,0,-5,0,-1851569,177339,-11713,882828,766878,774728
11,1778515493906029128,1,1,50,0,22404,-1851569,-5699,-2178,0,0,-13,0,1851568,177387,-11713,884368,767098,774988
12,1778515493911025100,1,1,50,0,-22405,1851568,-5699,-2178,0,0,-23,0,-1851569,177480,-11713,886008,768329,777148
13,1778515493919291005,1,1,50,0,22404,1851568,-5699,-2179,0,0,-27,0,1851568,177529,-11713,884839,767519,774259
14,1778515493924326529,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,-5,0,1851568,177674,-11713,881339,766309,773299
15,1778515493934296296,1,1,50,0,22404,-1851569,-5699,-2179,0,0,3,0,-1851569,177674,-11713,882518,765339,773219
16,1778515493939105769,1,1,50,0,-22405,1851568,-5699,-2179,0,0,2,0,-1851569,177712,-11713,883628,767168,774548
17,1778515493942108402,1,1,50,0,-22405,-1851569,-5699,-2179,0,0,8,0,1851568,177712,-11713,885938,766878,776728
18,1778515493945897702,1,1,50,0,22404,1851568,-5699,-2179,0,0,12,0,-1851569,177751,-11713,882138,766378,773298
19,1778515493950886889,1,1,50,0,22404,1851568,-5699,-2179,0,0,2,0,1851568,177797,-11713,882569,766849,774549
