monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_long_window_percent,gpu_percent
1318283162390,1779177341,818043058,0.000,0.000
1319283225570,1779177342,818105182,1.485,0.000
1320283222798,1779177343,818098954,0.636,0.000
1321283238141,1779177344,818122906,11.596,0.000
1322283221070,1779177345,818098058,24.537,0.000
1323283227361,1779177346,818106525,21.107,0.000
1324283229336,1779177347,818111572,55.976,0.000
1325283232465,1779177348,818115629,87.751,0.000
1326283261806,1779177349,818143274,47.511,0.000
1327283230125,1779177350,818110281,44.863,0.000
1328283345972,1779177351,818227312,43.806,69.000
1329283241081,1779177352,818123861,41.273,40.000
1330284050457,1779177353,818930517,43.909,0.000
1331283183444,1779177354,818065392,42.649,38.000
1332283249259,1779177355,818130023,42.463,0.000
1333283206276,1779177356,818088192,38.852,38.000
1334283230916,1779177357,818112640,40.798,0.000
1335283211240,1779177358,818092772,42.805,39.000
1336283227090,1779177359,818108431,43.240,0.000
1337283388070,1779177360,818269411,42.081,0.000
1338283208760,1779177361,818090420,41.160,0.000
1339283228149,1779177362,818109457,36.679,39.000
1340283227640,1779177363,818108980,41.059,39.000
1341283222113,1779177364,818103358,39.749,40.000
1342283222962,1779177365,818104590,38.057,38.000
1343283226794,1779177366,818108166,38.802,25.000
1344283230441,1779177367,818112165,38.311,25.000
1345283232656,1779177368,818114092,37.976,20.000
1346283227807,1779177369,818109563,41.182,38.000
1347283228053,1779177370,818109746,39.288,39.000
1348283271414,1779177371,818153010,38.625,38.000
1349283263229,1779177372,818144345,38.748,39.000
1350283278798,1779177373,818160362,38.920,38.000
1351283274759,1779177374,818156483,40.674,38.000
1352283230024,1779177375,818111748,44.935,40.000
1353283226356,1779177376,818107888,39.529,38.000
1354283228809,1779177377,818110597,38.743,25.000
1355283230312,1779177378,818111940,41.707,25.000
1356283228945,1779177379,818110669,39.729,25.000
1357283231301,1779177380,818113057,39.950,13.000
1358283226658,1779177381,818108574,41.561,13.000
1359283229931,1779177382,818111559,40.182,39.000
1360283229342,1779177383,818111162,41.823,38.000
1361283227900,1779177384,818110136,41.101,38.000
1362283231942,1779177385,818113538,40.887,40.000
1363283224411,1779177386,818106423,39.961,38.000
1364283260508,1779177387,818142392,40.287,39.000
1365283227880,1779177388,818110116,40.956,38.000
1366283224769,1779177389,818106589,39.582,38.000
1367283230598,1779177390,818112994,37.718,0.000
1368283229431,1779177391,818110963,40.234,32.000
1369283230069,1779177392,818111953,38.280,25.000
1370283226080,1779177393,818107740,42.285,39.000
1371283252057,1779177394,818134165,42.317,39.000
1372283251486,1779177395,818133658,41.189,38.000
1373283264657,1779177396,818146413,40.033,38.000
1374283224177,1779177397,818105933,38.447,39.000
1375283230335,1779177398,818112059,39.194,39.000
1376283230396,1779177399,818111960,40.820,0.000
1377283231846,1779177400,818113283,40.523,0.000
1378283229344,1779177401,818135292,41.905,0.000
1379283241736,1779177402,818123076,42.006,0.000
1380283226622,1779177403,818132827,42.022,0.000
1381283255396,1779177404,818136864,42.765,5.000
1382283253049,1779177405,818134805,41.875,39.000
1383283229309,1779177406,818111161,40.756,40.000
1384283282290,1779177407,818164078,39.090,40.000
1385283227413,1779177408,818109105,40.001,39.000
1386283228360,1779177409,818110277,37.270,0.000
1387283229388,1779177410,818111369,38.752,40.000
1388283230017,1779177411,818112317,39.047,0.000
1389283225798,1779177412,818107426,35.976,38.000
1390283230139,1779177413,818112119,38.175,38.000
1391283230626,1779177414,818113118,39.943,0.000
1392283228825,1779177415,818111509,38.643,0.000
1393283230626,1779177416,818112990,38.417,0.000
1394283230620,1779177417,818112761,39.290,0.000
1395283232329,1779177418,818114661,37.966,38.000
1396283232934,1779177419,818114882,40.074,0.000
1397283251543,1779177420,818133779,39.852,39.000
1398283232600,1779177421,818114548,38.878,0.000
1399283235949,1779177422,818117993,41.768,0.000
1400283229971,1779177423,818111312,43.706,0.000
1401283228109,1779177424,818109833,41.079,0.000
