monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
1318283162390,1779177341,818043058,0.000,0.000,0.000,0.000,0.000,0.000
1318303229560,1779177341,838110036,0.000,0.000,0.000,0.000,0.000,0.000
1318323224377,1779177341,858102325,0.000,0.000,0.000,0.000,0.000,0.000
1318343221721,1779177341,878099413,0.000,0.000,0.000,0.000,0.000,0.000
1318363225146,1779177341,898102742,0.000,0.000,0.000,0.000,0.000,0.000
1318383222362,1779177341,918099766,0.000,0.000,0.000,0.000,0.000,0.000
1318403226171,1779177341,938103095,0.000,0.000,0.000,0.000,0.000,0.000
1318423228924,1779177341,958111576,0.000,0.000,0.000,0.000,100.000,0.000
1318443228316,1779177341,978107896,0.000,0.000,0.000,0.000,0.000,0.000
1318463222685,1779177341,998099385,0.000,0.000,0.000,0.000,0.000,0.000
1318483225244,1779177342,18103320,0.000,0.000,0.000,0.000,0.000,0.000
1318503224380,1779177342,38106104,0.000,0.000,0.000,0.000,0.000,0.000
1318523222075,1779177342,58098487,0.000,0.000,0.000,0.000,0.000,0.000
1318543224122,1779177342,78102422,0.000,0.000,0.000,0.000,0.000,0.000
1318563222906,1779177342,98100470,0.000,0.000,0.000,0.000,0.000,0.000
1318583225113,1779177342,118102645,0.000,0.000,0.000,0.000,0.000,0.000
1318603223480,1779177342,138101012,0.000,0.000,0.000,0.000,0.000,0.000
1318623228216,1779177342,158107892,0.000,0.000,0.000,0.000,0.000,0.000
1318643226007,1779177342,178102387,0.000,0.000,0.000,0.000,0.000,0.000
1318663225718,1779177342,198103731,0.000,0.000,0.000,0.000,0.000,0.000
1318683227734,1779177342,218107794,0.000,0.000,0.000,0.000,0.000,0.000
1318703227029,1779177342,238104049,0.000,0.000,0.000,0.000,0.000,0.000
1318723223764,1779177342,258100112,0.000,0.000,0.000,0.000,0.000,0.000
1318743220468,1779177342,278096688,0.000,0.000,0.000,0.000,0.000,0.000
1318763218291,1779177342,298094191,0.000,0.000,0.000,0.000,0.000,0.000
1318783224498,1779177342,318102031,0.000,0.000,0.000,0.000,0.000,0.000
1318803224786,1779177342,338101678,0.000,0.000,0.000,0.000,0.000,0.000
1318823224977,1779177342,358101389,0.000,0.000,0.000,0.000,0.000,0.000
1318843220848,1779177342,378097132,0.000,0.000,0.000,0.000,0.000,0.000
1318863222320,1779177342,398099340,0.000,0.000,0.000,0.000,0.000,0.000
1318883225135,1779177342,418102891,0.000,0.000,0.000,0.000,0.000,0.000
1318903224367,1779177342,438100971,0.000,0.000,0.000,0.000,0.000,0.000
1318923226094,1779177342,458103242,0.000,0.000,0.000,0.000,0.000,0.000
1318943224717,1779177342,478101193,0.000,0.000,0.000,0.000,0.000,0.000
1318963220620,1779177342,498096872,0.000,0.000,0.000,0.000,0.000,0.000
1318983220012,1779177342,518095880,0.000,0.000,0.000,0.000,0.000,0.000
1319003218283,1779177342,538094087,0.000,0.000,0.000,0.000,0.000,0.000
1319023218282,1779177342,558094182,0.000,0.000,0.000,0.000,0.000,0.000
1319043224682,1779177342,578101702,0.000,0.000,0.000,0.000,0.000,0.000
1319063224841,1779177342,598101157,0.000,0.000,0.000,0.000,0.000,0.000
1319083220616,1779177342,618096869,0.000,0.000,0.000,0.000,0.000,0.000
1319103224840,1779177342,638102116,0.000,0.000,0.000,0.000,0.000,0.000
1319123242568,1779177342,658124996,0.000,0.000,0.000,0.000,0.000,0.000
1319143228519,1779177342,678111235,0.000,0.000,0.000,0.000,0.000,50.000
1319163228262,1779177342,698107938,0.000,0.000,0.000,0.000,0.000,0.000
