monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1318283162390,1779177341,818043058,0.000,0.000
1318303229560,1779177341,838110036,14.286,0.000
1318323224377,1779177341,858102325,8.571,0.000
1318343221721,1779177341,878099413,6.122,0.000
1318363225146,1779177341,898102742,4.762,0.000
1318383222362,1779177341,918099766,3.896,0.000
1318403226171,1779177341,938103095,0.000,0.000
1318423228924,1779177341,958111576,1.667,0.000
1318443228316,1779177341,978107896,1.515,0.000
1318463222685,1779177341,998099385,1.515,0.000
1318483225244,1779177342,18103320,1.667,0.000
1318503224380,1779177342,38106104,1.667,0.000
1318523222075,1779177342,58098487,1.515,0.000
1318543224122,1779177342,78102422,1.429,0.000
1318563222906,1779177342,98100470,1.429,0.000
1318583225113,1779177342,118102645,2.597,0.000
1318603223480,1779177342,138101012,2.597,0.000
1318623228216,1779177342,158107892,2.857,0.000
1318643226007,1779177342,178102387,1.299,0.000
1318663225718,1779177342,198103731,1.299,0.000
1318683227734,1779177342,218107794,1.299,0.000
1318703227029,1779177342,238104049,1.299,0.000
1318723223764,1779177342,258100112,1.299,0.000
1318743220468,1779177342,278096688,1.429,0.000
1318763218291,1779177342,298094191,1.429,0.000
1318783224498,1779177342,318102031,0.000,0.000
1318803224786,1779177342,338101678,0.000,0.000
1318823224977,1779177342,358101389,0.000,0.000
1318843220848,1779177342,378097132,0.000,0.000
1318863222320,1779177342,398099340,0.000,0.000
1318883225135,1779177342,418102891,0.000,0.000
1318903224367,1779177342,438100971,0.000,0.000
1318923226094,1779177342,458103242,0.000,0.000
1318943224717,1779177342,478101193,0.000,0.000
1318963220620,1779177342,498096872,0.000,0.000
1318983220012,1779177342,518095880,0.000,0.000
1319003218283,1779177342,538094087,0.000,0.000
1319023218282,1779177342,558094182,0.000,0.000
1319043224682,1779177342,578101702,0.000,0.000
1319063224841,1779177342,598101157,0.000,0.000
1319083220616,1779177342,618096869,0.000,0.000
1319103224840,1779177342,638102116,0.000,0.000
1319123242568,1779177342,658124996,0.000,0.000
1319143228519,1779177342,678111235,1.667,0.000
1319163228262,1779177342,698107938,1.667,0.000
1319183222341,1779177342,718099009,1.667,0.000
1319203228165,1779177342,738106849,1.515,0.000
1319223224452,1779177342,758100992,1.515,0.000
1319243222851,1779177342,778100671,0.000,0.000
1319263222979,1779177342,798099327,0.000,0.000
1319283225570,1779177342,818105182,3.095,0.000
1319303226145,1779177342,838103773,4.524,0.000
1319323222369,1779177342,858098685,4.113,0.000
1319343225216,1779177342,878102396,4.524,0.000
1319363226527,1779177342,898106012,6.190,0.000
1319383223647,1779177342,918101179,4.329,0.000
1319403223614,1779177342,938100282,1.515,0.000
1319423223997,1779177342,958103898,1.667,0.000
1319443226429,1779177342,978105625,1.667,0.000
1319463222332,1779177342,998099096,0.000,0.000
1319483222778,1779177343,18098966,0.000,0.000
1319503228857,1779177343,38109557,0.000,0.000
1319523223735,1779177343,58100243,0.000,0.000
1319543222037,1779177343,78098097,0.000,0.000
1319563220147,1779177343,98095951,0.000,0.000
1319583218993,1779177343,118094925,0.000,0.000
1319603219119,1779177343,138095019,0.000,0.000
1319623219085,1779177343,158094825,0.000,0.000
1319643218955,1779177343,178094887,0.000,0.000
1319663218505,1779177343,198094309,0.000,0.000
1319683224519,1779177343,218103076,0.000,0.000
1319703223846,1779177343,238101186,0.000,0.000
1319723224100,1779177343,258100992,0.000,0.000
1319743227266,1779177343,278108190,0.000,0.000
1319763221024,1779177343,298097692,1.667,0.000
1319783220862,1779177343,318097082,1.667,0.000
1319803219772,1779177343,338095800,1.515,0.000
1319823218586,1779177343,358094582,1.667,0.000
1319843223416,1779177343,378101012,1.515,0.000
1319863225398,1779177343,398102642,0.000,0.000
1319883225108,1779177343,418102833,0.000,0.000
1319903223091,1779177343,438099759,0.000,0.000
1319923220241,1779177343,458096589,0.000,0.000
1319943224687,1779177343,478103691,0.000,0.000
1319963225773,1779177343,498101993,0.000,0.000
