wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177352135242563,1779177352130370473,0.265,2000,3.056,0.018,3.074,1.428,0.094,4.596
1779177352185324357,1779177352180382153,0.759,2000,1.791,0.868,2.659,1.490,0.026,4.176
1779177352235604300,1779177352230394378,0.228,2000,2.571,0.662,3.232,1.510,0.229,4.971
1779177352285916115,1779177352280396489,0.260,2000,2.431,0.986,3.417,1.290,0.544,5.251
1779177352315504054,1779177352310376246,0.565,2000,2.336,0.391,2.726,1.500,0.324,4.551
1779177352336129752,1779177352330371913,0.611,2000,2.567,0.110,2.676,2.442,0.023,5.141
1779177352365526806,1779177352360374005,0.722,2000,2.120,0.934,3.054,1.217,0.153,4.423
1779177352390489637,1779177352380400553,0.467,2000,3.792,4.285,8.076,1.410,0.129,9.615
1779177352415490549,1779177352410404886,0.382,2000,2.410,0.985,3.395,1.081,0.215,4.691
1779177352435426918,1779177352430380521,0.614,2000,2.437,0.549,2.985,1.336,0.105,4.426
1779177352465426163,1779177352460373973,0.701,2000,1.912,0.976,2.887,1.243,0.213,4.344
1779177352490273343,1779177352480433642,0.201,2000,2.452,5.276,7.728,1.617,0.287,9.632
1779177352515522709,1779177352510373109,0.348,2000,2.614,0.595,3.209,1.535,0.052,4.796
1779177352535289955,1779177352530365768,0.230,2000,3.233,0.044,3.277,1.390,0.022,4.689
1779177352565749339,1779177352560359188,0.728,2000,1.967,1.359,3.325,1.166,0.164,4.656
1779177352585322211,1779177352580376200,0.879,2000,1.633,0.856,2.490,1.320,0.250,4.060
1779177352616119204,1779177352610373205,0.441,2000,2.123,0.950,3.073,2.142,0.080,5.295
1779177352635537449,1779177352630397288,0.512,2000,2.183,0.923,3.106,1.345,0.170,4.622
1779177352665535893,1779177352660434806,0.836,2000,1.980,0.643,2.623,1.471,0.165,4.259
1779177352685464615,1779177352680361095,0.207,2000,2.725,0.641,3.365,1.356,0.169,4.890
1779177352716387338,1779177352710388149,0.243,2000,2.794,0.571,3.365,2.321,0.064,5.750
1779177352735447494,1779177352730383688,0.759,2000,1.873,0.921,2.794,1.283,0.221,4.298
1779177352766391210,1779177352760431958,0.361,2000,2.866,0.353,3.219,1.352,1.019,5.591
1779177352785082941,1779177352780367591,0.335,2000,2.461,0.565,3.026,1.236,0.111,4.374
1779177352818779142,1779177352810364372,0.247,2000,2.986,0.057,3.043,5.092,0.028,8.162
1779177352836347708,1779177352830388903,0.279,2000,2.387,1.170,3.556,2.094,0.025,5.675
1779177352868777349,1779177352860364628,0.285,2000,3.448,1.606,5.054,1.688,1.377,8.119
1779177352885461222,1779177352880371015,0.270,2000,2.233,1.213,3.446,1.279,0.090,4.814
1779177352917267200,1779177352910399540,0.294,2000,2.466,2.535,5.001,1.277,0.289,6.567
1779177352936274042,1779177352930396551,0.942,2000,2.380,0.076,2.455,1.639,0.834,4.928
1779177352965544052,1779177352960647194,0.265,2000,2.399,0.833,3.232,1.257,0.137,4.626
1779177352985904593,1779177352980787089,0.495,2000,2.544,0.876,3.420,1.051,0.145,4.616
1779177353017386305,1779177353010394003,0.540,2000,1.920,0.850,2.770,3.408,0.243,6.422
1779177353035209565,1779177353030497960,0.482,2000,2.058,0.876,2.934,1.141,0.150,4.224
1779177353065684564,1779177353060376080,0.481,2000,2.203,1.025,3.227,1.352,0.240,4.819
1779177353085696550,1779177353080378882,0.248,2000,2.641,0.404,3.045,1.846,0.173,5.063
1779177353115591022,1779177353110387373,0.595,2000,2.182,0.636,2.818,1.655,0.129,4.602
1779177353136072748,1779177353130370302,0.730,2000,1.824,0.868,2.691,1.372,0.902,4.965
1779177353165933940,1779177353160399018,0.270,2000,2.575,0.797,3.372,1.381,0.504,5.257
1779177353185625118,1779177353180374075,0.525,2000,2.576,0.674,3.250,1.416,0.054,4.721
1779177353215106652,1779177353210357670,0.197,2000,2.414,0.698,3.112,1.208,0.224,4.545
1779177353236371821,1779177353230376088,0.266,2000,2.254,1.061,3.315,2.139,0.269,5.723
1779177353265438081,1779177353260368899,0.822,2000,2.255,0.452,2.707,1.308,0.224,4.240
1779177353285481044,1779177353280369461,0.675,2000,2.022,0.760,2.782,1.427,0.221,4.430
1779177353316548986,1779177353310374752,0.773,2000,1.974,0.922,2.896,2.451,0.049,5.396
1779177353335738423,1779177353330829245,0.278,2000,2.666,0.616,3.282,1.200,0.142,4.625
1779177353366209934,1779177353360370557,0.691,2000,2.279,0.779,3.058,1.161,0.921,5.140
1779177353385719540,1779177353380434384,0.213,2000,2.386,0.817,3.204,1.071,0.790,5.064
1779177353415503801,1779177353410363513,0.956,2000,1.552,1.150,2.702,1.346,0.131,4.178
1779177353460297909,1779177353430373292,0.291,2000,5.947,0.041,5.987,-1.000,-1.000,-1.000
1779177353465557848,1779177353460408695,0.208,2000,2.188,1.173,3.362,1.468,0.105,4.935
1779177353485539145,1779177353480408905,0.252,2000,2.185,1.083,3.268,1.546,0.058,4.873
1779177353515462226,1779177353510367859,0.416,2000,2.191,1.011,3.202,1.327,0.143,4.671
1779177353535439107,1779177353530370437,0.464,2000,2.184,1.019,3.203,1.234,0.159,4.597
1779177353565485295,1779177353560397137,0.492,2000,2.188,0.831,3.019,1.309,0.261,4.589
1779177353585899564,1779177353580367618,0.287,2000,2.698,0.671,3.369,1.081,0.787,5.238
1779177353616005817,1779177353610375021,0.740,2000,1.847,0.801,2.648,1.358,0.877,4.883
1779177353635255064,1779177353630368575,0.358,2000,2.151,0.742,2.893,1.493,0.135,4.521
1779177353665236963,1779177353660370570,0.250,2000,2.732,0.553,3.285,1.202,0.122,4.609
1779177353685872773,1779177353680442237,0.503,2000,2.120,0.663,2.783,1.256,0.881,4.920
1779177353715064379,1779177353710444584,0.229,2000,2.325,0.705,3.030,1.103,0.251,4.384
1779177353735338996,1779177353730367448,0.482,2000,2.371,0.696,3.067,1.341,0.075,4.483
1779177353765365920,1779177353760355683,0.492,2000,2.087,1.063,3.150,1.262,0.100,4.512
1779177353785224654,1779177353780366229,0.274,2000,2.305,0.803,3.108,1.244,0.226,4.577
1779177353815388637,1779177353810379041,0.182,2000,2.497,0.687,3.184,1.434,0.203,4.821
1779177353835915804,1779177353830361394,0.229,2000,2.564,0.797,3.361,1.376,0.580,5.317
1779177353865566175,1779177353860388030,0.237,2000,2.981,0.416,3.398,1.516,0.023,4.936
1779177353886306435,1779177353880360591,0.557,2000,2.257,0.929,3.185,1.396,0.800,5.382
1779177353915492474,1779177353910367194,0.868,2000,1.973,0.684,2.657,1.380,0.214,4.250
1779177353935397257,1779177353930372012,0.854,2000,2.307,0.353,2.660,1.370,0.134,4.164
1779177353966123142,1779177353960367031,0.328,2000,2.602,1.159,3.761,1.494,0.167,5.422
1779177353985877490,1779177353980397577,0.189,2000,2.320,0.915,3.235,1.216,0.832,5.283
1779177354015520211,1779177354010368947,0.696,2000,1.868,0.927,2.794,1.634,0.022,4.450
1779177354045688512,1779177354040373692,0.847,2000,1.820,1.190,3.011,1.263,0.187,4.461
1779177354065657104,1779177354060361165,0.266,2000,3.328,0.222,3.550,1.430,0.045,5.024
1779177354091184426,1779177354081371831,0.743,2000,3.558,3.304,6.862,2.178,0.024,9.064
1779177354116942634,1779177354110376199,0.282,2000,3.031,1.912,4.943,1.157,0.177,6.277
1779177354145563921,1779177354140351664,0.304,2000,2.495,0.864,3.358,1.478,0.066,4.902
1779177354165250810,1779177354160391553,0.299,2000,2.148,1.033,3.181,1.174,0.198,4.553
1779177354195571883,1779177354190431435,0.244,2000,3.347,0.019,3.366,1.386,0.138,4.890
1779177354217033120,1779177354210362715,0.613,2000,2.587,0.881,3.468,2.393,0.190,6.051
1779177354245409889,1779177354240376292,0.194,2000,2.338,0.921,3.258,1.485,0.090,4.833
1779177354265722074,1779177354260358676,0.834,2000,3.633,0.047,3.681,0.791,0.052,4.524
1779177354295609632,1779177354290396510,0.324,2000,2.562,0.549,3.111,1.616,0.154,4.882
1779177354311006622,1779177354306179814,0.206,2000,2.736,0.018,2.754,1.602,0.258,4.614
1779177354345777374,1779177354340389464,0.614,2000,2.586,0.563,3.149,1.599,0.021,4.769
1779177354365345540,1779177354360380137,0.698,2000,2.111,0.666,2.777,1.325,0.159,4.260
1779177354396580460,1779177354390374770,0.604,2000,1.979,0.885,2.864,1.441,1.289,5.594
1779177354416007342,1779177354410373090,1.317,2000,2.116,0.048,2.165,2.122,0.025,4.311
1779177354445909077,1779177354440393420,0.275,2000,2.481,1.140,3.621,1.507,0.106,5.234
1779177354466135147,1779177354460375100,0.290,2000,2.376,1.575,3.951,1.488,0.026,5.465
1779177354485795316,1779177354480358285,0.272,2000,2.833,0.904,3.737,1.373,0.049,5.159
