idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
1,9,0,1226.366,1310.627,746.479,5.760,44.000,875.232,18.550,312.764,0.350,136.132,564.148,19.650,2.650,85.711,355.184,0.790,1.700,38.810,217.043,35.280,7.370,92.811
2,6,0,366.055,406.855,220.063,5.390,19.500,158.742,8.510,190.872,0.240,45.000,186.792,12.250,0.810,27.801,51.291,0.740,1.050,32.981,128.711,31.171,7.200,92.491
3,2,0,254.084,290.094,159.772,4.950,16.650,102.672,8.720,135.472,0.280,14.520,130.322,11.940,0.770,26.251,33.280,0.710,0.950,25.990,79.341,24.250,6.990,92.571
4,1,0,203.443,235.143,137.162,4.840,14.200,83.391,7.581,106.431,0.260,10.451,97.981,10.600,0.820,22.750,26.230,0.710,0.890,23.711,55.270,21.961,6.690,92.521
5,1,0,208.803,241.653,138.962,4.890,15.210,84.261,7.240,111.021,0.260,11.881,102.691,11.180,0.790,23.380,24.080,0.770,0.870,23.971,58.711,22.241,6.520,92.521
6,1,0,211.513,244.283,142.812,5.040,15.000,87.811,7.210,110.372,0.250,11.180,101.471,11.590,0.810,23.160,26.681,0.720,0.840,25.650,56.131,23.950,9.810,92.512
7,1,0,228.233,264.144,151.003,4.881,17.400,94.521,7.380,119.402,0.310,13.840,113.141,11.000,0.740,25.770,27.011,0.710,0.920,25.340,64.411,23.610,8.180,92.511
8,1,0,229.382,262.764,161.312,4.860,15.501,86.041,7.190,130.151,0.260,10.550,101.452,11.100,0.790,23.891,26.190,0.700,0.810,45.370,56.851,43.630,7.300,92.511
9,1,0,207.762,240.824,137.062,4.870,15.620,81.541,7.070,112.651,0.260,10.540,103.762,10.850,0.780,26.160,21.620,0.750,0.820,24.000,60.351,22.270,6.660,92.531
10,1,0,281.804,316.264,139.962,4.870,16.570,83.901,7.180,184.543,0.290,10.441,176.302,11.071,0.810,24.750,23.690,0.700,0.820,23.660,131.012,21.760,6.900,92.511
11,1,0,209.013,241.163,139.251,4.910,14.780,82.801,7.160,112.862,0.250,10.440,101.912,11.280,0.780,24.170,23.440,0.710,0.810,24.360,58.191,22.670,8.840,92.512
12,1,0,203.823,236.213,136.502,4.830,14.980,84.241,7.210,106.222,0.260,10.160,99.711,10.760,0.800,22.660,25.281,0.700,0.850,23.730,55.001,21.950,6.510,92.532
13,1,0,209.923,243.063,139.822,4.860,15.230,85.012,7.190,111.281,0.260,10.790,103.241,11.080,0.740,23.051,26.030,0.730,0.840,24.231,58.940,22.481,7.160,92.501
14,1,0,198.563,230.643,133.222,4.860,14.780,79.181,7.021,106.241,0.250,10.290,97.421,10.580,0.790,22.901,22.820,0.700,0.750,22.991,55.680,21.261,6.620,92.511
15,1,0,266.043,299.093,186.182,4.850,14.750,78.671,7.060,174.072,0.280,10.030,112.911,10.750,0.760,21.710,23.221,0.721,0.840,24.020,70.291,22.170,9.310,92.512
16,1,0,202.972,234.963,135.641,4.840,14.651,83.311,7.310,106.201,0.250,10.570,99.322,11.230,0.790,23.510,23.250,0.660,0.800,22.790,54.941,21.060,6.900,92.521
17,1,0,202.792,234.733,135.141,4.860,14.300,78.451,7.180,111.061,0.250,10.120,99.592,10.750,0.750,22.150,22.900,0.690,0.830,24.830,57.821,23.090,6.610,92.511
18,1,0,201.433,232.773,132.482,4.830,13.950,80.451,7.090,107.842,0.260,10.371,100.291,10.821,0.810,22.070,23.140,0.720,0.810,22.780,57.491,20.980,6.470,92.531
19,1,0,205.202,237.433,135.802,4.850,14.691,82.711,7.200,109.141,0.280,10.680,101.631,10.490,0.890,22.681,24.270,0.710,0.850,23.011,58.050,21.231,7.380,92.501
20,1,0,236.903,270.804,144.682,5.060,15.851,90.991,7.230,132.422,0.250,11.220,126.122,11.860,0.781,24.200,27.630,0.700,0.820,24.100,79.271,22.060,6.970,92.501
21,1,0,246.683,279.194,172.323,4.850,14.721,46.010,7.570,187.013,0.250,12.721,106.871,10.940,0.750,72.321,4.930,33.181,0.740,24.510,132.062,22.480,6.420,92.521
22,1,0,210.333,242.313,138.322,4.830,14.610,82.831,7.190,114.132,0.250,10.080,103.991,10.650,0.770,24.080,24.651,0.710,0.830,22.960,61.611,21.160,6.800,92.522
23,1,0,242.553,274.624,173.143,4.880,14.441,44.870,6.380,185.503,0.280,12.331,101.481,10.640,0.770,75.411,5.000,36.951,0.790,22.930,131.742,21.160,7.270,92.551
24,1,0,207.123,239.833,139.002,4.830,15.190,86.661,7.150,106.872,0.250,12.080,100.831,11.070,0.800,22.030,25.971,0.700,0.820,22.990,55.881,21.190,6.920,92.532
25,1,0,249.634,283.954,177.742,4.840,16.060,49.681,6.460,187.653,0.420,12.950,106.212,11.230,0.910,74.591,4.980,31.590,0.830,26.420,131.332,24.350,6.380,92.511
26,1,0,206.053,238.903,138.542,4.850,15.060,82.241,6.980,110.532,0.260,10.170,100.361,11.260,0.820,22.030,25.031,0.730,0.830,25.150,57.131,23.280,8.790,92.522
27,1,0,241.243,273.493,173.302,4.880,14.570,44.060,6.320,184.972,0.250,11.930,100.191,10.930,0.740,75.261,4.820,36.791,0.740,23.021,130.391,21.171,6.300,92.492
28,1,0,343.115,375.555,140.482,4.860,14.520,83.751,7.160,245.753,0.280,10.100,235.073,10.900,0.810,22.471,25.980,0.760,0.800,23.430,191.282,21.600,7.100,92.521
29,1,0,289.844,323.084,221.663,4.860,15.420,46.671,6.540,230.763,0.270,14.050,101.421,11.180,0.810,73.181,4.910,34.260,0.740,24.941,128.841,23.071,7.040,92.522
30,1,0,204.113,236.313,136.792,4.830,14.580,84.491,7.101,106.221,0.260,10.451,99.521,11.470,0.820,21.760,25.780,0.740,0.910,23.101,54.640,21.331,10.390,92.521
31,1,0,289.534,322.344,218.163,4.860,15.160,46.051,6.430,231.283,0.290,12.130,104.181,10.770,0.800,74.021,5.060,34.060,0.890,23.091,131.711,21.181,6.800,92.522
32,1,0,203.133,234.993,134.902,4.860,14.600,82.301,7.170,107.542,0.280,12.120,100.091,10.800,0.790,21.650,23.761,0.760,0.820,22.510,57.141,20.760,6.991,92.501
33,1,0,238.383,270.634,170.943,4.850,14.601,45.060,6.390,180.993,0.260,12.131,99.691,11.220,0.780,73.411,5.030,34.751,0.730,22.320,127.482,20.460,6.610,92.501
