monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
1863313792377,1779177886,848673813,0.000
1863333872097,1779177886,868756157,0.000
1863353858312,1779177886,888743460,0.000
1863373864975,1779177886,908751435,0.000
1863393858518,1779177886,928743730,0.000
1863413859325,1779177886,948745017,0.000
1863433856164,1779177886,968736832,0.000
1863453850507,1779177886,988728199,0.000
1863473849106,1779177887,8725646,0.000
1863493849337,1779177887,28727989,0.000
1863513858368,1779177887,48743644,0.000
1863533877255,1779177887,68763811,0.000
1863553861486,1779177887,88745674,0.000
1863573856725,1779177887,108736145,0.000
1863593854268,1779177887,128730712,0.000
1863613855235,1779177887,148735647,0.000
1863633856298,1779177887,168733094,0.000
1863653854673,1779177887,188733741,0.000
1863673855128,1779177887,208733204,0.000
1863693851551,1779177887,228728443,0.000
1863713855942,1779177887,248733986,0.000
1863733851277,1779177887,268728297,0.000
1863753849556,1779177887,288725872,0.000
1863773847771,1779177887,308723831,0.000
1863793856386,1779177887,328740158,0.000
1863813852489,1779177887,348732613,0.000
1863833816655,1779177887,368697899,0.000
1863853856599,1779177887,388740083,0.000
1863873850781,1779177887,408730618,0.000
1863893875173,1779177887,428759873,0.000
1863913922476,1779177887,448803656,0.000
1863933870259,1779177887,468753615,0.000
1863953857273,1779177887,488740886,0.000
1863973868225,1779177887,508753597,0.000
1863993919720,1779177887,528801764,0.000
1864013859214,1779177887,548742570,15.300
1864033855317,1779177887,568734065,15.300
1864053856668,1779177887,588733848,0.000
1864073855043,1779177887,608733663,0.000
1864093858762,1779177887,628739622,0.000
1864113854577,1779177887,648734669,0.000
1864133854360,1779177887,668733108,0.000
1864153855263,1779177887,688731643,0.000
1864173853862,1779177887,708734466,0.000
1864193852013,1779177887,728728905,0.000
1864213854196,1779177887,748735664,0.000
1864233855739,1779177887,768733591,0.000
1864253855490,1779177887,788732126,0.000
1864273850249,1779177887,808726437,0.000
1864293856816,1779177887,828739148,0.000
1864313912824,1779177887,848792916,0.000
1864333860126,1779177887,868739738,0.000
1864353862821,1779177887,888741089,0.000
1864373853420,1779177887,908730120,0.000
1864393851251,1779177887,928727535,0.000
1864413852122,1779177887,948731414,0.000
