monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_long_window_percent,gpu_percent
1863313792377,1779177886,848673813,0.000,0.000
1864313912824,1779177887,848792916,19.676,0.000
1865313848301,1779177888,848724745,14.602,0.000
1866313900700,1779177889,848784793,46.537,0.000
1867314033061,1779177890,848915938,98.882,0.000
1868313860324,1779177891,848743904,60.873,0.000
1869313864797,1779177892,848747417,47.121,0.000
1870313857039,1779177893,848738923,58.477,0.000
1871313858169,1779177894,848740181,47.154,0.000
1872313857725,1779177895,848739577,43.253,13.000
1873313863897,1779177896,848746133,40.145,39.000
1874313858094,1779177897,848739978,42.369,38.000
1875313862044,1779177898,848743960,46.215,38.000
1876313856547,1779177899,848738527,45.615,38.000
1877313856675,1779177900,848738559,41.385,0.000
1878313861404,1779177901,848743032,41.690,25.000
1879313870479,1779177902,848752011,46.304,0.000
1880316037170,1779177903,850917423,44.566,39.000
1881313820349,1779177904,848701817,40.831,38.000
1882313857147,1779177905,848739031,43.053,0.000
1883313823473,1779177906,848705197,44.332,39.000
1884313854337,1779177907,848735837,45.351,39.000
1885313816937,1779177908,848698982,43.601,33.000
1886313861324,1779177909,848743976,39.216,0.000
1887313862183,1779177910,848744515,39.374,38.000
1888313857596,1779177911,848739544,47.389,0.000
1889313869322,1779177912,848752102,44.441,38.000
1890313838096,1779177913,848720397,38.467,39.000
1891313860177,1779177914,848742285,44.389,38.000
1892313856011,1779177915,848738183,42.129,40.000
1893313863454,1779177916,848746139,46.151,40.000
1894313852715,1779177917,848739527,44.354,40.000
1895313830737,1779177918,848712493,40.701,0.000
1896313844081,1779177919,848726093,42.397,0.000
1897313860746,1779177920,848742502,50.415,0.000
1898313860445,1779177921,848743225,44.640,39.000
1899313846857,1779177922,848728965,40.097,39.000
1900313841774,1779177923,848723755,39.275,53.000
1901313886030,1779177924,848768298,44.084,38.000
1902313831111,1779177925,848712675,45.216,0.000
1903313859706,1779177926,848742038,41.391,39.000
1904313836838,1779177927,848718338,39.861,39.000
1905313845484,1779177928,848727432,41.822,0.000
1906313956973,1779177929,848839113,44.023,0.000
1907313817093,1779177930,848699329,41.020,38.000
1908313851545,1779177931,848734133,44.277,39.000
1909313861670,1779177932,848743682,42.313,39.000
1910313862093,1779177933,848743593,43.739,0.000
1911313814349,1779177934,848696393,42.544,38.000
1912313824904,1779177935,848706404,41.351,0.000
1913313835997,1779177936,848717689,40.860,0.000
1914313866604,1779177937,848753064,44.852,0.000
1915313863060,1779177938,848745424,45.279,0.000
1916313859702,1779177939,848741810,42.609,38.000
1917313866899,1779177940,848748911,42.390,39.000
1918313821641,1779177941,848708037,42.895,39.000
1919313862394,1779177942,848744246,44.043,38.000
1920313864548,1779177943,848746144,44.169,0.000
1921313852201,1779177944,848734501,39.917,38.000
1922313861767,1779177945,848743747,38.985,0.000
1923313808352,1779177946,848690012,42.679,38.000
1924313819571,1779177947,848701103,45.627,39.000
