monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1863313792377,1779177886,848673813,0.000,0.000
1863333872097,1779177886,868756157,16.667,0.000
1863353858312,1779177886,888743460,27.381,0.000
1863373864975,1779177886,908751435,30.476,0.000
1863393858518,1779177886,928743730,35.714,0.000
1863413859325,1779177886,948745017,37.857,0.000
1863433856164,1779177886,968736832,38.052,0.000
1863453850507,1779177886,988728199,36.104,0.000
1863473849106,1779177887,8725646,30.087,0.000
1863493849337,1779177887,28727989,25.714,0.000
1863513858368,1779177887,48743644,20.714,0.000
1863533877255,1779177887,68763811,25.000,0.000
1863553861486,1779177887,88745674,25.810,0.000
1863573856725,1779177887,108736145,27.810,0.000
1863593854268,1779177887,128730712,26.364,0.000
1863613855235,1779177887,148735647,26.061,0.000
1863633856298,1779177887,168733094,22.121,0.000
1863653854673,1779177887,188733741,20.519,0.000
1863673855128,1779177887,208733204,19.784,0.000
1863693851551,1779177887,228728443,22.238,0.000
1863713855942,1779177887,248733986,20.216,0.000
1863733851277,1779177887,268728297,19.048,0.000
1863753849556,1779177887,288725872,18.831,0.000
1863773847771,1779177887,308723831,18.831,0.000
1863793856386,1779177887,328740158,16.190,0.000
1863813852489,1779177887,348732613,17.381,0.000
1863833816655,1779177887,368697899,17.316,0.000
1863853856599,1779177887,388740083,19.381,0.000
1863873850781,1779177887,408730618,19.381,0.000
1863893875173,1779177887,428759873,20.905,0.000
1863913922476,1779177887,448803656,27.048,0.000
1863933870259,1779177887,468753615,36.857,0.000
1863953857273,1779177887,488740886,35.325,0.000
1863973868225,1779177887,508753597,33.939,0.000
1863993919720,1779177887,528801764,36.762,0.000
1864013859214,1779177887,548742570,35.238,15.300
1864033855317,1779177887,568734065,26.472,15.300
1864053856668,1779177887,588733848,19.286,0.000
1864073855043,1779177887,608733663,15.881,0.000
1864093858762,1779177887,628739622,15.195,0.000
1864113854577,1779177887,648734669,10.693,0.000
1864133854360,1779177887,668733108,8.874,0.000
1864153855263,1779177887,688731643,6.602,0.000
1864173853862,1779177887,708734466,5.833,0.000
1864193852013,1779177887,728728905,5.303,0.000
