wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177894723300819,1779177894714856914,0.240,2000,2.488,3.954,6.442,1.563,0.189,8.195
1779177894773914905,1779177894764875089,0.757,2000,1.933,3.999,5.932,1.197,1.141,8.270
1779177894822924556,1779177894814873040,0.282,2000,2.435,3.860,6.295,1.287,0.176,7.758
1779177894872818314,1779177894864814222,0.500,2000,2.647,3.671,6.318,1.158,0.023,7.499
1779177894922649703,1779177894914816429,0.254,2000,2.820,3.508,6.328,0.948,0.292,7.568
1779177894973306477,1779177894964863756,0.230,2000,2.383,4.410,6.793,1.289,0.124,8.206
1779177894989026018,1779177894984849298,0.476,2000,2.646,0.046,2.692,0.823,0.179,3.694
1779177895022676677,1779177895014835915,0.231,2000,2.309,4.054,6.363,0.979,0.261,7.603
1779177895038967104,1779177895034846673,0.253,2000,2.370,0.047,2.417,1.225,0.215,3.856
1779177895076278829,1779177895064832201,0.288,2000,5.521,2.683,8.204,1.114,1.831,11.150
1779177895093798070,1779177895084848239,0.273,2000,2.596,3.920,6.516,2.119,0.036,8.671
1779177895123072967,1779177895114835464,0.229,2000,2.516,4.012,6.528,1.164,0.310,8.001
1779177895142814537,1779177895134819309,0.222,2000,3.027,3.438,6.465,1.127,0.175,7.767
1779177895173128710,1779177895164843462,0.191,2000,2.653,3.927,6.580,1.314,0.195,8.088
1779177895195085698,1779177895184854348,0.197,2000,2.739,4.069,6.808,3.194,0.028,10.029
1779177895222923458,1779177895214815813,0.221,2000,2.412,4.068,6.480,1.068,0.333,7.881
1779177895243105866,1779177895234861515,0.223,2000,3.611,2.918,6.530,1.280,0.199,8.009
1779177895272596093,1779177895264815523,0.248,2000,2.578,3.719,6.297,1.007,0.222,7.526
1779177895294027827,1779177895284830441,0.206,2000,3.687,3.604,7.292,1.464,0.229,8.984
1779177895322499834,1779177895314819234,0.204,2000,2.592,3.835,6.426,0.777,0.268,7.471
1779177895342963621,1779177895334828584,0.290,2000,2.365,4.090,6.455,1.193,0.191,7.839
1779177895373079295,1779177895364769856,0.229,2000,2.799,3.987,6.787,1.098,0.188,8.073
1779177895393698572,1779177895384812678,0.201,2000,2.363,4.102,6.465,2.193,0.022,8.680
1779177895422800635,1779177895414957856,0.213,2000,2.288,4.190,6.479,0.932,0.214,7.624
1779177895442679903,1779177895434845669,0.220,2000,2.365,4.089,6.454,1.031,0.124,7.608
1779177895473685219,1779177895464800221,0.239,2000,2.348,4.865,7.213,1.124,0.303,8.640
1779177895494058541,1779177895484831043,0.201,2000,2.232,4.227,6.459,2.200,0.361,9.020
1779177895523688578,1779177895514817116,0.240,2000,2.452,4.218,6.670,1.772,0.183,8.625
1779177895542469530,1779177895534828834,0.228,2000,2.413,3.989,6.402,0.848,0.157,7.407
1779177895568709031,1779177895564842939,0.210,2000,2.307,0.042,2.349,1.036,0.264,3.650
1779177895593866632,1779177895584815040,0.205,2000,2.354,4.156,6.510,1.084,1.246,8.840
1779177895623923105,1779177895614924890,0.207,2000,2.361,5.306,7.667,0.901,0.217,8.785
1779177895642722329,1779177895634838495,0.254,2000,2.561,3.987,6.547,0.813,0.257,7.617
1779177895673530171,1779177895664842808,0.198,2000,2.465,3.981,6.446,1.899,0.138,8.483
1779177895688799755,1779177895684831709,0.196,2000,2.617,0.045,2.662,0.977,0.121,3.760
1779177895720110227,1779177895714802262,0.252,2000,2.499,0.047,2.545,2.248,0.255,5.049
1779177895743589120,1779177895734856060,0.222,2000,2.565,3.889,6.455,1.847,0.204,8.505
1779177895768930724,1779177895764836277,0.204,2000,2.357,0.055,2.411,1.167,0.305,3.883
1779177895788702407,1779177895784834106,0.200,2000,2.315,0.044,2.359,1.108,0.194,3.661
1779177895823275636,1779177895814809939,0.926,2000,2.156,3.900,6.056,1.257,0.220,7.534
1779177895843011159,1779177895835230781,0.239,2000,2.944,3.193,6.137,1.172,0.226,7.535
1779177895872726188,1779177895864913331,0.246,2000,2.369,4.103,6.471,1.020,0.069,7.560
1779177895889294059,1779177895884792599,0.594,2000,2.135,0.452,2.587,1.139,0.175,3.901
1779177895922729163,1779177895914958514,0.258,2000,2.729,3.672,6.401,0.912,0.194,7.506
1779177895943020020,1779177895934996920,0.643,2000,1.892,4.029,5.920,1.254,0.198,7.373
1779177895972512807,1779177895964932976,0.240,2000,2.430,3.745,6.175,1.020,0.138,7.334
1779177895993602041,1779177895984822580,0.442,2000,2.309,4.048,6.357,1.955,0.021,8.333
1779177896023002251,1779177896014937294,0.274,2000,2.405,4.090,6.495,1.112,0.178,7.785
1779177896042768622,1779177896034925076,0.236,2000,2.369,3.833,6.202,1.208,0.191,7.601
1779177896072824519,1779177896064956653,0.234,2000,2.246,4.194,6.441,1.028,0.158,7.627
1779177896093830360,1779177896084933938,0.223,2000,2.680,4.077,6.757,1.816,0.095,8.667
1779177896122816453,1779177896115015115,0.240,2000,2.383,3.924,6.307,1.052,0.195,7.554
1779177896173209032,1779177896164930697,0.245,2000,2.362,3.913,6.275,0.993,0.757,8.026
1779177896193192045,1779177896184901486,0.235,2000,2.661,3.968,6.628,1.238,0.176,8.042
1779177896223280263,1779177896214901574,0.255,2000,2.328,4.493,6.821,1.063,0.233,8.117
1779177896244196567,1779177896234925452,0.238,2000,3.993,3.588,7.581,1.257,0.188,9.026
1779177896272811231,1779177896264924581,0.258,2000,2.315,3.948,6.263,1.218,0.141,7.622
1779177896293607342,1779177896284935531,0.236,2000,3.140,3.294,6.435,1.975,0.022,8.431
1779177896322857630,1779177896314981668,0.221,2000,2.367,4.069,6.436,1.034,0.179,7.649
1779177896353644352,1779177896344930940,0.235,2000,2.519,3.908,6.427,1.879,0.166,8.472
1779177896368679372,1779177896364940833,0.675,2000,1.872,0.047,1.919,1.118,0.022,3.059
1779177896403654462,1779177896394990234,0.241,2000,3.590,3.887,7.477,0.715,0.225,8.417
1779177896418724779,1779177896414950464,0.737,2000,2.035,0.046,2.081,0.790,0.161,3.031
1779177896452841235,1779177896444881719,0.546,2000,3.106,3.126,6.232,1.063,0.112,7.407
1779177896467586940,1779177896460879311,0.241,2000,2.382,2.957,5.339,0.943,0.178,6.460
1779177896503048275,1779177896494961878,0.272,2000,2.314,4.106,6.420,1.242,0.146,7.808
1779177896519519216,1779177896514964604,0.268,2000,2.466,0.470,2.936,1.196,0.150,4.281
1779177896552894960,1779177896544935220,0.234,2000,2.750,3.703,6.453,1.098,0.168,7.719
1779177896573162072,1779177896564826969,0.239,2000,2.350,4.458,6.808,1.161,0.121,8.090
1779177896599124579,1779177896594813297,0.227,2000,2.303,0.129,2.433,1.416,0.230,4.078
1779177896622823123,1779177896614835959,0.669,2000,1.950,3.993,5.944,1.218,0.151,7.312
1779177896653377650,1779177896644828271,0.203,2000,2.434,4.472,6.906,1.259,0.175,8.340
1779177896672642927,1779177896664828725,0.203,2000,2.223,4.180,6.403,1.016,0.186,7.605
1779177896698625369,1779177896694811085,0.284,2000,2.452,0.045,2.497,0.710,0.317,3.524
1779177896718554782,1779177896714838323,0.618,2000,1.875,0.042,1.917,0.918,0.257,3.092
1779177896748854010,1779177896744794539,0.612,2000,2.004,0.045,2.049,1.270,0.123,3.442
1779177896769405542,1779177896764835281,0.603,2000,2.310,0.042,2.353,1.009,0.598,3.960
1779177896800647501,1779177896794859722,0.714,2000,2.380,0.046,2.426,1.102,1.537,5.065
1779177896824048537,1779177896814794479,0.649,2000,2.390,4.259,6.650,1.733,0.217,8.599
1779177896857792925,1779177896844808872,0.261,2000,2.311,7.995,10.306,2.226,0.184,12.715
1779177896876782487,1779177896864781773,0.279,2000,2.368,7.574,9.942,1.385,0.388,11.715
1779177896903254247,1779177896894817542,0.604,2000,2.900,3.359,6.260,1.368,0.199,7.827
1779177896919854982,1779177896914859148,0.267,2000,2.387,0.713,3.099,1.372,0.250,4.722
1779177896953323014,1779177896944884101,0.234,2000,2.363,4.360,6.722,1.291,0.185,8.198
1779177896968926105,1779177896964802762,0.228,2000,2.244,0.113,2.356,1.356,0.176,3.889
1779177897002564891,1779177896994987076,0.344,2000,2.572,3.440,6.012,1.085,0.130,7.228
1779177897019706112,1779177897014986218,0.240,2000,2.485,0.264,2.749,1.246,0.477,4.472
1779177897053043999,1779177897044832608,0.312,2000,2.392,4.000,6.392,1.278,0.224,7.894
1779177897073001412,1779177897064859462,0.281,2000,2.620,3.994,6.615,1.017,0.222,7.854
1779177897102557783,1779177897094819934,0.524,2000,2.271,3.844,6.115,0.868,0.224,7.207
1779177897122791167,1779177897114833156,0.240,2000,2.406,3.960,6.366,1.134,0.212,7.712
1779177897153159164,1779177897144830172,0.214,2000,2.553,4.119,6.672,1.210,0.228,8.109
1779177897173208738,1779177897164827234,0.214,2000,2.827,4.005,6.832,1.094,0.235,8.161
1779177897203444413,1779177897194836922,0.345,2000,2.959,3.964,6.923,1.109,0.223,8.255
