x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
0.4233; 0.5896; 1.1637; 0.8417; 0.1643; 0.0000; -0.0206; 2.5000
0.5062; 0.6034; 1.1582; 0.8117; 0.1541; 0.0840; -0.0206; 2.5000
0.7079; 0.6338; 1.1398; 0.7353; 0.1354; 0.2879; -0.0286; 2.5000
0.9576; 0.6649; 1.2236; 0.7434; 0.0984; 0.5396; -0.0544; 2.5000
1.1883; 0.6813; 1.1908; 0.7165; 0.0379; 0.7709; -0.0854; 2.5000
1.3809; 0.6809; 1.2168; 0.6550; -0.0287; 0.9635; -0.0788; 2.5000
1.5501; 0.6709; 1.1754; 0.6530; -0.0677; 1.1330; -0.0263; 2.5000
1.7116; 0.6585; 1.2070; 0.6526; -0.0710; 1.2950; 0.0170; 2.5000
1.8754; 0.6478; 1.2724; 0.5973; -0.0669; 1.4591; -0.0042; 2.5000
2.0408; 0.6365; 1.2432; 0.6094; -0.0788; 1.6248; -0.0316; 2.5000
2.2060; 0.6217; 1.2336; 0.5289; -0.1069; 1.7907; -0.0534; 2.5000
2.3695; 0.6012; 1.2890; 0.5532; -0.1369; 1.9556; -0.0376; 2.5000
2.5321; 0.5767; 1.3161; 0.5226; -0.1518; 2.1200; -0.0075; 2.5000
2.6951; 0.5514; 1.3064; 0.4518; -0.1474; 2.2850; 0.0208; 2.5000
2.8599; 0.5281; 1.2483; 0.5142; -0.1346; 2.4514; 0.0172; 2.5000
3.0278; 0.5063; 1.3067; 0.5152; -0.1339; 2.6207; -0.0144; 2.5000
3.2002; 0.4822; 1.2622; 0.4445; -0.1541; 2.7948; -0.0423; 2.5000
3.3784; 0.4519; 1.3094; 0.4291; -0.1874; 2.9755; -0.0495; 2.5000
3.5627; 0.4135; 1.3105; 0.4086; -0.2133; 3.1638; -0.0206; 2.5000
3.7508; 0.3712; 1.3563; 0.3976; -0.2174; 3.3565; 0.0095; 2.5000
3.9397; 0.3302; 1.2978; 0.3980; -0.2001; 3.5499; 0.0359; 2.5000
4.1266; 0.2950; 1.3169; 0.3907; -0.1739; 3.7401; 0.0336; 2.5000
4.3069; 0.2657; 1.2872; 0.4133; -0.1559; 3.9227; 0.0154; 2.5000
4.4754; 0.2402; 1.3194; 0.3978; -0.1529; 4.0932; -0.0085; 2.5000
4.6271; 0.2163; 1.2849; 0.4193; -0.1638; 4.2466; -0.0284; 2.5000
4.7650; 0.1923; 1.2968; 0.3981; -0.1789; 4.3867; -0.0228; 2.5000
4.9033; 0.1664; 1.2228; 0.3689; -0.1877; 4.5274; -0.0075; 2.5000
5.0567; 0.1369; 1.2825; 0.3975; -0.1898; 4.6836; 0.0000; 2.5000
5.2352; 0.1026; 1.2536; 0.3968; -0.1931; 4.8654; -0.0083; 2.5000
5.4327; 0.0634; 1.2320; 0.4095; -0.2034; 5.0667; -0.0171; 2.5000
5.6390; 0.0193; 1.2161; 0.4064; -0.2207; 5.2777; -0.0247; 2.5000
5.8447; -0.0291; 1.2082; 0.4486; -0.2350; 5.4890; -0.0092; 2.5000
6.0499; -0.0791; 1.0977; 0.4079; -0.2291; 5.7002; 0.0226; 2.5000
6.2608; -0.1261; 1.0736; 0.4443; -0.1974; 5.9163; 0.0490; 2.5000
6.4837; -0.1658; 1.0101; 0.4140; -0.1543; 6.1427; 0.0461; 2.5000
6.7194; -0.1975; 0.9855; 0.4081; -0.1282; 6.3804; 0.0109; 2.5000
6.9588; -0.2271; 0.9623; 0.3948; -0.1344; 6.6217; -0.0241; 2.5000
7.1922; -0.2614; 0.9623; 0.4244; -0.1715; 6.8576; -0.0571; 2.5000
7.4114; -0.3055; 0.9361; 0.4809; -0.2180; 7.0812; -0.0458; 2.5000
7.6187; -0.3559; 0.9492; 0.4337; -0.2422; 7.2945; -0.0091; 2.5000
7.8194; -0.4063; 0.8533; 0.4528; -0.2329; 7.5014; 0.0324; 2.5000
8.0187; -0.4507; 0.9019; 0.4413; -0.2040; 7.7057; 0.0383; 2.5000
