x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m
0.4233; 0.5896; 1.1534; 0.8213; 0.0000; 0.0000
0.5062; 0.6034; 1.1504; 0.8061; 0.0000; 0.0840
0.7079; 0.6338; 1.1416; 0.7709; 0.0000; 0.2879
0.9576; 0.6649; 1.1998; 0.7285; 0.0000; 0.5396
1.1883; 0.6813; 1.1853; 0.7167; 0.0000; 0.7709
1.3809; 0.6809; 1.2122; 0.6516; 0.0000; 0.9635
1.5501; 0.6709; 1.1960; 0.6507; 0.0000; 1.1330
1.7116; 0.6585; 1.2083; 0.6505; 0.0000; 1.2950
1.8754; 0.6478; 1.2319; 0.6306; 0.0000; 1.4591
2.0408; 0.6365; 1.2543; 0.5791; 0.0000; 1.6248
2.2060; 0.6217; 1.2514; 0.5518; 0.0000; 1.7907
2.3695; 0.6012; 1.2692; 0.5600; 0.0000; 1.9556
2.5321; 0.5767; 1.2766; 0.5512; 0.0000; 2.1200
2.6951; 0.5514; 1.2713; 0.4786; 0.0000; 2.2850
2.8599; 0.5281; 1.2552; 0.4958; 0.0000; 2.4514
3.0278; 0.5063; 1.2706; 0.4959; 0.0000; 2.6207
3.2002; 0.4822; 1.2991; 0.4324; 0.0000; 2.7948
3.3784; 0.4519; 1.3114; 0.4284; 0.0000; 2.9755
3.5627; 0.4135; 1.3117; 0.4231; 0.0000; 3.1638
3.7508; 0.3712; 1.3050; 0.4202; 0.0000; 3.3565
3.9397; 0.3302; 1.2902; 0.4202; 0.0000; 3.5499
4.1266; 0.2950; 1.2954; 0.4179; 0.0000; 3.7401
4.3069; 0.2657; 1.2874; 0.4238; 0.0000; 3.9227
4.4754; 0.2402; 1.2947; 0.4132; 0.0000; 4.0932
4.6271; 0.2163; 1.2849; 0.4193; 0.0000; 4.2466
4.7650; 0.1923; 1.2884; 0.4130; 0.0000; 4.3867
4.9033; 0.1664; 1.2661; 0.4040; 0.0000; 4.5274
5.0567; 0.1369; 1.2550; 0.3995; 0.0000; 4.6836
5.2352; 0.1026; 1.2462; 0.3993; 0.0000; 4.8654
5.4327; 0.0634; 1.2392; 0.4033; 0.0000; 5.0667
5.6390; 0.0193; 1.1647; 0.3962; 0.0000; 5.2777
5.8447; -0.0291; 1.1626; 0.4103; 0.0000; 5.4890
6.0499; -0.0791; 1.1255; 0.3969; 0.0000; 5.7002
6.2608; -0.1261; 1.0668; 0.4181; 0.0000; 5.9163
6.4837; -0.1658; 1.0441; 0.4076; 0.0000; 6.1427
6.7194; -0.1975; 0.9587; 0.3979; 0.0000; 6.3804
6.9588; -0.2271; 0.9502; 0.3931; 0.0000; 6.6217
7.1922; -0.2614; 0.9502; 0.4039; 0.0000; 6.8576
7.4114; -0.3055; 0.9371; 0.4630; 0.0000; 7.0812
7.6187; -0.3559; 0.9420; 0.4455; 0.0000; 7.2945
7.8194; -0.4063; 0.9061; 0.4526; 0.0000; 7.5014
8.0187; -0.4507; 0.8696; 0.4422; 0.0000; 7.7057
8.2181; -0.4888; 0.8637; 0.4624; 0.0000; 7.9087
8.4157; -0.5247; 0.8521; 0.4565; 0.0000; 8.1095
8.6094; -0.5632; 0.8308; 0.4546; 0.0000; 8.3070
8.7992; -0.6064; 0.8157; 0.4640; 0.0000; 8.5017
8.9898; -0.6503; 0.8149; 0.4683; 0.0000; 8.6972
9.1865; -0.6901; 0.8550; 0.4409; 0.0000; 8.8980
9.3948; -0.7222; 0.8326; 0.4390; 0.0000; 9.1087
9.6196; -0.7511; 0.8485; 0.4487; 0.0000; 9.3354
9.8657; -0.7852; 0.8587; 0.4204; 0.0000; 9.5838
10.1374; -0.8325; 0.8649; 0.4171; 0.0000; 9.8596
10.4277; -0.8921; 0.7922; 0.3564; 0.0000; 10.1559
10.7152; -0.9523; 0.7670; 0.3551; 0.0000; 10.4497
10.9779; -1.0006; 0.7646; 0.4275; 0.0000; 10.7168
11.2011; -1.0300; 0.7278; 0.4245; 0.0000; 10.9419
11.3963; -1.0523; 0.6575; 0.5072; 0.0000; 11.1384
