x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps; sector
4.88E-01; 6.40E-01; 1.1432; 0.801; -1.439; 0.3999; -0.1262; 6.8083; 0
1.08E+00; 6.98E-01; 1.1812; 0.7168; -1.5087; 0.9997; -0.1064; 7.0893; 0
1.68E+00; 7.17E-01; 1.2091; 0.6493; -1.5673; 1.5995; -0.0895; 7.3921; 0
2.28E+00; 7.04E-01; 1.2602; 0.5631; -1.6166; 2.1994; -0.0757; 7.7072; 0
2.88E+00; 6.63E-01; 1.2577; 0.489; -1.6586; 2.7992; -0.0648; 8.0079; 0
3.48E+00; 6.00E-01; 1.3121; 0.4281; -1.6948; 3.399; -0.0561; 8.2902; 0
4.07E+00; 5.16E-01; 1.2875; 0.4279; -1.7264; 3.9988; -0.0503; 8.556; 0
4.66E+00; 4.14E-01; 1.2849; 0.4193; -1.7553; 4.5987; -0.0431; 8.8071; 0
5.25E+00; 2.98E-01; 1.2427; 0.4004; -1.7755; 5.1985; -0.0243; 9.0449; 0
5.84E+00; 1.73E-01; 1.1399; 0.3912; -1.785; 5.7983; -0.0097; 9.2705; 0
6.42E+00; 4.37E-02; 1.0631; 0.404; -1.7892; 6.3982; -0.0049; 9.4849; 0
7.01E+00; -8.67E-02; 0.9433; 0.3921; -1.7901; 6.998; 0.0026; 9.6891; 1
7.60E+00; -2.16E-01; 0.9377; 0.4525; -1.786; 7.5978; 0.0111; 9.5442; 1
8.18E+00; -3.42E-01; 0.8502; 0.4427; -1.7769; 8.1976; 0.0193; 8.8608; 1
8.77E+00; -4.61E-01; 0.8138; 0.4616; -1.7628; 8.7975; 0.0275; 8.1682; 1
9.36E+00; -5.70E-01; 0.8505; 0.4394; -1.7438; 9.3973; 0.0362; 7.4491; 1
9.95E+00; -6.66E-01; 0.854; 0.4364; -1.7192; 9.9971; 0.046; 6.6827; 1
1.05E+01; -7.47E-01; 0.7933; 0.3507; -1.6958; 10.5969; 0.0096; 5.8094; 1
1.11E+01; -8.29E-01; 0.752; 0.44; -1.7383; 11.1968; -0.1629; 4.9112; 2
1.17E+01; -9.69E-01; 0.62; 0.5371; -1.8914; 11.7966; -0.3431; 4.2868; 2
1.23E+01; -1.22E+00; 0.5477; 0.8136; -2.1498; 12.3964; -0.5327; 3.8255; 2
1.27E+01; -1.64E+00; 0.3113; 1.3053; -2.5403; 12.9963; -0.7409; 3.6738; 2
1.29E+01; -2.19E+00; 0.3709; 0.979; -2.8841; 13.5961; -0.2156; 3.826; 2
1.31E+01; -2.76E+00; 1.0127; 0.5067; -2.7578; 14.1959; 0.6343; 3.1852; 2
1.34E+01; -3.23E+00; 1.1052; 0.2576; -2.1881; 14.7957; 1.0544; 3.0796; 2
1.40E+01; -3.41E+00; 1.2488; 0.2218; -1.5608; 15.3956; 1.0453; 3.0625; 2
1.46E+01; -3.23E+00; 0.7148; 0.5587; -0.98; 15.9954; 0.6891; 3.0892; 2
1.50E+01; -2.85E+00; 0.5069; 0.878; -0.9321; 16.5952; -0.4596; 3.4119; 2
1.56E+01; -2.60E+00; 0.3091; 1.1568; -1.4015; 17.195; -1.0433; 3.096; 2
1.62E+01; -2.68E+00; 0.2732; 1.337; -2.0279; 17.7949; -1.0387; 3.0711; 2
1.66E+01; -3.07E+00; 0.5691; 1.1904; -2.5483; 18.3947; -0.9216; 3.2823; 2
1.69E+01; -3.58E+00; 1.2482; 0.611; -2.431; 18.9945; 0.5647; 3.3764; 2
1.74E+01; -3.95E+00; 1.5138; 0.2116; -1.9549; 19.5943; 1.0376; 3.1021; 2
1.80E+01; -3.99E+00; 1.7278; 0.2055; -1.3282; 20.1942; 1.0244; 3.0681; 2
1.85E+01; -3.70E+00; 1.7278; 0.2055; -0.9321; 20.794; -0.0645; 3.4056; 2
1.92E+01; -3.16E+00; 0.5936; 0.6795; -1.9741; 21.9937; -1.0514; 3.0523; 2
2.00E+01; -3.60E+00; 0.83; 0.2947; -2.8122; 22.7934; -1.0414; 3.0577; 3
2.02E+01; -4.24E+00; 0.7246; 0.4472; 2.8933; 23.3933; -0.7845; 3.1365; 3
2.01E+01; -4.83E+00; 0.5217; 0.7333; 2.5471; 23.9931; -0.466; 3.6624; 3
1.98E+01; -5.34E+00; 0.3116; 1.3113; 2.2788; 24.5929; -0.3984; 4.115; 3
1.94E+01; -5.75E+00; 0.2383; 1.7293; 2.0587; 25.1927; -0.3523; 4.5052; 3
1.88E+01; -6.05E+00; 0.3452; 2.1268; 1.8586; 25.7926; -0.3087; 4.8028; 3
1.83E+01; -6.24E+00; 0.3996; 1.561; 1.6889; 26.3924; -0.2553; 5.1014; 3
1.77E+01; -6.32E+00; 0.5161; 0.8224; 1.5531; 26.9922; -0.1985; 5.4425; 3
1.71E+01; -6.33E+00; 0.7021; 0.6481; 1.4484; 27.592; -0.1532; 5.8327; 3
1.65E+01; -6.26E+00; 0.9862; 0.5685; 1.3645; 28.1919; -0.1299; 6.2386; 3
1.59E+01; -6.15E+00; 1.3588; 0.4576; 1.2891; 28.7917; -0.1243; 6.6085; 4
1.53E+01; -5.99E+00; 1.9148; 0.4681; 1.2164; 29.3915; -0.1138; 6.9158; 4
1.47E+01; -5.79E+00; 0.9597; 0.5874; 1.1548; 29.9913; -0.0919; 7.2271; 4
1.42E+01; -5.55E+00; 0.6087; 0.6994; 1.106; 30.5912; -0.0708; 7.557; 4
1.37E+01; -5.28E+00; 0.4133; 0.7795; 1.07; 31.191; -0.0492; 7.8673; 4
1.31E+01; -5.00E+00; 0.3517; 0.9418; 1.0461; 31.7908; -0.031; 8.1581; 4
1.26E+01; -4.70E+00; 0.4116; 1.0526; 1.0328; 32.3907; -0.0133; 8.4316; 4
1.21E+01; -4.40E+00; 0.6064; 1.2734; 1.0302; 32.9905; 0.0049; 8.6895; 4
1.16E+01; -4.09E+00; 1.0829; 1.6316; 1.0387; 33.5903; 0.0234; 8.9334; 4
1.11E+01; -3.78E+00; 1.7091; 0.856; 1.0583; 34.1901; 0.042; 9.1647; 4
1.05E+01; -3.49E+00; 1.5247; 0.5011; 1.0891; 34.79; 0.0606; 9.3837; 4
1.00E+01; -3.20E+00; 1.2739; 0.3928; 1.1311; 35.3898; 0.0777; 9.5127; 4
9.47E+00; -2.95E+00; 1.0734; 0.4611; 1.1781; 35.9896; 0.0755; 9.5659; 4
8.92E+00; -2.71E+00; 0.9914; 0.7415; 1.2212; 36.5894; 0.0689; 9.6429; 5
8.36E+00; -2.50E+00; 0.8678; 1.3056; 1.2609; 37.1893; 0.0634; 9.744; 5
7.79E+00; -2.32E+00; 0.7287; 1.3513; 1.2974; 37.7891; 0.0583; 9.8641; 5
7.21E+00; -2.15E+00; 0.6824; 1.509; 1.3309; 38.3889; 0.0536; 9.9996; 5
6.63E+00; -2.00E+00; 0.57; 1.6445; 1.3617; 38.9888; 0.0491; 10; 5
6.04E+00; -1.88E+00; 0.5058; 1.8098; 1.3899; 39.5886; 0.0449; 10; 5
5.45E+00; -1.77E+00; 0.4053; 2.0463; 1.4155; 40.1884; 0.0404; 9.6482; 5
4.86E+00; -1.67E+00; 0.4016; 1.7308; 1.438; 40.7882; 0.0344; 9.1018; 5
4.27E+00; -1.59E+00; 0.3509; 1.38; 1.4567; 41.3881; 0.0279; 8.4729; 5
3.67E+00; -1.52E+00; 0.3982; 1.2186; 1.4703; 41.9879; 0.0157; 7.7463; 5
3.07E+00; -1.46E+00; 0.437; 1.0271; 1.4809; 42.5877; 0.0322; 6.9242; 5
2.48E+00; -1.40E+00; 0.459; 0.9552; 1.5193; 43.1875; 0.0992; 6.2064; 5
1.88E+00; -1.37E+00; 0.5073; 0.9637; 1.5997; 43.7874; 0.1696; 5.6098; 5
1.28E+00; -1.38E+00; 0.544; 0.8982; 1.7236; 44.3872; 0.244; 5.0966; 6
6.84E-01; -1.45E+00; 0.7895; 0.8549; 1.8932; 44.987; 0.3233; 4.6339; 6
1.11E-01; -1.63E+00; 1.0478; 0.7442; 2.1157; 45.5869; 0.4235; 4.2131; 6
-4.12E-01; -1.92E+00; 1.5235; 0.5121; 2.406; 46.1867; 0.5543; 3.8561; 6
-8.35E-01; -2.34E+00; 1.7454; 0.2868; 2.7941; 46.7865; 0.7258; 3.7118; 6
-1.08E+00; -2.88E+00; 1.7183; 0.2969; -3.053; 47.3863; 0.7306; 3.6996; 6
-1.07E+00; -3.48E+00; 1.7412; 0.4662; -2.6901; 47.9862; 0.5397; 3.8416; 6
-8.37E-01; -4.03E+00; 1.4099; 0.6576; -2.3976; 48.586; 0.4365; 4.1238; 6
-4.53E-01; -4.49E+00; 0.8747; 0.7675; -2.1634; 49.1858; 0.3469; 4.4539; 7
3.05E-02; -4.84E+00; 0.626; 0.9033; -1.9761; 49.7856; 0.2815; 4.8145; 7
5.74E-01; -5.09E+00; 0.5051; 0.8907; -1.8226; 50.3855; 0.2326; 5.1782; 7
1.15E+00; -5.26E+00; 0.4018; 0.9185; -1.6965; 50.9853; 0.1871; 5.5442; 7
1.74E+00; -5.34E+00; 0.4522; 0.8456; -1.6002; 51.5851; 0.1327; 5.9451; 7
2.34E+00; -5.37E+00; 0.5569; 0.8051; -1.5383; 52.1849; 0.074; 6.3803; 7
2.94E+00; -5.36E+00; 0.6609; 0.7507; -1.5102; 52.7848; 0.0218; 6.7771; 7
3.54E+00; -5.32E+00; 0.6675; 0.8209; -1.5099; 53.3846; -0.0194; 7.1423; 7
4.14E+00; -5.29E+00; 0.6096; 0.9019; -1.5326; 53.9844; -0.0564; 7.4807; 7
4.74E+00; -5.26E+00; 0.5524; 1.0465; -1.5792; 54.5843; -0.1004; 6.9728; 7
5.34E+00; -5.26E+00; 0.4558; 1.0689; -1.6559; 55.1841; -0.1568; 6.5377; 8
5.94E+00; -5.30E+00; 0.4209; 1.1599; -1.7683; 55.7839; -0.217; 6.2587; 8
6.53E+00; -5.41E+00; 0.4004; 1.2279; -1.9141; 56.3837; -0.263; 6.1285; 8
7.10E+00; -5.60E+00; 0.4234; 1.103; -2.0482; 56.9836; -0.1345; 6.1305; 8
7.63E+00; -5.86E+00; 0.5383; 0.7576; -2.0886; 57.5834; -0.0155; 6.5383; 8
8.16E+00; -6.16E+00; 0.8952; 0.4394; -2.0635; 58.1832; 0.1209; 6.5176; 8
8.68E+00; -6.44E+00; 1.2641; 0.3356; -1.9421; 58.783; 0.2321; 6.3578; 8
9.24E+00; -6.67E+00; 1.234; 0.564; -1.8055; 59.3829; 0.2152; 6.3406; 8
9.82E+00; -6.83E+00; 0.6453; 0.7048; -1.7083; 59.9827; 0.0919; 6.5024; 8
1.04E+01; -6.92E+00; 0.458; 0.71; -1.7021; 60.5825; -0.0621; 6.8892; 8
1.10E+01; -6.99E+00; 0.4482; 0.6022; -1.7552; 61.1824; -0.1015; 7.239; 8
1.16E+01; -7.10E+00; 0.5436; 0.5567; -1.8124; 61.7822; -0.0845; 7.5265; 8
1.22E+01; -7.24E+00; 0.5957; 0.4716; -1.8557; 62.382; -0.0604; 7.8366; 8
