# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,1.577906,0.223814,0.017671,-0.345550,4.680845,4.853435,0.900000,1.230000
0.020002,1.597886,0.224066,0.008185,-0.356399,4.701072,4.842016,0.899993,1.250000
0.040005,1.617867,0.224153,-0.001518,-0.362748,4.721197,4.829095,0.889987,1.250000
0.060007,1.637849,0.224075,-0.011188,-0.364742,4.741322,4.815535,0.880000,1.250000
0.080009,1.657831,0.223828,-0.020617,-0.362437,4.761342,4.802033,0.880045,1.249955
0.100012,1.677813,0.223415,-0.029591,-0.356186,4.781301,4.789322,0.900000,1.230000
0.120014,1.697794,0.222834,-0.037992,-0.345928,4.801182,4.777636,0.900000,1.230000
0.140017,1.717773,0.222091,-0.045638,-0.332315,4.820985,4.767692,0.900043,1.230000
0.160019,1.737751,0.221193,-0.052423,-0.315918,4.840708,4.759911,0.910000,1.230000
0.180021,1.757726,0.220149,-0.058269,-0.297598,4.860371,4.754628,0.910000,1.230113
0.200024,1.777697,0.218968,-0.063231,-0.277822,4.879947,4.751511,0.910000,1.249979
0.220026,1.797665,0.217664,-0.067337,-0.257765,4.899356,4.750586,0.910000,1.246644
0.240028,1.817627,0.216253,-0.070733,-0.238541,4.918764,4.751435,0.910000,1.243308
0.260031,1.837585,0.214754,-0.073631,-0.221573,4.938172,4.753375,0.910000,1.239839
0.280033,1.857536,0.213187,-0.076421,-0.207939,4.957416,4.754864,0.910089,1.220000
0.300035,1.877509,0.211571,-0.079536,-0.199079,4.976561,4.756510,0.920000,1.220000
0.320038,1.899060,0.209722,-0.084718,-0.179512,4.995581,4.858751,0.920000,1.220000
0.340040,1.920024,0.207867,-0.089109,-0.168326,5.014600,4.899828,0.920000,1.220000
0.360043,1.940441,0.206004,-0.092902,-0.162741,5.033486,4.890855,0.920000,1.220225
0.380045,1.960350,0.204131,-0.096392,-0.161386,5.052268,4.841239,0.920173,1.239942
0.400047,1.979793,0.202244,-0.099647,-0.163316,5.070917,4.760661,0.935182,1.234939
0.420050,1.998808,0.200341,-0.102766,-0.167929,5.089564,4.657856,0.950000,1.230000
0.440052,2.017436,0.198418,-0.105808,-0.174903,5.108073,4.541044,0.950000,1.229728
0.460054,2.035717,0.196471,-0.108888,-0.183466,5.126471,4.417084,0.950069,1.210000
0.480057,2.053692,0.194495,-0.112020,-0.193311,5.144731,4.292668,0.955072,1.210000
0.500059,2.071399,0.192489,-0.115241,-0.203851,5.162989,4.173515,0.960000,1.209849
0.520062,2.088879,0.190449,-0.118550,-0.214577,5.181104,4.064810,0.960160,1.200000
0.540064,2.106171,0.188362,-0.121919,-0.223597,5.199104,3.970732,0.970000,1.200000
0.560066,2.123317,0.186230,-0.125351,-0.230805,5.216962,3.894613,0.970000,1.200000
0.580069,2.140355,0.184055,-0.128892,-0.236333,5.234817,3.838800,0.970000,1.200347
0.600071,2.157326,0.181824,-0.132516,-0.238559,5.251880,3.804866,0.970000,1.219635
0.620073,2.174270,0.179534,-0.136142,-0.237452,5.234850,3.794089,0.970000,1.200384
