idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,pub_steer_rad,pub_accel_mps2,used_fallback
1,1779177893990638379,0,0,3,-8352,2592192,27100,-42073,0,0,-76,-9297,0,-0.0318604,9.8884277,0
2,1779177893995273728,0,0,3,-15008,2592192,27100,-42073,0,0,-76,-9297,2592192,-0.0572510,9.8884277,0
3,1779177894000185017,0,0,2,-22272,2592192,27100,-42074,0,0,-87,-16865,2592192,-0.0849609,9.8884277,0
4,1779177894005194291,0,0,2,-27408,2592192,27100,-42075,0,0,-200,-23603,2592192,-0.1045532,9.8884277,0
5,1779177894010266317,0,0,1,-31344,2592192,27100,-42076,0,0,-208,-28952,2592192,-0.1195679,9.8884277,0
6,1779177894015381576,0,0,1,-34240,2592192,27100,-42077,0,0,-161,-33034,2592192,-0.1306152,9.8884277,0
7,1779177894020128830,0,0,1,-36304,2592192,27100,-42077,0,0,-128,-36097,2592192,-0.1384888,9.8884277,0
8,1779177894025713470,0,0,1,-37296,2592192,27100,-42078,0,0,-94,-38136,2592192,-0.1422729,9.8884277,0
9,1779177894030318739,0,0,1,-37472,2592192,27100,-42078,0,0,-94,-39193,2592192,-0.1429443,9.8884277,0
10,1779177894035283053,0,0,1,-37088,2592192,27100,-42078,0,0,11,-39458,2592192,-0.1414795,9.8884277,0
11,1779177894040339111,0,0,1,-36432,2592192,27100,-42078,0,0,24,-39178,2592192,-0.1389771,9.8884277,0
12,1779177894045239295,0,0,1,-35824,2592192,27100,-42078,0,0,7,-38596,2592192,-0.1366577,9.8884277,0
13,1779177894050340602,0,0,1,-35152,2592192,27100,-42078,0,0,13,-37915,2592192,-0.1340942,9.8884277,0
14,1779177894055186129,0,0,1,-34624,2592192,27100,-42077,0,0,34,-37280,2592192,-0.1320801,9.8884277,0
15,1779177894060191403,0,0,1,-34288,2592192,27100,-42078,0,0,-31,-36774,2592192,-0.1307983,9.8884277,0
16,1779177894065208709,0,0,1,-34096,2592192,27100,-42079,0,0,-201,-36428,2592192,-0.1300659,9.8884277,0
17,1779177894070254879,0,0,1,-34000,2592192,27100,-42081,0,0,-409,-36236,2592192,-0.1296997,9.8884277,0
18,1779177894075217208,0,0,1,-34000,2592192,27100,-42085,0,0,-905,-36167,2592192,-0.1296997,9.8884277,0
19,1779177894080225489,0,0,1,-33968,2592192,27100,-42095,0,0,-1946,-36183,2592192,-0.1295776,9.8884277,0
20,1779177894085212395,0,0,1,-33968,2592192,27100,-42113,0,0,-3653,-36239,2592192,-0.1295776,9.8884277,0
21,1779177894090215236,0,0,1,-34048,2592192,27100,-42144,0,0,-6164,-36295,2592192,-0.1298828,9.8884277,0
22,1779177894095638146,0,0,1,-34048,2592192,27100,-42196,0,0,-9508,-36305,2592192,-0.1298828,9.8884277,0
23,1779177894100100758,0,0,1,-33808,2592192,27100,-42256,0,0,-13665,-36220,2592192,-0.1289673,9.8884277,0
24,1779177894105234193,0,0,1,-33568,2592192,27100,-42348,0,0,-17769,-36002,2592192,-0.1280518,9.8884277,0
25,1779177894110251466,0,0,1,-33200,2592192,27100,-42453,0,0,-20893,-35641,2592192,-0.1266479,9.8884277,0
26,1779177894115239940,0,0,1,-32848,2592192,27100,-42564,0,0,-22310,-35164,2592192,-0.1253052,9.8884277,0
27,1779177894120274430,0,0,1,-32448,2592192,27100,-42672,0,0,-21392,-34651,2592192,-0.1237793,9.8884277,0
28,1779177894124948915,0,0,1,-32208,2592192,27100,-42755,0,0,-17927,-34224,2592192,-0.1228638,9.8884277,0
29,1779177894130660021,0,0,1,-32080,2592192,27100,-42825,0,0,-12134,-34005,2592192,-0.1223755,9.8884277,0
30,1779177894135506893,0,0,1,-32448,2592192,27100,-42852,0,0,-5726,-34070,2592192,-0.1237793,9.8884277,0
31,1779177894140794442,0,0,1,-32960,2592192,27100,-42851,0,0,203,-34391,2592192,-0.1257324,9.8884277,0
32,1779177894145659106,0,0,1,-33504,2592192,27100,-42828,0,0,4753,-34867,2592192,-0.1278076,9.8884277,0
33,1779177894150527642,0,0,3,-33760,2592192,27067,-42812,39403,-350,3373,-35456,2592192,-0.1287842,9.8884277,0
34,1779177894155194351,0,0,1,-33632,2592192,27033,-42797,41718,-405,3216,-35723,2592192,-0.1282959,9.8884277,0
35,1779177894160187337,0,0,1,-33504,2592192,26995,-42789,43973,-460,1466,-35760,2592192,-0.1278076,9.8884277,0
36,1779177894165182914,0,0,1,-33248,2592192,26956,-42797,46168,-488,-1496,-35594,2592192,-0.1268311,9.8884277,0
37,1779177894170180252,0,0,1,-32928,2592192,26914,-42828,48245,-506,-6286,-35231,2592192,-0.1256104,9.8884277,0
38,1779177894175187221,0,0,1,-32400,2592192,26870,-42893,50263,-518,-12838,-34757,2592192,-0.1235962,9.8884277,0
39,1779177894180181966,0,0,1,-31648,2592192,26825,-42992,52103,-521,-19975,-34190,2592192,-0.1207275,9.8884277,0
40,1779177894185188584,0,0,1,-31184,2592192,26779,-43125,52103,-521,-19975,-33504,2592192,-0.1189575,9.8884277,0
41,1779177894190176673,0,0,1,-30352,2592192,26731,-43282,53824,-519,-26410,-32741,2592192,-0.1157837,9.8884277,0
42,1779177894195636672,0,0,1,-29584,2592192,26676,-43480,55545,-514,-31618,-31912,2592192,-0.1128540,9.8884277,0
43,1779177894207977614,0,0,1,-29744,2592192,26515,-44036,57206,-558,-36168,-31912,2592192,-0.1134644,9.8884277,0
44,1779177894210671501,0,0,1,-29952,2592192,26481,-44152,70440,-1364,-45071,-31912,2592192,-0.1142578,9.8884277,0
